file,offset,capacity,in_patch_zip,current_changed,original_marker_count,current_marker_count,original_marker_types,current_marker_types,original_linebreaks,current_linebreaks,prompt_bytes,option_segment_bytes,decoded_jp
1/S1023.DAT,0x47952,47,1,1,2,2,E5_03|E5_03,E5_03|E5_03,3,3,31,9|3,アークの母 / 父さんの置き手紙があるけどよむかい？ / <CTRL:E5>”ベつにいい。 / <CTRL:E5>”よむ。
1/S1023.DAT,0x47AB0,55,1,1,4,4,E5_03|E5_03|E5_03|E5_03,E5_03|E5_03|E5_03|E5_03,2,3,0,11|11|18|7,<CTRL:E5>”強くなるためには / <CTRL:E5>”作戦をたてるには / <CTRL:E5>”敵からダメージを受けないためには1<CTRL:E5>”次の<N:へ:4:DDF7>ージ
1/S1023.DAT,0x47B30,40,1,1,3,3,E5_03|E5_03|E5_03,E5_03|E5_03|E5_03,1,2,0,18|9|7,<CTRL:E5>”敵からダメージを受けないためには2<CTRL:E5>”うまく戦うには / <CTRL:E5>”よむのやめる。
21/S2041.DAT,0x47EFE,48,1,1,3,3,E5_03|E5_03|E5_03,E5_03|E5_03|E5_03,3,3,0,23|9|10,<CTRL:E5>”エリア<N:∪:20:DE4F><N:∧:11:DE83><N:Ｐ:10:DD90>をオー<N:フ:11:DD55>ンしますか？ / <CTRL:E5>”オー<N:フ:11:DD55>ンする / <CTRL:E5>”オー<N:フ:11:DD55>ンしない
21/S2041.DAT,0x48160,44,1,1,3,3,E5_04|E5_04|E5_04,E5_04|E5_04|E5_04,2,2,0,7|18|13,<CTRL:E5><N:≠:16:04>もちろん！ / <CTRL:E5><N:≠:16:04>ちょつと自信がないな・・。 / <CTRL:E5><N:≠:16:04>まだ戦い方がわからないや。
21/S2041.DAT,0x48488,45,1,1,3,3,E5_04|E5_04|E5_04,E5_04|E5_04|E5_04,2,2,0,15|15|9,<CTRL:E5><N:≠:16:04>どうすれば強くなれるの？ / <CTRL:E5><N:≠:16:04>何か戦いのニツはあるの？ / <CTRL:E5><N:≠:16:04>やつっり、いいや。
21/S2042.DAT,0x47FF0,53,0,0,2,2,E5_03|E5_03,E5_03|E5_03,3,3,27,9|13,チョピン / 何か私でお力になれるこはありますか？ / <CTRL:E5>”ベつにない。 / <CTRL:E5>”ちょつと教えてほしい。
21/S2042.DAT,0x4811E,45,0,0,3,3,E5_04|E5_04|E5_04,E5_04|E5_04|E5_04,2,2,0,15|15|9,<CTRL:E5><N:≠:16:04>どうすれば強くなれるの？ / <CTRL:E5><N:≠:16:04>何か戦いのニツはあるの？ / <CTRL:E5><N:≠:16:04>やつっり、いいや。
21/S2045.DAT,0x4758E,28,0,0,3,3,E5_03|E5_03|E5_03,E5_03|E5_03|E5_03,2,2,0,6|7|9,<CTRL:E5>”出発する / <CTRL:E5>”出発しない / <CTRL:E5>”いろいろ教えて！
21/S2045.DAT,0x47914,28,0,0,3,3,E5_03|E5_03|E5_03,E5_03|E5_03|E5_03,2,2,0,6|7|9,<CTRL:E5>”出発する / <CTRL:E5>”出発しない / <CTRL:E5>”いろいろ教えて！
