cache_slot,physical_index,row,column,plane,vram_x,vram_y,u,v
0,3360,40,0,0,961,480,4,224
1,3361,40,0,1,961,480,4,224
2,3362,40,0,2,961,480,4,224
3,3363,40,0,3,961,480,4,224
4,3364,40,1,0,964,480,16,224
5,3365,40,1,1,964,480,16,224
6,3366,40,1,2,964,480,16,224
7,3367,40,1,3,964,480,16,224
8,3368,40,2,0,967,480,28,224
9,3369,40,2,1,967,480,28,224
10,3370,40,2,2,967,480,28,224
11,3371,40,2,3,967,480,28,224
12,3372,40,3,0,970,480,40,224
13,3373,40,3,1,970,480,40,224
14,3374,40,3,2,970,480,40,224
15,3375,40,3,3,970,480,40,224
16,3376,40,4,0,973,480,52,224
17,3377,40,4,1,973,480,52,224
18,3378,40,4,2,973,480,52,224
19,3379,40,4,3,973,480,52,224
