state,object,header,count,source_pointer,assignment_text,bitmap_text,assignment_equals_bitmap,identities
slot1.state,0,0x801F031C,14,0x8019CAC7,불러올<S:155>데이터를<S:155>선택하세요,불러올<S:155>데이터를<S:155>선택하세요,1,S994 S162 S183 S155 S172 S534 S140 S100 S155 S926 D52 S168 S210 S138
slot1.state,OT0,,15,,<S:17> <S:466><S:0><S:20> <S:0><S:0><S:0><S:16><S:36><S:20><S:18> 스메리아,<S:17> <S:466><S:0><S:20> <S:0><S:0><S:0><S:16><S:36><S:20><S:18> 스메리아,1,"xy56,48:T5:U48:V0:C7FC1:<S:17> xy80,48:T5:U132:V60:C7FC2:<S:466> xy92,48:T5:U4:V0:C7FC0:<S:0> xy98,48:T5:U64:V0:C7FC0:<S:20> xy116,48:T5:U4:V0:C7FC0:<S:0> xy122,48:T5:U4:V0:C7FC0:<S:0> xy128,48:T5:U4:V0:C7FC0:<S:0> xy134,48:T5:U52:V0:C7FC0:<S:16> xy140,48:T5:U108:V0:C7FC0:<S:36> xy152,48:T5:U64:V0:C7FC0:<S:20> xy158,48:T5:U52:V0:C7FC2:<S:18> xy188,48:T5:U72:V12:C7FC2:스 xy200,48:T5:U12:V120:C7FC1:메 xy212,48:T5:U60:V24:C7FC0:리 xy224,48:T5:U192:V12:C7FC0:아"
slot1.state,OT1,,15,,<S:18> <S:466><S:17><S:20> <S:0><S:0><S:0><S:17><S:36><S:18><S:25> 스메리아,<S:18> <S:466><S:17><S:20> <S:0><S:0><S:0><S:17><S:36><S:18><S:25> 스메리아,1,"xy56,64:T5:U48:V0:C7FC2:<S:18> xy80,64:T5:U132:V60:C7FC2:<S:466> xy92,64:T5:U52:V0:C7FC1:<S:17> xy98,64:T5:U64:V0:C7FC0:<S:20> xy116,64:T5:U4:V0:C7FC0:<S:0> xy122,64:T5:U4:V0:C7FC0:<S:0> xy128,64:T5:U4:V0:C7FC0:<S:0> xy134,64:T5:U52:V0:C7FC1:<S:17> xy140,64:T5:U108:V0:C7FC0:<S:36> xy152,64:T5:U52:V0:C7FC2:<S:18> xy158,64:T5:U76:V0:C7FC1:<S:25> xy188,64:T5:U72:V12:C7FC2:스 xy200,64:T5:U12:V120:C7FC1:메 xy212,64:T5:U60:V24:C7FC0:리 xy224,64:T5:U192:V12:C7FC0:아"
slot1.state,OT2,,15,,<S:19> <S:466><S:17><S:18> <S:0><S:0><S:0><S:17><S:36><S:16><S:23> 미르마나,<S:19> <S:466><S:17><S:18> <S:0><S:0><S:0><S:17><S:36><S:16><S:23> 미르마나,1,"xy56,80:T5:U48:V0:C7FC3:<S:19> xy80,80:T5:U132:V60:C7FC2:<S:466> xy92,80:T5:U52:V0:C7FC1:<S:17> xy98,80:T5:U52:V0:C7FC2:<S:18> xy116,80:T5:U4:V0:C7FC0:<S:0> xy122,80:T5:U4:V0:C7FC0:<S:0> xy128,80:T5:U4:V0:C7FC0:<S:0> xy134,80:T5:U52:V0:C7FC1:<S:17> xy140,80:T5:U108:V0:C7FC0:<S:36> xy152,80:T5:U52:V0:C7FC0:<S:16> xy158,80:T5:U64:V0:C7FC3:<S:23> xy188,80:T5:U0:V120:C7FC3:미 xy200,80:T5:U204:V12:C7FC0:르 xy212,80:T5:U120:V24:C7FC3:마 xy224,80:T5:U240:V0:C7FC1:나"
slot1.state,OT3,,4,,처음부터,처음부터,1,"xy56,96:T5:U204:V96:C7FC1:처 xy68,96:T5:U84:V24:C7FC1:음 xy80,96:T5:U24:V24:C7FC1:부 xy92,96:T5:U168:V12:C7FC0:터"
slot1.state,OT4,,14,,불러올<S:155>데이터를<S:155>선택하세요,불러올<S:155>데이터를<S:155>선택하세요,1,"xy32,120:T5:U204:V132:C7FC2:불 xy44,120:T5:U228:V12:C7FC2:러 xy56,120:T5:U36:V24:C7FC3:올 xy68,120:T5:U204:V12:C7FC3:<S:155> xy74,120:T5:U12:V24:C7FC0:데 xy86,120:T5:U84:V72:C7FC2:이 xy98,120:T5:U168:V12:C7FC0:터 xy110,120:T5:U48:V12:C7FC0:를 xy122,120:T5:U204:V12:C7FC3:<S:155> xy128,120:T5:U0:V132:C7FC2:선 xy140,120:T31:U4:V224:C7FC0:택 xy152,120:T5:U0:V24:C7FC0:하 xy164,120:T5:U120:V24:C7FC2:세 xy176,120:T5:U156:V12:C7FC2:요"
slot2.state,0,0x801F031C,5,0x8019C262,정령의<S:155>산,정령의<S:155>산,1,S94 S128 S76 S155 S912
slot2.state,OT0,,22,,촌장<S:857><S:155>자<S:12><S:155>이<S:155>앞부터는<S:155>너희<S:155>화이트<S:155>가,촌장<S:857><S:155>자<S:12><S:155>이<S:155>앞부터는<S:155>너희<S:155>화이트<S:155>가,1,"xy46,36:T5:U96:V24:C7FC0:촌 xy58,36:T5:U108:V24:C7FC1:장 xy70,36:T5:U48:V120:C7FC1:<S:857> xy82,36:T5:U204:V12:C7FC3:<S:155> xy88,36:T5:U156:V12:C7FC0:자 xy100,36:T5:U36:V0:C7FC0:<S:12> xy112,36:T5:U204:V12:C7FC3:<S:155> xy118,36:T5:U84:V72:C7FC2:이 xy130,36:T5:U204:V12:C7FC3:<S:155> xy136,36:T5:U84:V120:C7FC3:앞 xy148,36:T5:U24:V24:C7FC1:부 xy160,36:T5:U168:V12:C7FC0:터 xy172,36:T5:U132:V12:C7FC3:는 xy184,36:T5:U204:V12:C7FC3:<S:155> xy190,36:T5:U144:V24:C7FC2:너 xy202,36:T5:U96:V132:C7FC2:희 xy214,36:T5:U204:V12:C7FC3:<S:155> xy220,36:T5:U168:V96:C7FC0:화 xy232,36:T5:U84:V72:C7FC2:이 xy244,36:T5:U60:V156:C7FC2:트 xy256,36:T5:U204:V12:C7FC3:<S:155> xy262,36:T5:U168:V12:C7FC2:가"
slot2.state,OT1,,16,,문의<S:155>사람만<S:155>들어갈<S:155>수<S:155>있다<S:14>,문의<S:155>사람만<S:155>들어갈<S:155>수<S:155>있다<S:14>,1,"xy46,50:T5:U36:V120:C7FC0:문 xy58,50:T5:U228:V0:C7FC0:의 xy70,50:T5:U204:V12:C7FC3:<S:155> xy76,50:T5:U60:V12:C7FC1:사 xy88,50:T5:U24:V108:C7FC2:람 xy100,50:T5:U48:V12:C7FC3:만 xy112,50:T5:U204:V12:C7FC3:<S:155> xy118,50:T5:U108:V12:C7FC3:들 xy130,50:T5:U228:V0:C7FC1:어 xy142,50:T5:U12:V204:C7FC2:갈 xy154,50:T5:U204:V12:C7FC3:<S:155> xy160,50:T5:U96:V12:C7FC1:수 xy172,50:T5:U204:V12:C7FC3:<S:155> xy178,50:T5:U240:V0:C7FC2:있 xy190,50:T5:U96:V12:C7FC3:다 xy202,50:T5:U36:V0:C7FC2:<S:14>"
slot3.state,0,0x801F031C,5,0x8019C262,정령의<S:155>산,정령의<S:155>산,1,S94 S128 S76 S155 S912
