kind,state,tpage,tpage_incoming,tpage_is_text_object,address,command,u,v,width,height,clut,overlap,text_clut,slot,incoming
SPRT,slot1.state,0x801F02E8,1,0,2149514916,101,4,224,12,12,32704,1,1,0,1
SPRT,slot1.state,0x801F02FC,1,0,2149514936,101,4,224,12,12,32704,1,1,0,1
SPRT,slot7.state,0x801F0DE4,1,0,2149517208,101,4,224,12,12,32706,1,1,2,1
SPRT,slot7.state,0x801F0DF8,1,0,2149517228,101,4,224,12,12,32706,1,1,2,1
SPRT,slot8.state,0x801F02E8,1,0,2149514448,101,4,224,12,12,32707,1,1,3,1
SPRT,slot8.state,0x801F02FC,1,0,2149514468,101,4,224,12,12,32707,1,1,3,1
SPRT,slot8.state,0x801F0DE4,1,0,2149517624,101,4,224,12,12,32704,1,1,0,1
SPRT,slot8.state,0x801F0DF8,1,0,2149517644,101,4,224,12,12,32704,1,1,0,1
SPRT,slot9.state,0x801F02E8,1,0,2149514448,101,4,224,12,12,32707,1,1,3,1
SPRT,slot9.state,0x801F02FC,1,0,2149514468,101,4,224,12,12,32707,1,1,3,1
SPRT,slot10.state,0x801F02E8,1,0,2149514448,101,4,224,12,12,32707,1,1,3,1
SPRT,slot10.state,0x801F02FC,1,0,2149514468,101,4,224,12,12,32707,1,1,3,1
SPRT,slot10.state,0x801F0DE4,1,0,2149517468,101,4,224,12,12,32704,1,1,0,1
SPRT,slot10.state,0x801F0DF8,1,0,2149517488,101,4,224,12,12,32704,1,1,0,1
