state,header,base,limit,count,source_pointer,dynamic_count,dynamic_slots,matched_source,source_match_score,source_match,packet_text_now,stale_dynamic_count,stale_dynamic,dynamic_packets
slot1.state,0x801F031C,0x801EFC9C,32,14,0x8019CAC7,1,0,,,,,,,"10@0x801EFEA4:xy140,120:U4:C7FC0:S0"
slot2.state,0x801F031C,0x801EFC9C,32,5,0x8019C262,0,,,,,,,,
slot3.state,0x801F031C,0x801EFC9C,32,5,0x8019C262,0,,,,,,,,
slot4.state,0x801F031C,0x801EFC9C,32,5,0x8019C262,0,,,,,,,,
slot5.state,0x801F031C,0x801EFC9C,32,2,0x8019C116,0,,,,,,,,
slot6.state,0x801F031C,0x801EFC9C,32,2,0x8019C116,0,,,,,,,,
slot7.state,0x801F031C,0x801EFC9C,32,11,0x8019B870,1,3,0x8019BB1F,9/9/0,강풍으로<s:155>적에게<s:155>피해,용암으로<s:155>적에게<s:155>피해,0,,"1@0x801EFCD0:xy100,109:U4:C7FC3:S3"
slot7.state,0x801F0E18,0x801F0798,32,9,0x8019C715,1,2,,,,,,,"0@0x801F0798:xy18,214:U4:C7FC2:S2"
slot7.state,0x801F1DB4,0x801F1A74,16,6,0x8019B5D4,0,,,,,,,,
slot8.state,0x801F031C,0x801EFC9C,32,11,0x8019B870,1,3,0x8019BB1F,9/9/0,강풍으로<s:155>적에게<s:155>피해,용암으로<s:155>적에게<s:155>피해,0,,"1@0x801EFCD0:xy100,109:U4:C7FC3:S3"
slot8.state,0x801F0E18,0x801F0798,32,12,0x8019C5DF,1,0,,,,,,,"8@0x801F0938:xy102,214:U4:C7FC0:S0"
slot8.state,0x801F1DB4,0x801F1A74,16,6,0x8019B5D4,0,,,,,,,,
slot9.state,0x801F031C,0x801EFC9C,32,11,0x8019B870,1,3,0x8019BB1F,9/9/0,강풍으로<s:155>적에게<s:155>피해,용암으로<s:155>적에게<s:155>피해,0,,"1@0x801EFCD0:xy100,109:U4:C7FC3:S3"
slot9.state,0x801F0E18,0x801F0798,32,5,0x8019C866,0,,,,,,,,
slot9.state,0x801F1DB4,0x801F1A74,16,6,0x8019B5D4,0,,,,,,,,
slot10.state,0x801F031C,0x801EFC9C,32,0,0x8019B870,0,,0x8019D038,0/0/0,,,0,,
slot10.state,0x801F0E18,0x801F0798,32,0,0x801928DB,0,,0x801947E8,0/0/0,,,0,,
slot10.state,0x801F1DB4,0x801F1A74,16,0,0x8019B5D4,0,,0x8019D038,0/0/0,,,0,,
