target_slot,rank,score,candidate,last_write_time,bytes
1,1,0.000,HASH-11CEE3D6EFD0E09B_resume.sav,1784553125.9728103,1633829
1,2,0.000,HASH-124B7457BEE4A10F_1.sav,1786256269.9345589,1597729
1,3,0.000,HASH-248CA1D38AB9CFA9_1.sav,1786628941.1817577,1595232
1,4,0.000,HASH-340476B50F5F94CD_4.sav,1785652012.2639797,1634409
1,5,0.000,HASH-36A4D7BFEE911E0C_4.sav,1786192149.50831,1596685
1,6,0.000,HASH-3B7F976560A27417_1.sav,1784541210.896839,1634304
1,7,0.000,HASH-3FFDC0534640A0C9_1.sav,1786194391.0200417,1597327
1,8,0.000,HASH-40C76B317973733E_resume.sav,1784553078.1771543,1633432
1,9,0.000,HASH-4E8AD4EF533377C3_1.sav,1784553439.506889,1633950
1,10,0.000,HASH-4E8AD4EF533377C3_resume.sav,1784553442.2445402,1634204
1,11,0.000,HASH-5076D335C1AF160E_1.sav,1786253364.6460683,1596791
1,12,0.000,HASH-5D381712B6D6EB28_1.sav,1786251590.910525,1596128
1,13,0.000,HASH-632D2DC287F41A9F_1.sav,1784553485.3942182,1633364
1,14,0.000,HASH-632D2DC287F41A9F_resume.sav,1784553487.7809682,1633852
1,15,0.000,HASH-654C083DF77828F4_3.sav,1786284357.844229,1598990
1,16,0.000,HASH-667232725CD28BF7_resume.sav,1784553420.113623,1632829
1,17,0.000,HASH-6986A6A46867D5D7_1.sav,1786267426.9528518,1594866
1,18,0.000,HASH-877504695FC6A822_resume.sav,1784552964.8947828,1634242
1,19,0.000,HASH-8BDE3D3B81BB8343_1.sav,1785568862.3470106,1619824
1,20,0.000,HASH-8BDE3D3B81BB8343_2.sav,1785568870.6353073,1629079
1,21,0.000,HASH-9667FEEE30014960_resume.sav,1784553298.6002648,1634576
1,22,0.000,HASH-999E7BB4F1B32474_resume.sav,1784553250.7863073,1634280
1,23,0.000,HASH-9BD6171E5513C3D5_1.sav,1786260666.7404013,1435150
1,24,0.000,HASH-9C791F6466AF1DFA_2.sav,1785569609.8124375,1631866
1,25,0.000,HASH-AC09FFC1FA717841_1.sav,1784986439.2927222,1635500
1,26,0.000,HASH-B3623EAD0785EC6C_1.sav,1784983653.7197475,1629725
1,27,0.000,HASH-B3623EAD0785EC6C_resume.sav,1784983657.9128711,1633547
1,28,0.000,HASH-CAA521161EBF5AAC_1.sav,1786237356.4936733,1595527
1,29,0.000,HASH-DDC7B8D4BB278C66_resume.sav,1784553205.2038724,1633150
1,30,0.000,HASH-E415CF8A9D6CA771_3.sav,1786272722.1622071,1596691
2,1,0.000,HASH-124B7457BEE4A10F_2.sav,1786256280.2328804,1507987
2,2,0.000,HASH-5076D335C1AF160E_2.sav,1786253373.59813,1513920
2,3,0.000,HASH-5076D335C1AF160E_3.sav,1786253378.7280817,1508320
2,4,0.000,HASH-5D381712B6D6EB28_2.sav,1786251600.3460693,1507803
2,5,0.000,HASH-6986A6A46867D5D7_2.sav,1786267434.4910078,1511975
2,6,0.000,HASH-7FBCB521988DFD89_3.sav,1786285319.0446491,1513932
2,7,0.000,HASH-9BD6171E5513C3D5_2.sav,1786260678.1501155,1510303
2,8,0.000,HASH-9BD6171E5513C3D5_3.sav,1786260688.466657,1516074
2,9,0.000,HASH-CAA521161EBF5AAC_2.sav,1786237364.7266865,1511490
2,10,0.000,HASH-E8C8C4E642CBDB4D_resume.sav,1784985501.334158,1557447
2,11,8624.758,HASH-6986A6A46867D5D7_4.sav,1786267580.0010998,1612696
2,12,8657.996,HASH-FFDD56518DBEA85D_1.sav,1786423517.7218547,1609471
2,13,8671.687,HASH-7BE40C1F98F21B61_2.sav,1786364369.3505561,1612235
2,14,8737.933,HASH-526F47F708C4BDC1_2.sav,1786421317.588971,1611001
2,15,10311.898,HASH-4B50418301780DB_8.sav,1785662388.6882246,1798829
2,16,10568.484,HASH-DE2D9449B487CDF9_7.sav,1785848320.909794,1794437
2,17,10679.864,HASH-340476B50F5F94CD_6.sav,1785652031.6600206,1782657
2,18,10998.130,HASH-5D381712B6D6EB28_7.sav,1786251652.187712,1678284
2,19,11012.937,HASH-4A70D1E48923C079_1.sav,1785853400.950207,1801919
2,20,11172.289,HASH-D4B9B4A1E9860C0A_2.sav,1785549918.6132393,1780818
2,21,11272.246,HASH-FC78BB70A362C359_3.sav,1786278171.7051897,1666401
2,22,11363.821,HASH-36A4D7BFEE911E0C_2.sav,1786192135.0800211,1672722
2,23,11479.754,HASH-654C083DF77828F4_resume.sav,1786285373.478117,1676307
2,24,11744.361,HASH-94BB56BF6BC48E89_1.sav,1786275374.773354,1679523
2,25,11798.484,HASH-BCDFD43E492EB996_resume.sav,1785534905.2999022,1807052
2,26,11808.480,HASH-A49790637D5E2A06_1.sav,1786278856.4830976,1671062
2,27,11911.797,HASH-D74281F928F8E924_resume.sav,1786276039.7862005,1668944
2,28,11913.724,HASH-FF95219BECFFC579_resume.sav,1786176088.8832376,1672873
2,29,11917.199,HASH-9BD6171E5513C3D5_resume.sav,1786261546.4367075,1664549
2,30,11927.890,HASH-9C7D2BC99085BD50_1.sav,1786454561.280264,1665374
5,1,0.000,HASH-358B87AC2668840B_6.sav,1785937636.4481194,1800708
5,2,0.000,HASH-358B87AC2668840B_7.sav,1785988316.8824193,1779686
5,3,0.000,HASH-358B87AC2668840B_8.sav,1785988347.6185122,1781781
5,4,0.000,HASH-4B50418301780DB_6.sav,1785662338.7261348,1738101
5,5,0.000,HASH-7FF97DC33136AE92_3.sav,1786501066.4560876,1631634
5,6,0.000,HASH-9C7D2BC99085BD50_1.sav,1786454561.280264,1665374
5,7,0.000,HASH-9C7D2BC99085BD50_2.sav,1786454581.0641463,1667566
5,8,0.000,HASH-9C7D2BC99085BD50_7.sav,1786454809.272229,1658271
5,9,0.000,HASH-9C7D2BC99085BD50_8.sav,1786454824.51018,1650450
5,10,0.000,HASH-B956EB79BA7801D1_5.sav,1786012473.7751563,1780341
5,11,0.000,HASH-B956EB79BA7801D1_7.sav,1786071800.7721405,1740402
5,12,0.000,HASH-BF7296DCC156CC8A_4.sav,1786627284.0715003,1689053
5,13,0.000,HASH-BF7296DCC156CC8A_5.sav,1786627293.6590211,1702107
5,14,1777.387,HASH-96A09AA84469A1A6_5.sav,1785330165.8840506,1819915
5,15,1777.387,HASH-96A09AA84469A1A6_resume.sav,1785334695.3349879,1820316
5,16,1792.821,HASH-340476B50F5F94CD_2.sav,1785651982.8479533,1838979
5,17,1793.168,HASH-1820FA8E2030B89F_1.sav,1785483108.0142314,1841975
5,18,1796.121,HASH-29EFD29BD74A5AE5_resume.sav,1785319213.3184402,1838148
5,19,1796.886,HASH-93EBD998DE880320_4.sav,1785248050.440431,1840697
5,20,1797.356,HASH-AC09FFC1FA717841_resume.sav,1784988486.858798,1838834
5,21,1798.333,HASH-29EFD29BD74A5AE5_6.sav,1785309091.4182608,1840229
5,22,1801.754,HASH-7F6751B55A942E91_1.sav,1785624462.1870155,1835983
5,23,1801.888,HASH-5B7D4D6CC70A365C_6.sav,1785479490.3966775,1840191
5,24,1804.082,HASH-1820FA8E2030B89F_resume.sav,1785483456.7308388,1842641
5,25,1804.173,HASH-C3CB4AF2CA2A0162_1.sav,1785482561.7477865,1840596
5,26,1804.231,HASH-FE27CFD4E73EF39_5.sav,1785237424.8702936,1840189
5,27,1810.898,HASH-FE27CFD4E73EF39_resume.sav,1785237448.9459105,1838686
5,28,1815.009,HASH-7F6751B55A942E91_4.sav,1785624457.7975192,1835518
5,29,1816.842,HASH-3B937440782FA793_1.sav,1785481397.3749788,1839748
5,30,1850.628,HASH-4F5ECA8C927BC50D_1.sav,1785476389.3066978,1820197
7,1,0.276,HASH-9C791F6466AF1DFA_resume.sav,1785569657.6441653,1775823
7,2,2.466,HASH-9C791F6466AF1DFA_1.sav,1785567812.3142743,1784514
7,3,23.102,HASH-3E7AE54B97E5181C_resume.sav,1785567773.948153,1786031
7,4,23.864,HASH-8BDE3D3B81BB8343_resume.sav,1785569581.5740035,1773348
7,5,25.764,HASH-8BDE3D3B81BB8343_3.sav,1785569058.3509705,1777044
7,6,33.831,HASH-660550AF1F902161_resume.sav,1785567329.1657946,1785244
7,7,108.510,HASH-ED102BDF40D4529_resume.sav,1785592432.0453713,1769321
7,8,114.663,HASH-896E1422742A9389_2.sav,1785566795.8772268,1787624
