state,order,address,kind,tpage,u,v,width,height,clut,cells,static_chars
slot2,652,0x801BF2E0,SPRT,0x0005,204,12,12,12,0x0000,"1,17","1,17:경군르"
slot2,653,0x801BF2AC,SPRT,0x0005,204,12,12,12,0x0000,"1,17","1,17:경군르"
slot2,654,0x801BF278,SPRT,0x0005,204,12,12,12,0x0000,"1,17","1,17:경군르"
slot2,658,0x801BF1A8,SPRT,0x0005,132,24,12,12,0x0000,"2,11","2,11:을"
slot2,659,0x801BF174,SPRT,0x0005,120,120,12,12,0x0400,"10,10","10,10:껐꽃날번"
slot2,660,0x801BF140,SPRT,0x0005,204,132,12,12,0x0400,"11,17","11,17:불빼"
slot2,661,0x801BF10C,SPRT,0x0005,204,12,12,12,0x0000,"1,17","1,17:경군르"
slot2,662,0x801BF0D8,SPRT,0x0005,228,0,12,12,0x0000,"0,19","0,19:그어의"
slot2,663,0x801BF0A4,SPRT,0x0005,132,12,12,12,0x0400,"1,11","1,11:는령인전"
slot2,664,0x801BF070,SPRT,0x0005,108,120,12,12,0x0000,"10,9","10,9:둔렌롭봉"
slot2,665,0x801BF03C,SPRT,0x0005,204,12,12,12,0x0000,"1,17","1,17:경군르"
slot2,666,0x801BF008,SPRT,0x0005,132,12,12,12,0x0000,"1,11","1,11:는령인전"
slot2,667,0x801BEFD4,SPRT,0x0005,240,0,12,12,0x0400,"0,20","0,20:고나있"
slot2,668,0x801BEFA0,SPRT,0x0005,204,12,12,12,0x0000,"1,17","1,17:경군르"
slot2,669,0x801BEF6C,SPRT,0x0005,204,0,12,12,0x0000,"0,17","0,17:니에"
slot2,670,0x801BEF38,SPRT,0x0005,108,24,12,12,0x0000,"2,9","2,9:상장"
slot2,671,0x801BEF04,SPRT,0x0005,24,12,12,12,0x0400,"1,2","1,2:도시정"
slot2,672,0x801BEED0,SPRT,0x0005,204,12,12,12,0x0000,"1,17","1,17:경군르"
slot2,673,0x801BEE9C,SPRT,0x0005,216,120,12,12,0x0000,"10,18","10,18:벌산섞송"
slot2,674,0x801BEE68,SPRT,0x0005,60,132,12,12,0x0400,"11,5","11,5:년늘온"
slot2,675,0x801BEE34,SPRT,0x0005,24,12,12,12,0x0000,"1,2","1,2:도시정"
slot2,676,0x801BEE00,SPRT,0x0005,204,12,12,12,0x0000,"1,17","1,17:경군르"
slot2,677,0x801BEDCC,SPRT,0x0005,204,0,12,12,0x0000,"0,17","0,17:니에"
slot2,678,0x801BED98,SPRT,0x0005,132,12,12,12,0x0000,"1,11","1,11:는령인전"
slot2,679,0x801BED64,SPRT,0x0005,204,12,12,12,0x0000,"1,17","1,17:경군르"
slot2,680,0x801BED30,SPRT,0x0005,228,0,12,12,0x0400,"0,19","0,19:그어의"
slot2,681,0x801BECFC,SPRT,0x0005,204,12,12,12,0x0000,"1,17","1,17:경군르"
slot2,682,0x801BECC8,SPRT,0x0005,48,12,12,12,0x0000,"1,4","1,4:게를만여"
slot2,683,0x801BEC94,SPRT,0x0005,84,12,12,12,0x0000,"1,7","1,7:지핀해"
slot2,684,0x801BEC60,SPRT,0x0005,0,24,12,12,0x0000,"2,0","2,0:몬물하"
slot2,685,0x801BEC2C,SPRT,0x0005,204,12,12,12,0x0000,"1,17","1,17:경군르"
slot2,687,0x801BEBC4,SPRT,0x0005,84,12,12,12,0x0000,"1,7","1,7:지핀해"
slot2,688,0x801BEB90,SPRT,0x0005,84,72,12,12,0x0400,"6,7","6,7:이"
slot4,726,0x801F1B78,SPRT,0x0005,84,108,12,12,0x0010,"9,7","9,7:림막매저"
slot4,727,0x801F1B44,SPRT,0x0005,84,144,12,12,0x0010,"12,7","12,7:누열형"
slot4,728,0x801F1B10,SPRT,0x0005,204,12,12,12,0x00CC,"1,17","1,17:경군르"
slot4,729,0x801F1ADC,SPRT,0x0005,228,0,12,12,0x0010,"0,19","0,19:그어의"
slot4,730,0x801F1AA8,SPRT,0x0005,240,72,12,12,0x0016,"6,20","6,20:로"
slot4,731,0x801F1A74,SPRT,0x0005,144,120,12,12,0x0010,"10,12","10,12:털텅파프"
slot5,727,0x801F1B10,SPRT,0x0005,204,12,12,12,0x00CC,"1,17","1,17:경군르"
slot5,728,0x801F1ADC,SPRT,0x0005,228,0,12,12,0x0010,"0,19","0,19:그어의"
slot5,729,0x801F1AA8,SPRT,0x0005,0,120,12,12,0x0016,"10,0","10,0:런력미방"
slot5,730,0x801F1A74,SPRT,0x0005,120,24,12,12,0x00CC,"2,10","2,10:마변세토"
slot6,727,0x801F1AA8,SPRT,0x0005,204,12,12,12,0x00CC,"1,17","1,17:경군르"
slot7,684,0x801F52BC,FT4,0x0005,0,128,33,33,,"10,0 10,1 10,2 11,0 11,2 12,0 12,2 13,0 13,1 13,2","10,0:런력미방 | 10,1:님메행 | 10,2:단동명언 | 11,0:렇선참 | 11,2:노본키험 | 12,0:족타편 | 12,2:못씩품 | 13,0:슈준표 | 13,1:걸석체 | 13,2:느숲톤"
