state,header,base,limit,count,source_pointer,dynamic_count,matched,expected_text,packet_text_now,stale_count,stale,slots
slot1,0x801F031C,0x801EFC9C,32,14,0x8019CAC7,1,0,,,,,0
slot2,0x801F031C,0x801EFC9C,32,5,0x8019C262,0,0,,,,,
slot3,0x801F031C,0x801EFC9C,32,5,0x8019C137,0,0,,,,,
slot3,0x801F0E18,0x801F0798,32,19,0x00000000,0,0,,,,,
slot4,0x801F031C,0x801EFC9C,32,5,0x8019B556,0,0,,,,,
slot4,0x801F0E18,0x801F0798,32,0,0x00000000,0,0,,,,,
slot4,0x801F1DB4,0x801F1A74,16,9,0x8019B26D,0,0,,,,,
slot5,0x801F031C,0x801EFC9C,32,5,0x8019B571,0,0,,,,,
slot5,0x801F0E18,0x801F0798,32,0,0x00000000,0,0,,,,,
slot5,0x801F1DB4,0x801F1A74,16,8,0x8019B283,0,0,,,,,
slot6,0x801F031C,0x801EFC9C,32,9,0x8019B59F,0,0,,,,,
slot6,0x801F0E18,0x801F0798,32,0,0x00000000,0,0,,,,,
slot6,0x801F1DB4,0x801F1A74,16,6,0x8019B293,0,0,,,,,
slot7,0x801F031C,0x801EFC9C,32,9,0x8019B59F,0,0,,,,,
slot7,0x801F0E18,0x801F0798,32,10,0x8019CF92,1,0,,,,,3
slot7,0x801F1DB4,0x801F1A74,16,6,0x8019B293,0,0,,,,,
slot8,0x801F031C,0x801EFC9C,32,9,0x8019B59F,0,0,,,,,
slot8,0x801F0E18,0x801F0798,32,10,0x8019CF92,1,0,,,,,3
slot8,0x801F1DB4,0x801F1A74,16,6,0x8019B293,0,0,,,,,
