slot,lineage_ok,owners_used,active_slots,active_mask,item_object_dynamic_slots,item_object_stale,item_expected,item_current_owners
1,1,18,12,0x03FE15,7,0,,
2,1,24,11,0xD0415F,4,1,장군의<s:155>방,정령의<s:155>산
3,1,24,2,0x420000,4,1,장군의<s:155>방,하그전<s:155>시
4,1,24,8,0x3003F0,1,0,,
5,1,24,0,0x000000,2,1,마력<s:155>상승,민첩<s:155>상승
6,1,24,0,0x000000,3,1,토탈<s:155>힐링,마력<s:155>상승
7,1,24,0,0x000000,5,0,,
8,1,24,2,0x000060,5,0,,
9,1,24,4,0x480440,3,1,토탈<s:155>힐링,마력<s:155>상승
10,1,24,5,0xC00181,2,1,마력<s:155>상승,민첩<s:155>상승
