name,runtime_address,size
huffman_rows,0x801FE3C4,324
huffman_counts,0x801FE508,12
conflict_ranges,0x801FE514,160
source_checkpoints,0x801FE5B4,94
source_bitstream,0x801FE612,2917
nibble_expand,0x801FF178,32
owners,0x801FF198,48
active_mask,0x801FF1C8,4
next_slot,0x801FF1CC,4
upload_rect,0x801FF1D0,8
cell_scratch,0x801FF1D8,72
decoded_glyph_rows,0x801FF220,24
decoder,0x801FF238,532
huffman,0x801FF44C,248
helper,0x801FF544,44
classifier,0x801FF570,36
frame,0x801FF594,664
item_guard,0x801FF82C,128
