member,offset,label,char,old_code,risky_code,safe_code,old_lead_is_control
1/S1011.DAT,283906,slot:1/S1011.DAT:10,케,E0 78,E1 E8,E9 E9,0
1/S1013.DAT,283796,slot:1/S1013.DAT:9,궤,E0 28,E1 BF,,0
1/S1013.DAT,284194,slot:1/S1013.DAT:12,됐,E0 F0,E1 EE,,0
1/S1013.DAT,293890,body:1/S1013.DAT:0x47BF8,궤,E0 28,E1 BF,,0
1/S1021.DAT,289195,slot:1/S1021.DAT:51,돼,E0 30,E1 CA,,0
1/S1021.DAT,289323,slot:1/S1021.DAT:52,돼,E0 30,E1 CA,,0
1/S1021.DAT,290188,slot:1/S1021.DAT:59,떠,E0 B8,E1 DE,,0
1/S1021.DAT,290217,slot:1/S1021.DAT:59,됐,E0 F0,E1 EE,,0
1/S1021.DAT,290440,slot:1/S1021.DAT:61,디,E0 A1,E1 D8,,0
1/S1021.DAT,290727,slot:1/S1021.DAT:63,린,E0 48,E1 D7,,0
1/S1021.DAT,290848,slot:1/S1021.DAT:64,돼,E0 30,E1 CA,,0
1/S1021.DAT,293314,body:1/S1021.DAT:0x479AA,릴,E0 EC,E1 D5,,0
1/S1021.DAT,293607,body:1/S1021.DAT:0x47AD6,별,DE E2,E1 ED,,0
1/S1021.DAT,293704,body:1/S1021.DAT:0x47B34,갈,E0 42,E1 C3,EA 19,0
1/S1021.DAT,297059,body:1/S1021.DAT:0x4885A,됐,E0 F0,E1 EE,,0
1/S1021.DAT,298424,body:1/S1021.DAT:0x48DA6,켜,E0 79,E1 D3,,0
1/S1022.DAT,293194,body:1/S1022.DAT:0x47940,떠,E0 B8,E1 DE,,0
1/S1022.DAT,293282,body:1/S1022.DAT:0x479A2,별,DE E2,E1 ED,,0
1/S1022.DAT,293316,body:1/S1022.DAT:0x479A2,뿐,E0 07,E1 D6,,0
1/S1023.DAT,283681,slot:1/S1023.DAT:8,커,DE D0,E1 F0,,0
1/S1023.DAT,284817,slot:1/S1023.DAT:17,절,E0 E6,E1 DB,,0
1/S1023.DAT,286742,slot:1/S1023.DAT:32,몰,E0 ED,E1 D4,,0
1/S1023.DAT,286851,slot:1/S1023.DAT:33,커,DE D0,E1 F0,,0
1/S1023.DAT,287129,slot:1/S1023.DAT:35,절,E0 E6,E1 DB,,0
1/S1023.DAT,287248,slot:1/S1023.DAT:36,차,E0 96,E1 CC,E9 DF,0
1/S1023.DAT,293983,body:1/S1023.DAT:0x47C3C,련,DE E8,E1 D1,,0
1/S1023.DAT,293991,body:1/S1023.DAT:0x47C3C,맞,E0 DD,E1 C9,,0
1/S1023.DAT,294821,body:1/S1023.DAT:0x47F8C,돼,E0 30,E1 CA,,0
1/S1023.DAT,295318,body:1/S1023.DAT:0x48182,집,E0 D2,E1 DF,E9 DD,0
1/S1041.DAT,286864,slot:1/S1041.DAT:33,멸,E0 4D,E1 DC,,0
1/S1041.DAT,287126,slot:1/S1041.DAT:35,겁,DF DE,E1 E7,,0
1/S1041.DAT,287504,slot:1/S1041.DAT:38,슨,E0 EA,E1 C0,,0
1/S1041.DAT,288389,slot:1/S1041.DAT:45,멸,E0 4D,E1 DC,,0
1/S1041.DAT,289288,slot:1/S1041.DAT:52,른,E0 AF,E1 CB,,0
1/S1041.DAT,293327,body:1/S1041.DAT:0x479BA,린,E0 48,E1 D7,,0
1/S1041.DAT,293471,body:1/S1041.DAT:0x47A56,슨,E0 EA,E1 C0,,0
1/S1041.DAT,293476,body:1/S1041.DAT:0x47A56,린,E0 48,E1 D7,,0
1/S1041.DAT,293855,body:1/S1041.DAT:0x47BB8,디,E0 A1,E1 D8,,0
1/S1041.DAT,294725,body:1/S1041.DAT:0x47F2E,궤,E0 28,E1 BF,,0
1/S1041.DAT,294742,body:1/S1041.DAT:0x47F2E,켜,E0 79,E1 D3,,0
1/S1041.DAT,294859,body:1/S1041.DAT:0x47F9E,집,E0 D2,E1 DF,E9 DD,0
1/S1041.DAT,295306,body:1/S1041.DAT:0x48178,멸,E0 4D,E1 DC,,0
1/S1041.DAT,295473,body:1/S1041.DAT:0x48226,궤,E0 28,E1 BF,,0
1/S1041.DAT,295631,body:1/S1041.DAT:0x482BC,멸,E0 4D,E1 DC,,0
1/S1061.DAT,286094,slot:1/S1061.DAT:27,함,E0 85,E1 D2,EA 09,0
1/S1061.DAT,286118,slot:1/S1061.DAT:27,얻,E0 B1,E1 BE,,0
1/S1061.DAT,286130,slot:1/S1061.DAT:27,갈,E0 42,E1 C3,EA 19,0
1/S1061.DAT,286348,slot:1/S1061.DAT:29,떠,E0 B8,E1 DE,,0
1/S1061.DAT,286371,slot:1/S1061.DAT:29,뭔,E0 D8,E1 E9,,0
1/S1061.DAT,286481,slot:1/S1061.DAT:30,디,E0 A1,E1 D8,,0
1/S1061.DAT,287127,slot:1/S1061.DAT:35,른,E0 AF,E1 CB,,0
1/S1061.DAT,287254,slot:1/S1061.DAT:36,멸,E0 4D,E1 DC,,0
1/S1061.DAT,288149,slot:1/S1061.DAT:43,갈,E0 42,E1 C3,EA 19,0
1/S1061.DAT,288406,slot:1/S1061.DAT:45,갈,E0 42,E1 C3,EA 19,0
1/S1061.DAT,288522,slot:1/S1061.DAT:46,돼,E0 30,E1 CA,,0
1/S1071.DAT,283176,slot:1/S1071.DAT:4,갈,E0 42,E1 C3,EA 19,0
1/S1071.DAT,293272,body:1/S1071.DAT:0x4798E,론,DF D1,E1 C7,,0
1/S1072.DAT,284055,slot:1/S1072.DAT:11,갈,E0 42,E1 C3,EA 19,0
1/S1072.DAT,284179,slot:1/S1072.DAT:12,겁,DF DE,E1 E7,,0
1/S1072.DAT,284422,slot:1/S1072.DAT:14,슨,E0 EA,E1 C0,,0
1/S1072.DAT,293797,body:1/S1072.DAT:0x47B94,됐,E0 F0,E1 EE,,0
1/S1072.DAT,293955,body:1/S1072.DAT:0x47C24,몰,E0 ED,E1 D4,,0
21/S2011.DAT,283544,slot:21/S2011.DAT:7,슨,E0 EA,E1 C0,,0
21/S2011.DAT,293919,body:21/S2011.DAT:0x47C0C,빌,E0 54,E1 C4,,0
21/S2011.DAT,293999,body:21/S2011.DAT:0x47C68,빌,E0 54,E1 C4,,0
21/S2011.DAT,294014,body:21/S2011.DAT:0x47C68,린,E0 48,E1 D7,,0
21/S2013.DAT,283017,slot:21/S2013.DAT:3,술,E3 04,E1 E2,EA 54,1
21/S2013.DAT,283395,slot:21/S2013.DAT:6,함,E0 85,E1 D2,EA 09,0
21/S2013.DAT,283533,slot:21/S2013.DAT:7,술,E3 04,E1 E2,EA 54,1
21/S2013.DAT,284289,slot:21/S2013.DAT:13,슨,E0 EA,E1 C0,,0
21/S2013.DAT,284419,slot:21/S2013.DAT:14,집,E0 D2,E1 DF,E9 DD,0
21/S2013.DAT,284425,slot:21/S2013.DAT:14,갈,E0 42,E1 C3,EA 19,0
21/S2013.DAT,293860,body:21/S2013.DAT:0x47BDA,켜,E0 79,E1 D3,,0
21/S2014.DAT,282905,slot:21/S2014.DAT:2,린,E0 48,E1 D7,,0
21/S2014.DAT,282935,slot:21/S2014.DAT:2,더,DF D5,E1 C1,,0
21/S2014.DAT,283265,slot:21/S2014.DAT:5,슨,E0 EA,E1 C0,,0
21/S2014.DAT,284685,slot:21/S2014.DAT:16,빛,EA 9D,E1 D0,,0
21/S2014.DAT,294499,body:21/S2014.DAT:0x47E5C,몰,E0 ED,E1 D4,,0
