slot,code,lookup_value,target_char,bounded_occurrences,raw_archive_occurrences,protected,globally_absent_candidate
0,E9 01,0x00B8,때,1,591,0,0
1,E9 02,0x008E,가,14,211,0,0
2,E9 03,0x00AD,않,1,1528,0,0
3,E9 04,0x8007,있,7,119,0,0
4,E9 05,0x00C2,손,1,201,0,0
5,E9 06,0x8117,벗,3,100,0,0
6,E9 07,0x00AC,데,18,92,0,0
7,E9 08,0x80B1,놓,14,262,0,0
8,E9 09,0x80AA,뜨,16,210,0,0
9,E9 0A,0x00C3,겠,8,39,0,0
10,E9 0B,0x80FA,텐,5,61,0,0
11,E9 0C,0x00AE,거,3,93,0,0
12,E9 0D,0x801B,경,6,323,0,0
13,E9 0E,0x800C,게,14,439,0,0
14,E9 0F,0x006C,까,8,122,0,0
15,E9 10,0x80CE,렴,9,261,0,0
16,E9 11,0x00A7,버,1,187,0,0
17,E9 12,0x80AB,갑,16,65,0,0
18,E9 13,0x80B5,엄,13,61,0,0
19,E9 14,0x007A,것,1,97,0,0
20,E9 15,0x0060,습,18,112,0,0
21,E9 16,0x00A6,구,6,60,0,0
22,E9 17,0x8005,고,19,44,0,0
23,E9 18,0x8105,밤,4,89,0,0
24,E9 19,0x8004,그,13,45,0,0
25,E9 1A,0x0090,었,1,40,0,0
26,E9 1B,0x0068,기,22,42,0,0
27,E9 1C,0x0091,말,3,70,0,0
28,E9 1D,0x8024,세,10,30,0,0
29,E9 1E,0x80BB,름,11,59,0,0
30,E9 1F,0x8106,춰,4,64,0,0
31,E9 20,0x8006,나,21,308,0,0
32,E9 21,0x8107,옆,4,276,0,0
33,E9 22,0x007C,뒤,1,208,0,0
34,E9 23,0x0093,내,2,58,0,0
35,E9 24,0x00DA,너,1,132,0,0
36,E9 25,0x00C6,예,2,23,0,0
37,E9 26,0x801C,군,13,42,0,0
38,E9 27,0x00C7,넣,2,9,0,0
39,E9 28,0x8108,쳤,4,22,0,0
40,E9 29,0x80ED,뭘,6,48,0,0
41,E9 2A,0x8019,는,13,19,0,0
42,E9 2B,0x80EE,죄,6,9,0,0
43,E9 2C,0x8000,니,40,130,0,0
44,E9 2D,0x8015,다,51,54,0,0
45,E9 2E,0x00C4,할,1,16,0,0
46,E9 2F,0x80B6,통,12,16,0,0
47,E9 30,0x8128,맵,2,290,0,0
48,E9 31,0x8014,대,18,125,0,0
49,E9 32,0x00C0,출,1,43,0,0
50,E9 33,0x80D6,택,6,41,0,0
51,E9 34,0x80DD,례,7,53,0,0
52,E9 35,0x80DE,깐,7,31,0,0
53,E9 36,0x8009,도,6,17,0,0
54,E9 37,0x00B0,돌,5,12,0,0
55,E9 38,0x80A2,튼,18,35,0,0
56,E9 39,0x00C1,되,2,13,0,0
57,E9 3A,0x80AC,볼,16,16,0,0
58,E9 3B,0x80CF,낙,9,9,0,0
59,E9 3C,0x80D0,억,9,26,0,0
60,E9 3D,0x007B,들,2,17,0,0
61,E9 3E,0x80D1,듯,9,23,0,0
62,E9 3F,0x80C6,착,10,33,0,0
63,E9 40,0x8109,콜,4,57,0,0
64,E9 41,0x80BD,빠,11,27,0,0
65,E9 42,0x00A2,러,11,37,0,0
66,E9 43,0x80C7,혀,10,34,0,0
67,E9 44,0x80B8,립,13,34,0,0
68,E9 45,0x80BA,또,10,32,0,0
69,E9 46,0x0092,려,1,12,0,0
70,E9 47,0x8145,큭,1,23,0,0
71,E9 48,0x8016,령,1,3,0,0
72,E9 49,0x8129,꾀,2,11,0,0
73,E9 4A,0x80E0,겸,7,9,0,0
74,E9 4B,0x80F0,끔,6,9,0,0
75,E9 4C,0x801A,르,7,24,0,0
76,E9 4D,0x800B,를,14,32,0,0
77,E9 4E,0x0525,,0,771,0,0
78,E9 4F,0x00BC,리,41,79,0,0
79,E9 50,0x80F1,껏,6,48,0,0
80,E9 51,0x80D8,굴,8,35,0,0
81,E9 52,0x8025,마,45,51,0,0
82,E9 53,0x80A8,긴,17,24,0,0
83,E9 54,0x800E,만,6,60,0,0
84,E9 55,0x80D3,달,9,208,0,0
85,E9 56,0x80CA,광,7,62,0,0
86,E9 57,0x80F2,훌,6,12,0,0
87,E9 58,0x80C9,먹,8,36,0,0
88,E9 59,0x80E1,근,7,19,0,0
89,E9 5A,0x80F3,쁜,6,7,0,0
90,E9 5B,0x80AD,잊,16,19,0,0
91,E9 5C,0x007D,면,12,12,0,0
92,E9 5D,0x8119,럽,3,6,0,0
93,E9 5E,0x811A,껴,3,1294,0,0
94,E9 5F,0x0097,모,19,75,0,0
95,E9 60,0x80A9,견,17,78,0,0
96,E9 61,0x801F,몬,7,152,0,0
97,E9 62,0x80FC,쩌,5,12,0,0
98,E9 63,0x053A,,0,4,0,0
99,E9 64,0x0095,무,11,40,0,0
