state,order,address,cache_slot,owner_source,owner_char
slot1,528,0x801BF2AC,12,6,나
slot1,529,0x801BF278,11,37,마
slot1,530,0x801BF244,10,26,르
slot1,531,0x801BF210,9,50,미
slot1,532,0x801BEF38,0,52,메
slot1,533,0x801BEC2C,0,52,메
slot1,595,0x801EFF0C,17,36,세
slot1,596,0x801EFED8,4,29,하
slot1,597,0x801EFEA4,16,214,택
slot1,598,0x801EFE70,15,106,선
slot1,599,0x801EFE08,2,11,를
slot1,600,0x801EFDA0,14,39,이
slot1,601,0x801EFC9C,13,137,불
slot2,650,0x801BEB5C,17,30,물
slot2,651,0x801BE9F0,22,33,장
slot3,700,0x801F0CE0,7,0,니
slot3,701,0x801F0AA4,7,0,니
slot3,702,0x801F0A08,23,8,시
slot3,703,0x801F09D4,12,29,하
slot3,704,0x801F096C,11,10,정
slot3,705,0x801F0904,9,11,를
slot3,706,0x801F089C,22,33,장
slot3,707,0x801F0834,6,23,전
slot3,708,0x801F07CC,8,65,투
slot3,709,0x801F0798,6,23,전
slot6,740,0x801F1B44,7,185,잎
slot6,741,0x801F1ADC,3,2,의
slot6,742,0x801F1AA8,22,49,력
slot6,743,0x801F1A74,6,37,마
slot7,736,0x801F1B24,21,17,해
slot7,737,0x801F1ABC,11,295,묵
