state,order,address,cache_slot,owner_source,owner_char
slot1,528,0x801BF2C0,12,6,나
slot1,529,0x801BF28C,11,37,마
slot1,530,0x801BF258,10,26,르
slot1,531,0x801BF224,9,50,미
slot1,532,0x801BEF4C,0,52,메
slot1,533,0x801BEC40,0,52,메
slot1,595,0x801EFF20,17,36,세
slot1,596,0x801EFEEC,4,29,하
slot1,597,0x801EFEB8,16,214,택
slot1,598,0x801EFE84,15,106,선
slot1,599,0x801EFE1C,2,11,를
slot1,600,0x801EFDB4,14,39,이
slot1,601,0x801EFCB0,13,137,불
slot2,652,0x801BF1DC,13,38,을
slot2,653,0x801BF1A8,11,75,꽃
slot2,654,0x801BF174,10,137,불
slot2,655,0x801BF10C,8,2,의
slot2,656,0x801BF0D8,7,24,인
slot2,657,0x801BF0A4,6,69,봉
slot2,658,0x801BF03C,5,25,는
slot2,659,0x801BF008,4,7,있
slot2,660,0x801BEFA0,9,1,에
slot2,661,0x801BEF6C,3,32,상
slot2,662,0x801BEF38,1,10,정
slot2,663,0x801BEED0,0,101,산
slot2,664,0x801BEE9C,23,114,온
slot2,665,0x801BEE68,21,8,시
slot2,666,0x801BEE00,9,1,에
slot2,667,0x801BEDCC,20,23,전
slot2,668,0x801BED64,19,4,그
slot2,669,0x801BECFC,2,14,만
slot2,670,0x801BECC8,12,16,지
slot2,671,0x801BEC94,18,29,하
slot2,672,0x801BEBF8,12,16,지
slot2,673,0x801BEBC4,14,39,이
slot2,674,0x801BEB5C,17,30,물
slot2,675,0x801BE9F0,22,33,장
slot3,702,0x801F0CE0,11,0,니
slot3,703,0x801F0AA4,11,0,니
slot3,704,0x801F0A08,20,8,시
slot3,705,0x801F09D4,10,29,하
slot3,706,0x801F096C,9,10,정
slot3,707,0x801F0904,8,11,를
slot3,708,0x801F089C,23,33,장
slot3,709,0x801F0834,6,23,전
slot3,710,0x801F07CC,7,65,투
slot3,711,0x801F0798,6,23,전
slot4,635,0x801F1AF0,2,43,저
slot4,636,0x801F1ABC,1,39,이
slot4,637,0x801F1A88,0,117,카
slot4,660,0x801EFD80,23,116,레
slot4,661,0x801EFCE4,3,16,지
slot5,724,0x801F1B44,10,185,잎
slot5,725,0x801F1ADC,0,2,의
slot5,726,0x801F1AA8,6,49,력
slot5,727,0x801F1A74,5,37,마
slot6,724,0x801F1AF0,10,185,잎
slot6,725,0x801F1A88,1,266,쓴
