state,scene,order,address,x,y,width,height,u,v,clut,kind,cache_slot,owner_source,char,physical_index,space_filler,next_x,overlap_with_next_px
slot1,load menu,528,0x801BF2C0,224,80,12,12,40,224,0x7FC0,dynamic,12,6,나,,0,,0
slot1,load menu,529,0x801BF28C,212,80,12,12,28,224,0x7FC3,dynamic,11,37,마,,0,,0
slot1,load menu,530,0x801BF258,200,80,12,12,28,224,0x7FC2,dynamic,10,26,르,,0,,0
slot1,load menu,531,0x801BF224,188,80,12,12,28,224,0x7FC1,dynamic,9,50,미,,0,,0
slot1,load menu,532,0x801BEF4C,200,64,12,12,4,224,0x7FC0,dynamic,0,52,메,,0,,0
slot1,load menu,533,0x801BEC40,200,48,12,12,4,224,0x7FC0,dynamic,0,52,메,,0,,0
slot1,load menu,535,0x801BF390,92,96,12,12,168,12,0x7FC0,static,,,<S:140>,140,0,,0
slot1,load menu,536,0x801BF35C,80,96,12,12,24,24,0x7FC1,static,,,<S:177>,177,0,,0
slot1,load menu,537,0x801BF328,68,96,12,12,84,24,0x7FC1,static,,,<S:197>,197,0,,0
slot1,load menu,538,0x801BF2F4,56,96,12,12,204,96,0x7FC1,static,,,<S:741>,741,0,,0
slot1,load menu,539,0x801BF1F0,158,80,6,12,64,0,0x7FC3,static,,,<S:23>,23,0,,0
slot1,load menu,540,0x801BF1BC,152,80,6,12,52,0,0x7FC0,static,,,<S:16>,16,0,,0
slot1,load menu,541,0x801BF188,140,80,12,12,108,0,0x7FC0,static,,,<S:36>,36,0,,0
slot1,load menu,542,0x801BF154,134,80,6,12,52,0,0x7FC1,static,,,<S:17>,17,0,,0
slot1,load menu,543,0x801BF120,128,80,6,12,4,0,0x7FC0,static,,,<S:0>,0,0,,0
slot1,load menu,544,0x801BF0EC,122,80,6,12,4,0,0x7FC0,static,,,<S:0>,0,0,,0
slot1,load menu,545,0x801BF0B8,116,80,6,12,4,0,0x7FC0,static,,,<S:0>,0,0,,0
slot1,load menu,546,0x801BF084,98,80,6,12,52,0,0x7FC2,static,,,<S:18>,18,0,,0
slot1,load menu,547,0x801BF050,92,80,6,12,52,0,0x7FC1,static,,,<S:17>,17,0,,0
slot1,load menu,548,0x801BF01C,80,80,12,12,132,60,0x7FC2,static,,,<S:466>,466,0,,0
slot1,load menu,549,0x801BEFE8,56,80,12,12,48,0,0x7FC3,static,,,<S:19>,19,0,,0
slot1,load menu,550,0x801BEFB4,224,64,12,12,192,12,0x7FC0,static,,,<S:148>,148,0,,0
slot1,load menu,551,0x801BEF80,212,64,12,12,60,24,0x7FC0,static,,,<S:188>,188,0,,0
slot1,load menu,552,0x801BEF18,188,64,12,12,72,12,0x7FC2,static,,,<S:110>,110,0,,0
slot1,load menu,553,0x801BEEE4,158,64,6,12,76,0,0x7FC1,static,,,<S:25>,25,0,,0
slot1,load menu,554,0x801BEEB0,152,64,6,12,52,0,0x7FC2,static,,,<S:18>,18,0,,0
slot1,load menu,555,0x801BEE7C,140,64,12,12,108,0,0x7FC0,static,,,<S:36>,36,0,,0
slot1,load menu,556,0x801BEE48,134,64,6,12,52,0,0x7FC1,static,,,<S:17>,17,0,,0
slot1,load menu,557,0x801BEE14,128,64,6,12,4,0,0x7FC0,static,,,<S:0>,0,0,,0
slot1,load menu,558,0x801BEDE0,122,64,6,12,4,0,0x7FC0,static,,,<S:0>,0,0,,0
slot1,load menu,559,0x801BEDAC,116,64,6,12,4,0,0x7FC0,static,,,<S:0>,0,0,,0
slot1,load menu,560,0x801BED78,98,64,6,12,64,0,0x7FC0,static,,,<S:20>,20,0,,0
slot1,load menu,561,0x801BED44,92,64,6,12,52,0,0x7FC1,static,,,<S:17>,17,0,,0
slot1,load menu,562,0x801BED10,80,64,12,12,132,60,0x7FC2,static,,,<S:466>,466,0,,0
slot1,load menu,563,0x801BECDC,56,64,12,12,48,0,0x7FC2,static,,,<S:18>,18,0,,0
slot1,load menu,564,0x801BECA8,224,48,12,12,192,12,0x7FC0,static,,,<S:148>,148,0,,0
