slot,scene,order,address,screen_x,screen_y,kind,tpage,u,v,width,height,clut,physical_index,labels,cache_slot,cache_owner,live_nonzero_nibbles,v170_nonzero_nibbles,v151_nonzero_nibbles,original_nonzero_nibbles,live_selected_pixels,v170_selected_pixels,v151_selected_pixels,original_selected_pixels,v170_shape,v151_shape,original_shape,live_equals_v170,v170_equals_v151,v170_equals_original,lost_from_v151,blank_live_font_plane
3,dialogue: missing question mark,669,0x801BF140,124,64,SPRT,0x0005,132,144,12,12,0x7FC3,1055,?,,,0,0,78,0,0,0,13,0,,,,1,0,1,1,1
3,dialogue: missing question mark,679,0x801BEDCC,124,50,SPRT,0x0005,132,144,12,12,0x7FC3,1055,?,,,0,0,78,0,0,0,13,0,,,,1,0,1,1,1
4,battle dialogue,683,0x801BED10,118,50,SPRT,0x0005,108,144,12,12,0x7FC3,1047,,,,0,0,78,0,0,0,43,0,,괜,,1,0,1,1,1
4,battle dialogue,686,0x801BEC74,238,36,SPRT,0x0005,132,144,12,12,0x7FC3,1055,?,,,0,0,78,0,0,0,13,0,,,,1,0,1,1,1
5,battle help icons A,688,0x801F08B0,72,214,SPRT,0x0005,204,228,12,12,0x7AC1,,,,,0,0,112,0,,,,,,,,1,0,1,1,0
6,battle help icons B,690,0x801F0918,92,214,SPRT,0x0005,216,228,20,12,0x7AC1,,,,,0,0,240,0,,,,,,,,1,0,1,1,0
6,battle help icons B,695,0x801F07AC,18,214,SPRT,0x0005,180,228,12,12,0x7AC1,,,,,0,0,112,0,,,,,,,,1,0,1,1,0
9,battle configuration text,676,0x801BF348,256,146,SPRT,0x0005,192,156,12,12,0x7FC0,1156,,,,0,0,77,0,0,0,27,0,,기,,1,0,1,1,1
9,battle configuration text,677,0x801BF314,244,146,SPRT,0x0005,108,156,12,12,0x7FC3,1131,,,,0,0,86,0,0,0,37,0,,보,,1,0,1,1,1
9,battle configuration text,679,0x801BF2AC,226,146,SPRT,0x0005,120,168,12,12,0x7FC1,1217,,,,0,0,78,0,0,0,36,0,,안,,1,0,1,1,1
9,battle configuration text,680,0x801BF278,178,146,SPRT,0x0005,192,156,12,12,0x7FC0,1156,,,,0,0,77,0,0,0,27,0,,기,,1,0,1,1,1
9,battle configuration text,681,0x801BF244,166,146,SPRT,0x0005,108,156,12,12,0x7FC3,1131,,,,0,0,86,0,0,0,37,0,,보,,1,0,1,1,1
