slot,scene,order,address,screen_x,screen_y,kind,tpage,u,v,width,height,clut,physical_index,labels,cache_slot,cache_owner,live_nonzero_nibbles,v170_nonzero_nibbles,v151_nonzero_nibbles,original_nonzero_nibbles,live_selected_pixels,v170_selected_pixels,v151_selected_pixels,original_selected_pixels,v170_shape,v151_shape,original_shape,live_equals_v170,v170_equals_v151,v170_equals_original,lost_from_v151,blank_live_font_plane
1,load menu: missing L,528,0x801BF2C0,224,80,SPRT,0x001F,40,224,12,12,0x7FC0,,,12,6,85,,,,29,,,,,,,,,,0,0
1,load menu: missing L,529,0x801BF28C,212,80,SPRT,0x001F,28,224,12,12,0x7FC3,,,11,37,60,,,,41,,,,,,,,,,0,0
1,load menu: missing L,530,0x801BF258,200,80,SPRT,0x001F,28,224,12,12,0x7FC2,,,10,26,60,,,,38,,,,,,,,,,0,0
1,load menu: missing L,531,0x801BF224,188,80,SPRT,0x001F,28,224,12,12,0x7FC1,,,9,50,60,,,,39,,,,,,,,,,0,0
1,load menu: missing L,532,0x801BEF4C,200,64,SPRT,0x001F,4,224,12,12,0x7FC0,,,0,52,84,,,,48,,,,,,,,,,0,0
1,load menu: missing L,533,0x801BEC40,200,48,SPRT,0x001F,4,224,12,12,0x7FC0,,,0,52,84,,,,48,,,,,,,,,,0,0
1,load menu: missing L,535,0x801BF390,92,96,SPRT,0x0005,168,12,12,12,0x7FC0,140,,,,88,88,72,92,36,36,36,59,터,터,,1,0,0,0,0
1,load menu: missing L,536,0x801BF35C,80,96,SPRT,0x0005,24,24,12,12,0x7FC1,177,,,,91,91,91,104,35,35,35,30,부,부,,1,1,0,0,0
1,load menu: missing L,537,0x801BF328,68,96,SPRT,0x0005,84,24,12,12,0x7FC1,197,,,,94,94,94,109,46,46,46,43,음,음,,1,1,0,0,0
1,load menu: missing L,538,0x801BF2F4,56,96,SPRT,0x0005,204,96,12,12,0x7FC1,741,,,,80,80,80,112,34,34,34,37,처,처,,1,1,0,0,0
1,load menu: missing L,539,0x801BF1F0,158,80,SPRT,0x0005,64,0,6,12,0x7FC3,,,,,36,36,36,36,15,15,15,15,,,,1,1,1,0,0
1,load menu: missing L,540,0x801BF1BC,152,80,SPRT,0x0005,52,0,6,12,0x7FC0,,,,,32,32,32,32,20,20,20,20,,,,1,1,1,0,0
1,load menu: missing L,541,0x801BF188,140,80,SPRT,0x0005,108,0,12,12,0x7FC0,36,,,,72,72,72,72,4,4,4,4,,,,1,1,1,0,0
1,load menu: missing L,542,0x801BF154,134,80,SPRT,0x0005,52,0,6,12,0x7FC1,,,,,32,32,32,32,11,11,11,11,,,,1,1,1,0,0
1,load menu: missing L,543,0x801BF120,128,80,SPRT,0x0005,4,0,6,12,0x7FC0,,,,,24,24,24,24,0,0,0,0,,,,1,1,1,0,1
1,load menu: missing L,544,0x801BF0EC,122,80,SPRT,0x0005,4,0,6,12,0x7FC0,,,,,24,24,24,24,0,0,0,0,,,,1,1,1,0,1
1,load menu: missing L,545,0x801BF0B8,116,80,SPRT,0x0005,4,0,6,12,0x7FC0,,,,,24,24,24,24,0,0,0,0,,,,1,1,1,0,1
1,load menu: missing L,546,0x801BF084,98,80,SPRT,0x0005,52,0,6,12,0x7FC2,,,,,32,32,32,32,17,17,17,17,,,,1,1,1,0,0
1,load menu: missing L,547,0x801BF050,92,80,SPRT,0x0005,52,0,6,12,0x7FC1,,,,,32,32,32,32,11,11,11,11,,,,1,1,1,0,0
1,load menu: missing L,548,0x801BF01C,80,80,SPRT,0x0005,132,60,12,12,0x7FC2,466,,,,100,100,101,100,15,15,13,15,,,,1,0,1,0,0
1,load menu: missing L,549,0x801BEFE8,56,80,SPRT,0x0005,48,0,12,12,0x7FC3,19,,,,32,32,32,32,17,17,17,17,,,,1,1,1,0,0
1,load menu: missing L,550,0x801BEFB4,224,64,SPRT,0x0005,192,12,12,12,0x7FC0,148,,,,84,84,84,78,37,37,37,19,아,아,,1,1,0,0,0
1,load menu: missing L,551,0x801BEF80,212,64,SPRT,0x0005,60,24,12,12,0x7FC0,188,,,,82,82,75,96,37,37,37,58,리,리,,1,0,0,0,0
1,load menu: missing L,552,0x801BEF18,188,64,SPRT,0x0005,72,12,12,12,0x7FC2,110,,,,75,75,60,87,21,21,21,17,스,스,,1,0,0,0,0
1,load menu: missing L,553,0x801BEEE4,158,64,SPRT,0x0005,76,0,6,12,0x7FC1,,,,,40,40,40,40,21,21,21,21,,,,1,1,1,0,0
1,load menu: missing L,554,0x801BEEB0,152,64,SPRT,0x0005,52,0,6,12,0x7FC2,,,,,32,32,32,32,17,17,17,17,,,,1,1,1,0,0
1,load menu: missing L,555,0x801BEE7C,140,64,SPRT,0x0005,108,0,12,12,0x7FC0,36,,,,72,72,72,72,4,4,4,4,,,,1,1,1,0,0
1,load menu: missing L,556,0x801BEE48,134,64,SPRT,0x0005,52,0,6,12,0x7FC1,,,,,32,32,32,32,11,11,11,11,,,,1,1,1,0,0
1,load menu: missing L,557,0x801BEE14,128,64,SPRT,0x0005,4,0,6,12,0x7FC0,,,,,24,24,24,24,0,0,0,0,,,,1,1,1,0,1
1,load menu: missing L,558,0x801BEDE0,122,64,SPRT,0x0005,4,0,6,12,0x7FC0,,,,,24,24,24,24,0,0,0,0,,,,1,1,1,0,1
1,load menu: missing L,559,0x801BEDAC,116,64,SPRT,0x0005,4,0,6,12,0x7FC0,,,,,24,24,24,24,0,0,0,0,,,,1,1,1,0,1
1,load menu: missing L,560,0x801BED78,98,64,SPRT,0x0005,64,0,6,12,0x7FC0,,,,,36,36,36,36,19,19,19,19,,,,1,1,1,0,0
1,load menu: missing L,561,0x801BED44,92,64,SPRT,0x0005,52,0,6,12,0x7FC1,,,,,32,32,32,32,11,11,11,11,,,,1,1,1,0,0
1,load menu: missing L,562,0x801BED10,80,64,SPRT,0x0005,132,60,12,12,0x7FC2,466,,,,100,100,101,100,15,15,13,15,,,,1,0,1,0,0
1,load menu: missing L,563,0x801BECDC,56,64,SPRT,0x0005,48,0,12,12,0x7FC2,18,,,,32,32,32,32,17,17,17,17,,,,1,1,1,0,0
1,load menu: missing L,564,0x801BECA8,224,48,SPRT,0x0005,192,12,12,12,0x7FC0,148,,,,84,84,84,78,37,37,37,19,아,아,,1,1,0,0,0
1,load menu: missing L,565,0x801BEC74,212,48,SPRT,0x0005,60,24,12,12,0x7FC0,188,,,,82,82,75,96,37,37,37,58,리,리,,1,0,0,0,0
1,load menu: missing L,566,0x801BEC0C,188,48,SPRT,0x0005,72,12,12,12,0x7FC2,110,,,,75,75,60,87,21,21,21,17,스,스,,1,0,0,0,0
1,load menu: missing L,567,0x801BEBD8,158,48,SPRT,0x0005,52,0,6,12,0x7FC2,,,,,32,32,32,32,17,17,17,17,,,,1,1,1,0,0
1,load menu: missing L,568,0x801BEBA4,152,48,SPRT,0x0005,64,0,6,12,0x7FC0,,,,,36,36,36,36,19,19,19,19,,,,1,1,1,0,0
1,load menu: missing L,569,0x801BEB70,140,48,SPRT,0x0005,108,0,12,12,0x7FC0,36,,,,72,72,72,72,4,4,4,4,,,,1,1,1,0,0
1,load menu: missing L,570,0x801BEB3C,134,48,SPRT,0x0005,52,0,6,12,0x7FC0,,,,,32,32,32,32,20,20,20,20,,,,1,1,1,0,0
1,load menu: missing L,571,0x801BEB08,128,48,SPRT,0x0005,4,0,6,12,0x7FC0,,,,,24,24,24,24,0,0,0,0,,,,1,1,1,0,1
1,load menu: missing L,572,0x801BEAD4,122,48,SPRT,0x0005,4,0,6,12,0x7FC0,,,,,24,24,24,24,0,0,0,0,,,,1,1,1,0,1
1,load menu: missing L,573,0x801BEAA0,116,48,SPRT,0x0005,4,0,6,12,0x7FC0,,,,,24,24,24,24,0,0,0,0,,,,1,1,1,0,1
1,load menu: missing L,574,0x801BEA6C,98,48,SPRT,0x0005,64,0,6,12,0x7FC0,,,,,36,36,36,36,19,19,19,19,,,,1,1,1,0,0
1,load menu: missing L,575,0x801BEA38,92,48,SPRT,0x0005,4,0,6,12,0x7FC0,,,,,24,24,24,24,0,0,0,0,,,,1,1,1,0,1
1,load menu: missing L,576,0x801BEA04,80,48,SPRT,0x0005,132,60,12,12,0x7FC2,466,,,,100,100,101,100,15,15,13,15,,,,1,0,1,0,0
1,load menu: missing L,577,0x801BE9D0,56,48,SPRT,0x0005,48,0,12,12,0x7FC1,17,,,,32,32,32,32,11,11,11,11,,,,1,1,1,0,0
1,load menu: missing L,595,0x801EFF20,164,120,SPRT,0x001F,52,224,12,12,0x7FC1,,,17,36,60,,,,39,,,,,,,,,,0,0
1,load menu: missing L,596,0x801EFEEC,152,120,SPRT,0x001F,16,224,12,12,0x7FC0,,,4,29,64,,,,37,,,,,,,,,,0,0
1,load menu: missing L,597,0x801EFEB8,140,120,SPRT,0x001F,52,224,12,12,0x7FC0,,,16,214,60,,,,40,,,,,,,,,,0,0
1,load menu: missing L,598,0x801EFE84,128,120,SPRT,0x001F,40,224,12,12,0x7FC3,,,15,106,85,,,,31,,,,,,,,,,0,0
1,load menu: missing L,599,0x801EFE1C,110,120,SPRT,0x001F,4,224,12,12,0x7FC2,,,2,11,84,,,,54,,,,,,,,,,0,0
1,load menu: missing L,600,0x801EFDB4,86,120,SPRT,0x001F,40,224,12,12,0x7FC2,,,14,39,85,,,,35,,,,,,,,,,0,0
1,load menu: missing L,601,0x801EFCB0,32,120,SPRT,0x001F,40,224,12,12,0x7FC1,,,13,137,85,,,,57,,,,,,,,,,0,0
1,load menu: missing L,603,0x801EFF54,176,120,SPRT,0x0005,156,12,12,12,0x7FC2,138,,,,79,79,65,96,32,32,32,50,요,요,,1,0,0,0,0
1,load menu: missing L,604,0x801EFE50,122,120,SPRT,0x0005,204,12,12,12,0x7FC3,155,,,,79,79,74,88,0,0,0,29,,,,1,0,0,0,1
