pointer_offset,old_target_offset,new_target_offset,encoded_bytes,encoded_hex
0x81E58,0x827C1,0x82411,13,DF 72 E9 4C E9 52 E9 20 9C DE 92 E1 E6
0x81EEC,0x827B8,0x826A3,8,DF 72 E9 4C E9 52 E9 20
0x8219C,0x827C1,0x82411,13,DF 72 E9 4C E9 52 E9 20 9C DE 92 E1 E6
0x821A0,0x827CF,0x8238E,15,DF 72 E9 4C E9 52 E9 20 9C E9 26 DF CD E9 7B
0x8234C,0x82780,0x82478,18,EA 66 DE 92 DE 85 DF E2 9C E7 05 DF 3A 9C E0 35 E9 1B
0x82350,0x827A0,0x823C0,23,E7 03 DF 76 DF 77 9C DF 52 DF E2 9C E7 08 E9 85 DF 08 9C DE C8 E9 BF
0x82534,0x82880,0x82873,1,9C
0x82550,0x827DF,0x8286F,1,5B
0x82558,0x827EE,0x8285A,2,5A 4D
0x825F0,0x828C8,0x827A1,6,DE C8 E0 6A E0 85
0x825F4,0x828D0,0x82835,4,E0 93 E0 AC
0x825F8,0x828D8,0x82767,7,E0 E9 9C E0 93 E0 AC
0x82630,0x827F1,0x82871,1,8E
0x82634,0x82624,0x827F0,5,D5 E0 39 E0 82
0x8299C,0x82714,0x8286C,2,E0 AC
0x82A68,0x828FC,0x8262B,0,
