pointer_offset,target_offset,korean,encoded_bytes,encoded_hex
0x823A4,0x82812,승리!,4,8E BD DF E3
0x823A8,0x8277E,게임 오버,6,66 E1 CE 9C 75 A8
0x823D8,0x827DE,돌 상태,5,B1 9C CD DF 08
0x823DC,0x82852,마비,3,D4 DE 7C
0x823E0,0x82860,수면,2,76 7E
0x82444,0x823F4,데이터 저장 불러오기,14,AD DE 3C 8D 9C DF 37 CE 9C E0 0A A3 75 69
0x82448,0x82664,데이터 저장,8,AD DE 3C 8D 9C DF 37 CE
0x8244C,0x8258D,데이터 불러오기,10,AD DE 3C 8D 9C E0 0A A3 75 69
0x82450,0x8241F,카드를 선택하세요,13,DF E9 DF 41 65 9C DF C5 E9 33 A9 D3 8B
0x82454,0x827BD,카드 1,6,DF E9 DF 41 9C 12
0x82458,0x827C4,카드 2,6,DF E9 DF 41 9C 13
0x8245C,0x82569,파일을 선택하세요,12,DF A0 9D D5 9C DF C5 E9 33 A9 D3 8B
0x82460,0x823E4,메모리 카드가 없습니다,15,DF 74 98 BD 9C DF E9 DF 41 8F 9C A1 61 45 78
0x82474,0x8248B,를 손에 넣었습니다.,12,65 9C C3 46 9C C8 91 61 45 78 E0 60
0x82498,0x82618,스테이지에서 얻은 경험치,18,6F DF 07 DE 3C 72 46 59 9C E1 BE 56 9C 9A DF CC DF 1A
0x8249C,0x82598,격파한 적 수,10,DE 85 DF A0 85 9C DF F2 9C 76
0x82518,0x82652,LV 상승!!,8,6C 9C CD 8E DF E3 DF E3
0x8251C,0x825AE,최대 체력이,10,DF A4 77 9C E0 73 DF 71 DE 3C
0x82520,0x824E7,최대 마력이,9,DF A4 77 9C D4 DF 71 DE 3C
0x82524,0x8267F,공격력이,8,DE 92 DE 85 DF 71 DE 3C
0x82528,0x8275F,방어력이,7,DF 70 4E DF 71 DE 3C
0x8252C,0x827EA,마력이,5,D4 DF 71 DE 3C
0x82530,0x826B5,민첩성이,8,DF BE DF EC DE BE DE 3C
0x82538,0x82869,상승,2,CD 8E
0x8253C,0x8281C,점프,4,DE D2 DF 9F
0x82540,0x82817,던지기,4,DD F1 72 69
0x82544,0x82856,받기,3,E0 10 69
0x82548,0x82830,반격,4,E0 8A DE 85
0x8254C,0x82808,LV 상승,4,6C 9C CD 8E
0x82554,0x8243A,를 배웠다.,9,65 9C DF BD DE D6 78 E0 60
0x825C8,0x82640,사운드 출력,8,6A DA DF 41 9C C1 DF 71
0x825CC,0x824BF,대각선 입력,9,77 E0 0E DF C5 9C A2 DF 71
0x825D0,0x8266D,돌아가기 확인,8,B1 95 8F 69 9C DE C8 83
0x825D4,0x826C7,도움말 보기,7,5E DF 17 92 9C 8A 69
0x825D8,0x8237C,촌가라의 몬스터 도감 열기,17,C9 8F DE 74 4D 9C AB 6F 8D 9C 5E E0 01 9C E0 35 69
0x825DC,0x8278C,스테레오,6,6F DF 07 DF E8 75
0x825E0,0x8283E,모노,3,98 DF CB
0x825E4,0x82842,일반,3,9D E0 8A
0x825E8,0x825C4,사용,3,6A DE C0
0x825EC,0x82649,사용 안 함,8,6A DE C0 9C D9 9C E1 D2
0x8262C,0x826DF,대전 성적,7,77 82 9C DE BE DF F2
0x82638,0x8285D,기량,2,69 40
0x8293C,0x82676,마비 공격,8,D4 DE 7C 9C DE 92 DE 85
0x82940,0x826AC,머리 던지기,8,DF 7C BD 9C DD F1 72 69
0x82944,0x82785,사일런트,6,6A 9D DF 6F E0 82
0x82948,0x824B5,해로운 공격,9,74 DE 70 DA 9C DE 92 DE 85
0x8294C,0x8284E,분열,3,BF E0 35
0x82950,0x824F1,폭발 수리검,9,DF DF DE A5 9C 76 BD DE F3
0x82954,0x8283A,자폭,3,89 DF DF
0x82958,0x8269A,드림 노크,8,DF 41 DF 3A 9C DF CB 9E
0x8295C,0x827D2,대폭발,5,77 DF DF DE A5
0x82960,0x82737,바람 검,7,DE 6B DF 25 9C DE F3
0x82964,0x826EF,전기 폭풍,7,82 69 9C DF DF DE C9
0x82968,0x82403,다이아몬드 더스트,13,78 DE 3C 95 AB DF 41 9C E1 C1 6F E0 82
0x8296C,0x82582,해로운 기운 제거,10,74 DE 70 DA 9C 69 DA 9C B4 AF
0x82970,0x8265B,하늘의 심판,8,A9 DF D7 4D 9C A6 DF 05
0x82974,0x82846,부활,3,B2 E0 80
0x82978,0x826BE,디바이드,8,E1 D8 DE 6B DE 3C DF 41
0x8297C,0x827D8,내려치기,5,94 93 DF 1A 69
0x82980,0x8284A,회복,3,B6 DF 33
0x82984,0x827FC,감싸기,5,E0 01 DE AD 69
0x82988,0x826D7,해로운 기운,7,74 DE 70 DA 9C 69 DA
0x8298C,0x827B6,피 빨기,6,DF 82 9C DF 2F 69
0x82990,0x8280D,초음파,4,6E C6 DF A0
0x82994,0x827DE,돌 상태,5,B1 9C CD DF 08
0x82998,0x82707,주위 공격,7,87 BB 9C DE 92 DE 85
0x829A0,0x82826,강타,4,DF 5F E0 1A
0x829A4,0x825A3,꽃가루 공격,10,DF 99 8F DF B2 9C DE 92 DE 85
0x829A8,0x82757,씨 날리기,7,DF 21 9C DF 98 BD 69
0x829AC,0x827A8,검은 전기,6,DE F3 56 9C 82 69
0x829B0,0x824AB,지옥의 계단,9,72 DF 19 4D 9C DE A7 DF 7A
0x829B4,0x82747,죽음의 문,7,DF 13 C6 4D 9C DF 7B
0x829B8,0x82821,합체,4,DE D9 E0 73
0x829BC,0x82468,시야 차단,7,5D 79 9C E1 CC DF 7A
0x829C0,0x826FF,인형 난무,7,83 E0 36 9C E0 0C 96
0x829C4,0x8282B,헤모지,4,DF 9D 98 72
0x829C8,0x826E7,전기 파동,7,82 69 9C DF A0 DF 77
0x829CC,0x824FB,불꽃 파동,9,E0 0A DF 99 9C DF A0 DF 77
0x829D0,0x824D3,황천 비행,9,DE FC DF 8C 9C DE 7C DF 76
0x829D4,0x82727,마법 봉인,7,D4 DF 87 9C DF 93 83
0x829D8,0x8274F,죽음 회복,7,DF 13 C6 9C B6 DF 33
0x829DC,0x824A0,더스트 문양,10,E1 C1 6F E0 82 9C DF 7B DD CF
0x829E0,0x82866,물기,2,AA 69
0x829E4,0x824DD,번 그라운드,9,DF 97 9C 4F DE 74 DA DF 41
0x829E8,0x826F7,전체 회복,7,82 E0 73 9C B6 DF 33
0x829EC,0x8250F,게일 플래시,8,66 9D 9C DF 9E DE A8 5D
0x829F0,0x825B9,슬로우 에너미,10,DF B6 DE 70 88 9C 46 DB DF 72
0x829F4,0x827CB,별 내리기,6,E1 ED 9C 94 BD 69
0x829F8,0x8284A,회복,3,B6 DF 33
0x829FC,0x82582,해로운 기운 제거,10,74 DE 70 DA 9C 69 DA 9C B4 AF
0x82A00,0x82785,사일런트,6,6A 9D DF 6F E0 82
0x82A04,0x8279A,리프레시,6,BD DF 9F DF E8 5D
0x82A08,0x8265B,하늘의 심판,8,A9 DF D7 4D 9C A6 DF 05
0x82A0C,0x82846,부활,3,B2 E0 80
0x82A10,0x826BE,디바이드,8,E1 D8 DE 6B DE 3C DF 41
0x82A14,0x8271F,토슈 비기,7,D1 E0 6E 9C DE 7C 69
0x82A18,0x827F6,봉인검,5,DF 93 83 DE F3
0x82A1C,0x827AF,진공검,6,DF 10 DE 92 DE F3
0x82A20,0x82777,그림자검,6,4F DF 3A 89 DE F3
