phase,source_file,offset,row,width_px,marker_geometry_matches_original,row_unchanged_from_original,known_unresolved_source,translated_overflow
before,1/S1023.DAT,0x47952,0,36,1,0,0,0
before,1/S1023.DAT,0x47952,1,234,1,0,0,1
before,1/S1023.DAT,0x47952,2,48,1,0,0,0
before,1/S1023.DAT,0x47952,3,48,1,0,0,0
before,1/S1023.DAT,0x47AB0,0,72,1,0,0,0
before,1/S1023.DAT,0x47AB0,1,102,1,0,0,0
before,1/S1023.DAT,0x47AB0,2,258,1,0,0,1
before,1/S1023.DAT,0x47B30,0,204,1,0,0,0
before,1/S1023.DAT,0x47B30,1,66,1,0,0,0
before,21/S2041.DAT,0x47D5A,0,372,1,1,0,0
before,21/S2041.DAT,0x47DD4,0,408,1,0,1,0
before,21/S2041.DAT,0x47E2C,0,408,1,0,1,0
before,21/S2041.DAT,0x47E86,0,192,1,0,1,0
before,21/S2041.DAT,0x47EFE,0,144,1,0,0,0
before,21/S2041.DAT,0x47EFE,1,36,1,0,0,0
before,21/S2041.DAT,0x47EFE,2,78,1,0,0,0
before,21/S2041.DAT,0x47EFE,3,0,1,1,0,0
before,21/S2041.DAT,0x48160,0,72,1,0,0,0
before,21/S2041.DAT,0x48160,1,144,1,0,0,0
before,21/S2041.DAT,0x48160,2,150,1,0,0,0
before,21/S2041.DAT,0x48488,0,90,1,0,0,0
before,21/S2041.DAT,0x48488,1,66,1,0,0,0
before,21/S2041.DAT,0x48488,2,36,1,0,0,0
before,21/S2042.DAT,0x47D5A,0,372,1,1,0,0
before,21/S2042.DAT,0x47DD4,0,408,1,0,1,0
before,21/S2042.DAT,0x47E2C,0,408,1,0,1,0
before,21/S2042.DAT,0x47E86,0,192,1,0,1,0
before,21/S2042.DAT,0x47FF0,0,24,1,0,0,0
before,21/S2042.DAT,0x47FF0,1,102,1,0,0,0
before,21/S2042.DAT,0x47FF0,2,48,1,0,0,0
before,21/S2042.DAT,0x47FF0,3,66,1,0,0,0
before,21/S2042.DAT,0x4811E,0,78,1,0,0,0
