File LBA log generated by MKPSXISO v2.30

Image bin file: "E:\arc\arc1_v189_dialogue_timing_choice_rows_DA219F8F.bin"
Image cue file: "E:\arc\arc1_v189_dialogue_timing_choice_rows_DA219F8F.cue"

File System:

     Type |     Name     | Length |  LBA  | Timecode |   Bytes   |    Source File

    Dummy |<DUMMY>       |284     |23     |00:02:23  |581632     |
     File |COMM.DAT      |360     |307    |00:06:07  |737280     |out/COMM.DAT
     File |COMM.IMG      |224     |667    |00:10:67  |458752     |out/COMM.IMG
     File |COMM.SND      |173     |891    |00:13:66  |354304     |out/COMM.SND
     File |S000.DAT      |149     |1064   |00:16:14  |305152     |out/S000.DAT
     File |S000.IMG      |158     |1213   |00:18:13  |323584     |out/S000.IMG
     File |PSX.EXE       |287     |268481 |59:41:56  |587776     |out/PSX.EXE
     Dir  |1             |        |1371   |00:20:21  |           |
      File |S1011.DAT     |149     |1372   |00:20:22  |305152     |out/1/S1011.DAT
      File |S1011.IMG     |96      |1521   |00:22:21  |196608     |out/1/S1011.IMG
      File |S1012.DAT     |149     |1617   |00:23:42  |305152     |out/1/S1012.DAT
      File |S1012.IMG     |158     |1766   |00:25:41  |323584     |out/1/S1012.IMG
      File |S1013.DAT     |149     |1924   |00:27:49  |305152     |out/1/S1013.DAT
      File |S1013.IMG     |158     |2073   |00:29:48  |323584     |out/1/S1013.IMG
      File |S1021.DAT     |149     |2231   |00:31:56  |305152     |out/1/S1021.DAT
      File |S1021.IMG     |158     |2380   |00:33:55  |323584     |out/1/S1021.IMG
      File |S1022.DAT     |149     |2538   |00:35:63  |305152     |out/1/S1022.DAT
      File |S1022.IMG     |158     |2687   |00:37:62  |323584     |out/1/S1022.IMG
      File |S1023.DAT     |149     |2845   |00:39:70  |305152     |out/1/S1023.DAT
      File |S1023.IMG     |96      |2994   |00:41:69  |196608     |out/1/S1023.IMG
      File |S1031.DAT     |149     |3090   |00:43:15  |305152     |out/1/S1031.DAT
      File |S1031.IMG     |96      |3239   |00:45:14  |196608     |out/1/S1031.IMG
      File |S1032.DAT     |149     |3335   |00:46:35  |305152     |out/1/S1032.DAT
      File |S1032.IMG     |158     |3484   |00:48:34  |323584     |out/1/S1032.IMG
