index,code_hex,row,col,plane,original_uses,current_owner_uses,cell_classification,cell_runtime_nontext_states
220,DD 01,2,13,0,25,0,candidate_font_only_unbounded_consumers,
223,DD 04,2,13,3,24,0,candidate_font_only_unbounded_consumers,
225,DD 06,2,14,1,32,0,candidate_font_only_unbounded_consumers,
226,DD 07,2,14,2,31,0,candidate_font_only_unbounded_consumers,
229,DD 0A,2,15,1,102,0,candidate_font_only_unbounded_consumers,
230,DD 0B,2,15,2,21,0,candidate_font_only_unbounded_consumers,
231,DD 0C,2,15,3,26,0,candidate_font_only_unbounded_consumers,
232,DD 0D,2,16,0,32,0,candidate_font_only_unbounded_consumers,
233,DD 0E,2,16,1,44,0,candidate_font_only_unbounded_consumers,
234,DD 0F,2,16,2,21,0,candidate_font_only_unbounded_consumers,
235,DD 10,2,16,3,30,0,candidate_font_only_unbounded_consumers,
239,DD 14,2,17,3,33,0,candidate_font_only_unbounded_consumers,
241,DD 16,2,18,1,17,0,candidate_font_only_unbounded_consumers,
242,DD 17,2,18,2,20,0,candidate_font_only_unbounded_consumers,
243,DD 18,2,18,3,165,0,candidate_font_only_unbounded_consumers,
245,DD 1A,2,19,1,29,0,candidate_font_only_unbounded_consumers,
247,DD 1C,2,19,3,27,0,candidate_font_only_unbounded_consumers,
248,DD 1D,2,20,0,20,0,candidate_font_only_unbounded_consumers,
252,DD 21,3,0,0,22,0,candidate_font_only_unbounded_consumers,
253,DD 22,3,0,1,20,0,candidate_font_only_unbounded_consumers,
255,DD 24,3,0,3,23,0,candidate_font_only_unbounded_consumers,
258,DD 27,3,1,2,25,0,candidate_font_only_unbounded_consumers,
259,DD 28,3,1,3,18,0,candidate_font_only_unbounded_consumers,
260,DD 29,3,2,0,28,0,candidate_font_only_unbounded_consumers,
264,DD 2D,3,3,0,10,0,candidate_font_only_unbounded_consumers,
265,DD 2E,3,3,1,21,0,candidate_font_only_unbounded_consumers,
266,DD 2F,3,3,2,15,0,candidate_font_only_unbounded_consumers,
267,DD 30,3,3,3,23,0,candidate_font_only_unbounded_consumers,
268,DD 31,3,4,0,23,0,candidate_font_only_unbounded_consumers,
273,DD 36,3,5,1,32,0,candidate_font_only_unbounded_consumers,
274,DD 37,3,5,2,43,0,candidate_font_only_unbounded_consumers,
281,DD 3E,3,7,1,30,0,candidate_font_only_unbounded_consumers,
282,DD 3F,3,7,2,9,0,candidate_font_only_unbounded_consumers,
283,DD 40,3,7,3,21,0,candidate_font_only_unbounded_consumers,
284,DD 41,3,8,0,25,0,candidate_font_only_unbounded_consumers,
286,DD 43,3,8,2,45,0,candidate_font_only_unbounded_consumers,
287,DD 44,3,8,3,16,0,candidate_font_only_unbounded_consumers,
292,DD 49,3,10,0,35,0,candidate_font_only_unbounded_consumers,
293,DD 4A,3,10,1,2,0,candidate_font_only_unbounded_consumers,
294,DD 4B,3,10,2,19,0,candidate_font_only_unbounded_consumers,
298,DD 4F,3,11,2,30,0,candidate_font_only_unbounded_consumers,
299,DD 50,3,11,3,20,0,candidate_font_only_unbounded_consumers,
301,DD 52,3,12,1,16,0,candidate_font_only_unbounded_consumers,
304,DD 55,3,13,0,21,0,candidate_font_only_unbounded_consumers,
312,DD 5D,3,15,0,23,0,candidate_font_only_unbounded_consumers,
313,DD 5E,3,15,1,21,0,candidate_font_only_unbounded_consumers,
314,DD 5F,3,15,2,7,0,candidate_font_only_unbounded_consumers,
316,DD 61,3,16,0,13,0,candidate_font_only_unbounded_consumers,
317,DD 62,3,16,1,8,0,candidate_font_only_unbounded_consumers,
318,DD 63,3,16,2,4,0,candidate_font_only_unbounded_consumers,
320,DD 65,3,17,0,13,0,candidate_font_only_unbounded_consumers,
321,DD 66,3,17,1,12,0,candidate_font_only_unbounded_consumers,
322,DD 67,3,17,2,13,0,candidate_font_only_unbounded_consumers,
324,DD 69,3,18,0,14,0,candidate_font_only_unbounded_consumers,
325,DD 6A,3,18,1,27,0,candidate_font_only_unbounded_consumers,
326,DD 6B,3,18,2,16,0,candidate_font_only_unbounded_consumers,
327,DD 6C,3,18,3,21,0,candidate_font_only_unbounded_consumers,
328,DD 6D,3,19,0,15,0,candidate_font_only_unbounded_consumers,
329,DD 6E,3,19,1,15,0,candidate_font_only_unbounded_consumers,
330,DD 6F,3,19,2,18,0,candidate_font_only_unbounded_consumers,
331,DD 70,3,19,3,12,0,candidate_font_only_unbounded_consumers,
332,DD 71,3,20,0,11,0,candidate_font_only_unbounded_consumers,
334,DD 73,3,20,2,21,0,candidate_font_only_unbounded_consumers,
335,DD 74,3,20,3,18,0,candidate_font_only_unbounded_consumers,
336,DD 75,4,0,0,11,0,candidate_font_only_unbounded_consumers,
340,DD 79,4,1,0,22,0,candidate_font_only_unbounded_consumers,
341,DD 7A,4,1,1,15,0,candidate_font_only_unbounded_consumers,
343,DD 7C,4,1,3,8,0,candidate_font_only_unbounded_consumers,
344,DD 7D,4,2,0,17,0,candidate_font_only_unbounded_consumers,
345,DD 7E,4,2,1,13,0,candidate_font_only_unbounded_consumers,
346,DD 7F,4,2,2,12,0,candidate_font_only_unbounded_consumers,
348,DD 81,4,3,0,9,0,candidate_font_only_unbounded_consumers,
350,DD 83,4,3,2,16,0,candidate_font_only_unbounded_consumers,
351,DD 84,4,3,3,11,0,candidate_font_only_unbounded_consumers,
354,DD 87,4,4,2,13,0,candidate_font_only_unbounded_consumers,
356,DD 89,4,5,0,13,0,candidate_font_only_unbounded_consumers,
357,DD 8A,4,5,1,11,0,candidate_font_only_unbounded_consumers,
358,DD 8B,4,5,2,14,0,candidate_font_only_unbounded_consumers,
359,DD 8C,4,5,3,15,0,candidate_font_only_unbounded_consumers,
361,DD 8E,4,6,1,15,0,candidate_font_only_unbounded_consumers,
365,DD 92,4,7,1,13,0,candidate_font_only_unbounded_consumers,
366,DD 93,4,7,2,11,0,candidate_font_only_unbounded_consumers,
367,DD 94,4,7,3,4,0,candidate_font_only_unbounded_consumers,
368,DD 95,4,8,0,11,0,candidate_font_only_unbounded_consumers,
369,DD 96,4,8,1,6,0,candidate_font_only_unbounded_consumers,
374,DD 9B,4,9,2,14,0,candidate_font_only_unbounded_consumers,
375,DD 9C,4,9,3,33,0,candidate_font_only_unbounded_consumers,
378,DD 9F,4,10,2,11,0,candidate_font_only_unbounded_consumers,
379,DD A0,4,10,3,13,0,candidate_font_only_unbounded_consumers,
381,DD A2,4,11,1,12,0,candidate_font_only_unbounded_consumers,
382,DD A3,4,11,2,9,0,candidate_font_only_unbounded_consumers,
387,DD A8,4,12,3,11,0,candidate_font_only_unbounded_consumers,
388,DD A9,4,13,0,5,0,candidate_font_only_unbounded_consumers,
389,DD AA,4,13,1,15,0,candidate_font_only_unbounded_consumers,
391,DD AC,4,13,3,34,0,candidate_font_only_unbounded_consumers,
393,DD AE,4,14,1,15,0,candidate_font_only_unbounded_consumers,
394,DD AF,4,14,2,10,0,candidate_font_only_unbounded_consumers,
395,DD B0,4,14,3,12,0,candidate_font_only_unbounded_consumers,
396,DD B1,4,15,0,14,0,candidate_font_only_unbounded_consumers,
401,DD B6,4,16,1,15,0,candidate_font_only_unbounded_consumers,
402,DD B7,4,16,2,15,0,candidate_font_only_unbounded_consumers,
403,DD B8,4,16,3,11,0,candidate_font_only_unbounded_consumers,
404,DD B9,4,17,0,4,0,candidate_font_only_unbounded_consumers,
405,DD BA,4,17,1,8,0,candidate_font_only_unbounded_consumers,
406,DD BB,4,17,2,11,0,candidate_font_only_unbounded_consumers,
407,DD BC,4,17,3,9,0,candidate_font_only_unbounded_consumers,
408,DD BD,4,18,0,14,0,candidate_font_only_unbounded_consumers,
409,DD BE,4,18,1,10,0,candidate_font_only_unbounded_consumers,
413,DD C2,4,19,1,8,0,candidate_font_only_unbounded_consumers,
414,DD C3,4,19,2,9,0,candidate_font_only_unbounded_consumers,
415,DD C4,4,19,3,13,0,candidate_font_only_unbounded_consumers,
416,DD C5,4,20,0,12,0,candidate_font_only_unbounded_consumers,
417,DD C6,4,20,1,10,0,candidate_font_only_unbounded_consumers,
418,DD C7,4,20,2,8,0,candidate_font_only_unbounded_consumers,
421,DD CA,5,0,1,9,0,candidate_font_only_unbounded_consumers,
422,DD CB,5,0,2,32,0,candidate_font_only_unbounded_consumers,
423,DD CC,5,0,3,33,0,candidate_font_only_unbounded_consumers,
428,DD D1,5,2,0,14,0,candidate_font_only_unbounded_consumers,
432,DD D5,5,3,0,7,0,candidate_font_only_unbounded_consumers,
433,DD D6,5,3,1,10,0,candidate_font_only_unbounded_consumers,
434,DD D7,5,3,2,15,0,candidate_font_only_unbounded_consumers,
435,DD D8,5,3,3,11,0,candidate_font_only_unbounded_consumers,
436,DD D9,5,4,0,12,0,candidate_font_only_unbounded_consumers,
437,DD DA,5,4,1,16,0,candidate_font_only_unbounded_consumers,
438,DD DB,5,4,2,8,0,candidate_font_only_unbounded_consumers,
439,DD DC,5,4,3,8,0,candidate_font_only_unbounded_consumers,
440,DD DD,5,5,0,7,0,candidate_font_only_unbounded_consumers,
444,DD E1,5,6,0,8,0,candidate_font_only_unbounded_consumers,
445,DD E2,5,6,1,9,0,candidate_font_only_unbounded_consumers,
446,DD E3,5,6,2,8,0,candidate_font_only_unbounded_consumers,
447,DD E4,5,6,3,8,0,candidate_font_only_unbounded_consumers,
448,DD E5,5,7,0,12,0,candidate_font_only_unbounded_consumers,
449,DD E6,5,7,1,11,0,candidate_font_only_unbounded_consumers,
450,DD E7,5,7,2,9,0,candidate_font_only_unbounded_consumers,
451,DD E8,5,7,3,8,0,candidate_font_only_unbounded_consumers,
452,DD E9,5,8,0,8,0,candidate_font_only_unbounded_consumers,
453,DD EA,5,8,1,6,0,candidate_font_only_unbounded_consumers,
454,DD EB,5,8,2,8,0,candidate_font_only_unbounded_consumers,
455,DD EC,5,8,3,7,0,candidate_font_only_unbounded_consumers,
456,DD ED,5,9,0,8,0,candidate_font_only_unbounded_consumers,
457,DD EE,5,9,1,8,0,candidate_font_only_unbounded_consumers,
458,DD EF,5,9,2,18,0,candidate_font_only_unbounded_consumers,
459,DD F0,5,9,3,7,0,candidate_font_only_unbounded_consumers,
461,DD F2,5,10,1,5,0,candidate_font_only_unbounded_consumers,
462,DD F3,5,10,2,7,0,candidate_font_only_unbounded_consumers,
463,DD F4,5,10,3,7,0,candidate_font_only_unbounded_consumers,
464,DD F5,5,11,0,13,0,candidate_font_only_unbounded_consumers,
465,DD F6,5,11,1,6,0,candidate_font_only_unbounded_consumers,
467,DD F8,5,11,3,9,0,candidate_font_only_unbounded_consumers,
468,DD F9,5,12,0,10,0,candidate_font_only_unbounded_consumers,
470,DD FB,5,12,2,6,0,candidate_font_only_unbounded_consumers,
471,DD FC,5,12,3,6,0,candidate_font_only_unbounded_consumers,
472,DD FD,5,13,0,6,0,insufficient_partial_font_evidence,
473,DD FE,5,13,1,3,0,insufficient_partial_font_evidence,
474,DE 00,5,13,2,1,0,insufficient_partial_font_evidence,
475,DE 01,5,13,3,6,0,insufficient_partial_font_evidence,
477,DE 03,5,14,1,7,0,candidate_font_only_unbounded_consumers,
479,DE 05,5,14,3,2,0,candidate_font_only_unbounded_consumers,
480,DE 06,5,15,0,17,0,candidate_font_only_unbounded_consumers,
481,DE 07,5,15,1,12,0,candidate_font_only_unbounded_consumers,
485,DE 0B,5,16,1,9,0,candidate_font_only_unbounded_consumers,
486,DE 0C,5,16,2,7,0,candidate_font_only_unbounded_consumers,
487,DE 0D,5,16,3,6,0,candidate_font_only_unbounded_consumers,
488,DE 0E,5,17,0,6,0,candidate_font_only_unbounded_consumers,
489,DE 0F,5,17,1,15,0,candidate_font_only_unbounded_consumers,
490,DE 10,5,17,2,6,0,candidate_font_only_unbounded_consumers,
491,DE 11,5,17,3,4,0,candidate_font_only_unbounded_consumers,
492,DE 12,5,18,0,6,0,candidate_font_only_unbounded_consumers,
493,DE 13,5,18,1,5,0,candidate_font_only_unbounded_consumers,
494,DE 14,5,18,2,4,0,candidate_font_only_unbounded_consumers,
495,DE 15,5,18,3,5,0,candidate_font_only_unbounded_consumers,
496,DE 16,5,19,0,6,0,candidate_font_only_unbounded_consumers,
497,DE 17,5,19,1,7,0,candidate_font_only_unbounded_consumers,
499,DE 19,5,19,3,8,0,candidate_font_only_unbounded_consumers,
504,DE 1E,6,0,0,3,0,candidate_font_only_unbounded_consumers,
505,DE 1F,6,0,1,3,0,candidate_font_only_unbounded_consumers,
507,DE 21,6,0,3,5,0,candidate_font_only_unbounded_consumers,
508,DE 22,6,1,0,5,0,candidate_font_only_unbounded_consumers,
509,DE 23,6,1,1,5,0,candidate_font_only_unbounded_consumers,
510,DE 24,6,1,2,1,0,candidate_font_only_unbounded_consumers,
511,DE 25,6,1,3,5,0,candidate_font_only_unbounded_consumers,
513,DE 27,6,2,1,6,0,candidate_font_only_unbounded_consumers,
514,DE 28,6,2,2,7,0,candidate_font_only_unbounded_consumers,
515,DE 29,6,2,3,10,0,candidate_font_only_unbounded_consumers,
516,DE 2A,6,3,0,7,0,candidate_font_only_unbounded_consumers,
519,DE 2D,6,3,3,6,0,candidate_font_only_unbounded_consumers,
520,DE 2E,6,4,0,5,0,candidate_font_only_unbounded_consumers,
521,DE 2F,6,4,1,1,0,candidate_font_only_unbounded_consumers,
522,DE 30,6,4,2,5,0,candidate_font_only_unbounded_consumers,
523,DE 31,6,4,3,2,0,candidate_font_only_unbounded_consumers,
528,DE 36,6,6,0,6,0,candidate_font_only_unbounded_consumers,
531,DE 39,6,6,3,6,0,candidate_font_only_unbounded_consumers,
536,DE 3E,6,8,0,5,0,candidate_font_only_unbounded_consumers,
537,DE 3F,6,8,1,6,0,candidate_font_only_unbounded_consumers,
540,DE 42,6,9,0,7,0,candidate_font_only_unbounded_consumers,
541,DE 43,6,9,1,5,0,candidate_font_only_unbounded_consumers,
543,DE 45,6,9,3,5,0,candidate_font_only_unbounded_consumers,
544,DE 46,6,10,0,50,0,candidate_font_only_unbounded_consumers,
545,DE 47,6,10,1,5,0,candidate_font_only_unbounded_consumers,
546,DE 48,6,10,2,6,0,candidate_font_only_unbounded_consumers,
547,DE 49,6,10,3,7,0,candidate_font_only_unbounded_consumers,
548,DE 4A,6,11,0,5,0,candidate_font_only_unbounded_consumers,
549,DE 4B,6,11,1,7,0,candidate_font_only_unbounded_consumers,
554,DE 50,6,12,2,5,0,candidate_font_only_unbounded_consumers,
555,DE 51,6,12,3,9,0,candidate_font_only_unbounded_consumers,
556,DE 52,6,13,0,3,0,candidate_font_only_unbounded_consumers,
557,DE 53,6,13,1,3,0,candidate_font_only_unbounded_consumers,
558,DE 54,6,13,2,4,0,candidate_font_only_unbounded_consumers,
559,DE 55,6,13,3,8,0,candidate_font_only_unbounded_consumers,
568,DE 5E,6,16,0,4,0,candidate_font_only_unbounded_consumers,
569,DE 5F,6,16,1,2,0,candidate_font_only_unbounded_consumers,
572,DE 62,6,17,0,9,0,candidate_font_only_unbounded_consumers,
574,DE 64,6,17,2,4,0,candidate_font_only_unbounded_consumers,
575,DE 65,6,17,3,5,0,candidate_font_only_unbounded_consumers,
576,DE 66,6,18,0,3,0,candidate_font_only_unbounded_consumers,
577,DE 67,6,18,1,2,0,candidate_font_only_unbounded_consumers,
580,DE 6A,6,19,0,1,0,candidate_font_only_unbounded_consumers,
583,DE 6D,6,19,3,4,0,candidate_font_only_unbounded_consumers,
588,DE 72,7,0,0,5,0,candidate_font_only_unbounded_consumers,
589,DE 73,7,0,1,4,0,candidate_font_only_unbounded_consumers,
592,DE 76,7,1,0,5,0,candidate_font_only_unbounded_consumers,
593,DE 77,7,1,1,6,0,candidate_font_only_unbounded_consumers,
594,DE 78,7,1,2,5,0,candidate_font_only_unbounded_consumers,
595,DE 79,7,1,3,4,0,candidate_font_only_unbounded_consumers,
597,DE 7B,7,2,1,1,0,candidate_font_only_unbounded_consumers,
599,DE 7D,7,2,3,3,0,candidate_font_only_unbounded_consumers,
608,DE 86,7,5,0,3,0,candidate_font_only_unbounded_consumers,
609,DE 87,7,5,1,5,0,candidate_font_only_unbounded_consumers,
612,DE 8A,7,6,0,4,0,candidate_font_only_unbounded_consumers,
615,DE 8D,7,6,3,4,0,candidate_font_only_unbounded_consumers,
616,DE 8E,7,7,0,2,0,candidate_font_only_unbounded_consumers,
617,DE 8F,7,7,1,10,0,candidate_font_only_unbounded_consumers,
618,DE 90,7,7,2,3,0,candidate_font_only_unbounded_consumers,
619,DE 91,7,7,3,7,0,candidate_font_only_unbounded_consumers,
