status,owner_type,owner,file_offset,intended_char,old_hex,old_current_char,new_hex,reason
blocked,story,21/S2022.DAT 0x47918,0x45398,…,E0 08,,,no canonical current code
blocked,story,21/S2022.DAT 0x47918,0x4539A,…,E0 08,,,no canonical current code
blocked,story,21/S2045.DAT 0x4964A,0x4966D,…,E0 08,,,no canonical current code
blocked,story,22/S2055.DAT 0x47980,0x45828,…,E0 08,,,no canonical current code
blocked,story,23/S2071.DAT 0x47CB8,0x45125,…,E0 08,,,no canonical current code
blocked,story,31/S3014.DAT 0x4866E,0x48691,…,E0 08,,,no canonical current code
blocked,story,5/S5013.DAT 0x49636,0x49659,…,E0 08,,,no canonical current code
blocked,story,6/S6014.DAT 0x495E2,0x49605,…,E0 08,,,no canonical current code
blocked,story,7/S7012.DAT 0x490DA,0x490FD,…,E0 08,,,no canonical current code
blocked,story,7/S7021.DAT 0x4908E,0x45183,페,EA 9E,,,no canonical current code
blocked,story,7/S7021.DAT 0x4921C,0x45203,페,EA 9E,,,no canonical current code
blocked,story,7/S7028.DAT 0x484D8,0x45283,페,EA 9E,,,no canonical current code
blocked,story,7/S7028.DAT 0x48666,0x45303,페,EA 9E,,,no canonical current code
blocked,story,8/S8013.DAT 0x47996,0x45103,페,EA 9E,,,no canonical current code
blocked,story,8/S8013.DAT 0x47A84,0x45283,페,EA 9E,,,no canonical current code
blocked,story,8/S8013.DAT 0x47AFC,0x45383,페,EA 9E,,,no canonical current code
blocked,story,8/S8013.DAT 0x480C8,0x480EB,…,E0 08,,,no canonical current code
blocked,ui,ui_full_v42 pointer=0x811D8,0x80E03,큐,EA 7A,,,no canonical current code
needs_R_cell,story,1/S1023.DAT 0x47D0E,0x4540C,R,E0 20,,,R bitmap has no current code
needs_R_cell,story,21/S2041.DAT 0x48684,0x45712,R,E0 20,,,R bitmap has no current code
needs_R_cell,story,21/S2042.DAT 0x4831C,0x45091,R,E0 20,,,R bitmap has no current code
needs_R_cell,story,21/S2045.DAT 0x47F94,0x47FB5,R,E0 20,,,R bitmap has no current code
needs_R_cell,story,31/S3012.DAT 0x4831C,0x45491,R,E0 20,,,R bitmap has no current code
needs_R_cell,story,31/S3013.DAT 0x483C6,0x450AC,R,E0 20,,,R bitmap has no current code
repair,story,21/S2041.DAT 0x48160,0x45001,론,DF D1,,E1 C7,superseded glyph address
repair,story,21/S2041.DAT 0x48160,0x45003,이,E0 BD,,DE 3C,superseded glyph address
repair,story,21/S2041.DAT 0x48160,0x45104,싸,E0 FB,,DE AD,superseded glyph address
