owner_type,owner,desired,match_ratio,reason
story,1/S1023.DAT 0x47AB0,|강해지려면|작전을 세우려면|적에게 피해를 입지 않으려면|다음 페이지,0.5517,current payload is not this translation
story,21/S2013.DAT 0x47922,...,0.0000,current payload is not this translation
story,21/S2042.DAT 0x47FB4,...,0.0000,current payload is not this translation
story,21/S2045.DAT 0x4834A,|전투 요령 2|유용한 정보|그만,0.0833,current payload is not this translation
story,21/S2045.DAT 0x4876C,...,0.0000,current payload is not this translation
story,21/S2045.DAT 0x48926,낙오자라니 누구를 말하는 게냐?,0.0000,current payload is not this translation
story,21/S2045.DAT 0x48972,|아라라토스 유적|미르마나의 이후|라마다 수행|그만,0.0000,current payload is not this translation
story,21/S2045.DAT 0x48B10,"그래, 너희 힘으로 보물을 척척 손에 넣는 거다!",0.1000,current payload is not this translation
story,21/S2045.DAT 0x48BC0,맡길 리가 없잖아!,0.1250,current payload is not this translation
story,21/S2045.DAT 0x48D6E,친절하기도 하군.,0.0000,current payload is not this translation
story,21/S2045.DAT 0x48EC0,초핀: 어느 것에 관해 말씀드릴까요?,0.0000,current payload is not this translation
story,21/S2045.DAT 0x48F18,|스톤 서클|링 위치 설정|소환수에 대해|다음 페이지,0.0500,current payload is not this translation
story,21/S2045.DAT 0x48F94,|포코의 악기|투기장|키토우올|그만,0.0714,current payload is not this translation
story,21/S2045.DAT 0x49006,|스톤 서클|링 위치 설정|소환수|다음 페이지,0.1765,current payload is not this translation
story,21/S2045.DAT 0x4907E,|포코의 악기|투기장|키토우올|다음 페이지,0.0588,current payload is not this translation
story,21/S2045.DAT 0x4916A,초핀: 고겐 님이 동료가 된 뒤에 오르카스 언덕의 스톤 서클에 가 보셨습니까?,0.0625,current payload is not this translation
story,31/S3014.DAT 0x46FB4,"초핀: 아이템, 장신구, 특수 능력은 커서로 고르고 있을 때 L이나 R 버튼을 누르면 그 효과를 볼 수 있습니다.",0.0652,current payload is not this translation
story,31/S3014.DAT 0x47108,초핀: 아이템 던지기는 반격당하지 않으므로 강한 적에게도 안전한 공격 수단입니다.,0.0556,current payload is not this translation
story,31/S3014.DAT 0x47232,초핀: 반대로 자신이 공격받을 때는 되도록 정면을 향하게 하면 적에게 반격하기 쉬워집니다.,0.0256,current payload is not this translation
story,31/S3014.DAT 0x472A2,초핀: 특수 공격도 아이템을 던지는 것과 마찬가지로 절대로 적의 반격을 받지 않는 공격 수단입니다.,0.0476,current payload is not this translation
story,31/S3014.DAT 0x47324,초핀: 무엇을 알고 싶으십니까?,0.0714,current payload is not this translation
story,31/S3014.DAT 0x4736E,|전투 요령 2|유용한 정보|그만,0.0833,current payload is not this translation
story,31/S3014.DAT 0x4745A,초핀: 이쪽의 공격이 몬스터에게 통하지 않는 것은 레벨 차이 외에 상성이 나쁜 경우가 있기 때문입니다.,0.0000,current payload is not this translation
story,31/S3014.DAT 0x4752A,초핀: 그 밖에 날아다니는 몬스터에게는 바람 마법이 잘 통하는 경우도 있습니다.,0.0000,current payload is not this translation
story,31/S3014.DAT 0x4758C,초핀: 싸움은 머리를 쓰지 않으면 안 됩니다. 힘만으로는 안 되는 법입니다.,0.0312,current payload is not this translation
story,31/S3014.DAT 0x4762E,초핀: 강한 상대와 싸우면 그만큼 많은 경험을 쌓을 수 있습니다.,0.0370,current payload is not this translation
story,31/S3014.DAT 0x47790,...,0.0000,current payload is not this translation
story,31/S3014.DAT 0x477D6,초핀: 동료가 늘어나면 전투에서의 역할에 따라 레벨 차이가 더 생기게 됩니다.,0.0303,current payload is not this translation
story,31/S3014.DAT 0x4788A,초핀: 캐릭터들의 방어력이 비슷한 수치가 되도록 신경 써 보시는 건 어떻겠습니까?,0.0857,current payload is not this translation
story,31/S3014.DAT 0x4794A,낙오자라니 누구를 말하는 게냐?,0.0000,current payload is not this translation
story,31/S3014.DAT 0x47996,|아라라토스 유적|미르마나의 이후|라마다 수행|그만,0.0000,current payload is not this translation
story,31/S3014.DAT 0x47A78,"초핀: 그 안에는 몬스터가 지키고 있는, 그곳에서만 얻을 수 있는 액세서리도 있다고 들었습니다.",0.0488,current payload is not this translation
story,31/S3014.DAT 0x47ADE,"초핀: 실력도 시험해 볼 겸, 가끔 들러 보는 것도 좋지 않을까요?",0.0741,current payload is not this translation
story,31/S3014.DAT 0x47CD6,"초핀: 미르마나에는 세 곳의 배틀 에어리어가 있다고 하니, 때로는 가서 이야기를 듣는 것도 좋겠습니다.",0.0682,current payload is not this translation
story,31/S3014.DAT 0x47D42,초핀: 가면 만능약을 받을 수 있는 것같습니다.,0.0000,current payload is not this translation
story,31/S3014.DAT 0x47D92,친절하기도 하군.,0.0000,current payload is not this translation
story,31/S3014.DAT 0x47EE4,초핀: 어느 것에 관해 말씀드릴까요?,0.0000,current payload is not this translation
story,31/S3014.DAT 0x47F3C,|스톤 서클|링 위치 설정|소환수에 대해|다음 페이지,0.0500,current payload is not this translation
story,31/S3014.DAT 0x47FB8,|포코의 악기|투기장|키토우올|그만,0.0714,current payload is not this translation
story,31/S3014.DAT 0x4802A,|스톤 서클|링 위치 설정|소환수|다음 페이지,0.1765,current payload is not this translation
story,31/S3014.DAT 0x480A2,|포코의 악기|투기장|키토우올|다음 페이지,0.0588,current payload is not this translation
