member,offset,owner_type,owner,char,old_hex,new_hex,byte_changed
21/S2022.DAT,0x45398,story,21/S2022.DAT 0x47918,…,E0 08,EA 9F,True
21/S2022.DAT,0x4539A,story,21/S2022.DAT 0x47918,…,E0 08,EA 9F,True
21/S2045.DAT,0x4966D,story,21/S2045.DAT 0x4964A,…,E0 08,EA 9F,True
22/S2055.DAT,0x45828,story,22/S2055.DAT 0x47980,…,E0 08,EA 9F,True
23/S2071.DAT,0x45125,story,23/S2071.DAT 0x47CB8,…,E0 08,EA 9F,True
31/S3014.DAT,0x48691,story,31/S3014.DAT 0x4866E,…,E0 08,EA 9F,True
5/S5013.DAT,0x49659,story,5/S5013.DAT 0x49636,…,E0 08,EA 9F,True
6/S6014.DAT,0x49605,story,6/S6014.DAT 0x495E2,…,E0 08,EA 9F,True
7/S7012.DAT,0x490FD,story,7/S7012.DAT 0x490DA,…,E0 08,EA 9F,True
7/S7021.DAT,0x45183,story,7/S7021.DAT 0x4908E,페,EA 9E,EA 9E,False
7/S7021.DAT,0x45203,story,7/S7021.DAT 0x4921C,페,EA 9E,EA 9E,False
7/S7028.DAT,0x45283,story,7/S7028.DAT 0x484D8,페,EA 9E,EA 9E,False
7/S7028.DAT,0x45303,story,7/S7028.DAT 0x48666,페,EA 9E,EA 9E,False
8/S8013.DAT,0x45103,story,8/S8013.DAT 0x47996,페,EA 9E,EA 9E,False
8/S8013.DAT,0x45283,story,8/S8013.DAT 0x47A84,페,EA 9E,EA 9E,False
8/S8013.DAT,0x45383,story,8/S8013.DAT 0x47AFC,페,EA 9E,EA 9E,False
8/S8013.DAT,0x480EB,story,8/S8013.DAT 0x480C8,…,E0 08,EA 9F,True
PSX.EXE,0x80E03,ui,ui_full_v42 pointer=0x811D8,큐,EA 7A,EA 9D,True
1/S1023.DAT,0x4540C,story,1/S1023.DAT 0x47D0E,R,E0 20,EA 9C,True
21/S2041.DAT,0x45712,story,21/S2041.DAT 0x48684,R,E0 20,EA 9C,True
21/S2042.DAT,0x45091,story,21/S2042.DAT 0x4831C,R,E0 20,EA 9C,True
21/S2045.DAT,0x47FB5,story,21/S2045.DAT 0x47F94,R,E0 20,EA 9C,True
31/S3012.DAT,0x45491,story,31/S3012.DAT 0x4831C,R,E0 20,EA 9C,True
31/S3013.DAT,0x450AC,story,31/S3013.DAT 0x483C6,R,E0 20,EA 9C,True
21/S2041.DAT,0x45001,story,21/S2041.DAT 0x48160,론,DF D1,E1 C7,True
21/S2041.DAT,0x45003,story,21/S2041.DAT 0x48160,이,E0 BD,DE 3C,True
21/S2041.DAT,0x45104,story,21/S2041.DAT 0x48160,싸,E0 FB,DE AD,True
21/S2041.DAT,0x45109,story,21/S2041.DAT 0x48160,법,E0 B3,DF 87,True
21/S2041.DAT,0x4510D,story,21/S2041.DAT 0x48160,몰,E0 ED,E1 D4,True
21/S2041.DAT,0x4510F,story,21/S2041.DAT 0x48160,라,E0 A6,DE 74,True
31/S3012.DAT,0x45001,story,31/S3012.DAT 0x47FF0,언,E0 AE,DF 78,True
31/S3012.DAT,0x4500B,story,31/S3012.DAT 0x47FF0,이,E0 BD,DE 3C,True
31/S3012.DAT,0x45012,story,31/S3012.DAT 0x47FF0,이,E0 BD,DE 3C,True
31/S3012.DAT,0x45101,story,31/S3012.DAT 0x4811E,슨,E0 EA,E1 C0,True
31/S3012.DAT,0x45104,story,31/S3012.DAT 0x4811E,싸,E0 FB,DE AD,True
31/S3012.DAT,0x4510B,story,31/S3012.DAT 0x4811E,이,E0 BD,DE 3C,True
31/S3012.DAT,0x45181,story,31/S3012.DAT 0x4811E,떻,E0 B9,DF B4,True
31/S3012.DAT,0x45188,story,31/S3012.DAT 0x4811E,강,E0 F2,DF 5F,True
31/S3013.DAT,0x45701,story,31/S3013.DAT 0x47FF6,론,DF D1,E1 C7,True
31/S3013.DAT,0x45703,story,31/S3013.DAT 0x47FF6,이,E0 BD,DE 3C,True
31/S3022.DAT,0x45081,story,31/S3022.DAT 0x48822,발,E0 FA,DE A5,True
31/S3022.DAT,0x45101,story,31/S3022.DAT 0x48822,발,E0 FA,DE A5,True
7/S7021.DAT,0x45004,story,7/S7021.DAT 0x48EA4,루,E0 44,DF B2,True
7/S7021.DAT,0x45305,story,7/S7021.DAT 0x48EA4,이,E0 BD,DE 3C,True
7/S7021.DAT,0x45185,story,7/S7021.DAT 0x4908E,이,E0 BD,DE 3C,True
7/S7021.DAT,0x45205,story,7/S7021.DAT 0x4921C,이,E0 BD,DE 3C,True
7/S7021.DAT,0x45283,story,7/S7021.DAT 0x4921C,로,E0 D6,DE 70,True
7/S7028.DAT,0x45104,story,7/S7028.DAT 0x482EE,루,E0 44,DF B2,True
7/S7028.DAT,0x45185,story,7/S7028.DAT 0x482EE,이,E0 BD,DE 3C,True
7/S7028.DAT,0x45285,story,7/S7028.DAT 0x484D8,이,E0 BD,DE 3C,True
7/S7028.DAT,0x45305,story,7/S7028.DAT 0x48666,이,E0 BD,DE 3C,True
7/S7028.DAT,0x45383,story,7/S7028.DAT 0x48666,로,E0 D6,DE 70,True
8/S8013.DAT,0x45105,story,8/S8013.DAT 0x47996,이,E0 BD,DE 3C,True
8/S8013.DAT,0x45204,story,8/S8013.DAT 0x47A84,치,E0 B0,DF 1A,True
8/S8013.DAT,0x45207,story,8/S8013.DAT 0x47A84,설,E0 59,E9 81,True
8/S8013.DAT,0x45285,story,8/S8013.DAT 0x47A84,이,E0 BD,DE 3C,True
8/S8013.DAT,0x45385,story,8/S8013.DAT 0x47AFC,이,E0 BD,DE 3C,True
C1/SC011.DAT,0x45301,story,C1/SC011.DAT 0x46EAA,론,DF D1,E1 C7,True
C1/SC011.DAT,0x45600,story,C1/SC011.DAT 0x46F74,괜,E0 3F,DF 85,True
C1/SC011.DAT,0x45880,story,C1/SC011.DAT 0x47034,싸,E0 FB,DE AD,True
C1/SC021.DAT,0x45301,story,C1/SC021.DAT 0x46EAA,론,DF D1,E1 C7,True
C1/SC021.DAT,0x45600,story,C1/SC021.DAT 0x46F74,괜,E0 3F,DF 85,True
C1/SC021.DAT,0x45880,story,C1/SC021.DAT 0x47034,싸,E0 FB,DE AD,True
C1/SC031.DAT,0x45301,story,C1/SC031.DAT 0x46EAA,론,DF D1,E1 C7,True
C1/SC031.DAT,0x45600,story,C1/SC031.DAT 0x46F74,괜,E0 3F,DF 85,True
C1/SC031.DAT,0x45880,story,C1/SC031.DAT 0x47034,싸,E0 FB,DE AD,True
C1/SC051.DAT,0x45301,story,C1/SC051.DAT 0x46EAA,론,DF D1,E1 C7,True
C1/SC051.DAT,0x45600,story,C1/SC051.DAT 0x46F74,괜,E0 3F,DF 85,True
C1/SC051.DAT,0x45880,story,C1/SC051.DAT 0x47034,싸,E0 FB,DE AD,True
C1/SC061.DAT,0x45581,story,C1/SC061.DAT 0x46EAA,론,DF D1,E1 C7,True
C1/SC061.DAT,0x45880,story,C1/SC061.DAT 0x46F74,괜,E0 3F,DF 85,True
C1/SC061.DAT,0x45B00,story,C1/SC061.DAT 0x47034,싸,E0 FB,DE AD,True
C1/SC081.DAT,0x45680,story,C1/SC081.DAT 0x46F70,괜,E0 3F,DF 85,True
C1/SC081.DAT,0x45800,story,C1/SC081.DAT 0x47030,간,E0 F7,DE C5,True
C2/SC0A1.DAT,0x45580,story,C2/SC0A1.DAT 0x46F66,괜,E0 3F,DF 85,True
C2/SC0A1.DAT,0x45780,story,C2/SC0A1.DAT 0x47026,싸,E0 FB,DE AD,True
PSX.EXE,0x80399,ui,ui_full_v42 pointer=0x80524,거,E9 07,E9 0C,True
PSX.EXE,0x8047C,ui,ui_full_v42 pointer=0x80580,거,E9 07,E9 0C,True
PSX.EXE,0x8076D,ui,ui_full_v42 pointer=0x80AF4,M,EA 98,DE 4F,True
PSX.EXE,0x8076F,ui,ui_full_v42 pointer=0x80AF4,P,EA 99,DD 90,True
PSX.EXE,0x809B0,ui,ui_full_v42 pointer=0x80B8C,M,EA 98,DE 4F,True
PSX.EXE,0x809B2,ui,ui_full_v42 pointer=0x80B8C,P,EA 99,DD 90,True
PSX.EXE,0x812E4,ui,ui_full_v42 pointer=0x8176C,거,E9 07,E9 0C,True
