file,offset,audience,japanese,before,after,decision
31/S3031.DAT,0x47AB0,혼잣말,ヤグン  / こんな子供の相手をさせられるとは / わしもばかにされたものだな。,"야군: 이런 아이들을 상대하게 되다니, 나도 우습게 보인 모양이군.","야군: 이런 아이들을 상대하게 되다니, 나도 우습게 보인 모양이군.",유지
31/S3031.DAT,0x47BDC,아크 일행,ヤグン  / ミルマーナ国軍本部将軍のヤグンです。 / トヨーケの森に行きたいんでしたな？,야군: 미르마나 국군 본부 장군 야군입니다. 토요케 숲에 가고 싶으셨지요?,야군: 미르마나 국군 본부 장군 야군입니다. 토요케 숲에 가고 싶으셨지요?,유지
31/S3031.DAT,0x47C40,아크 일행,ヤグン  / しかしながら、それは子供には無理だな / 危険すぎる。,야군: 하지만 그건 아이들에게는 무리입니다. 너무 위험해요.,야군: 하지만 그건 아이들에게는 무리입니다. 너무 위험합니다.,수정
31/S3031.DAT,0x47C98,아크 일행,ヤグン  / まあわざわざ来てもらつて / ご苦労なことだが / お帰りいただくしかないですな。,"야군: 모처럼 와 주셔서 죄송합니다만, 돌아가 주실 수밖에 없겠군요.","야군: 모처럼 와 주셔서 죄송합니다만, 돌아가 주실 수밖에 없겠군요.",유지
31/S3031.DAT,0x47E08,아크 일행,ヤグン  / これは失礼しましたな、お嬢さん。,"야군: 이건 실례했습니다, 아가씨.","야군: 이건 실례했습니다, 아가씨.",유지
31/S3031.DAT,0x47E54,아크 일행,ヤグン  / ただ、私は精霊の国から不思議な力を持つた戦士がいらつしゃると聞いていたものですから・・。,야군: 다만 정령의 나라에서 불가사의한 힘을 지닌 전사가 오셨다고 들었기에...,야군: 다만 정령의 나라에서 불가사의한 힘을 지닌 전사가 오셨다고 들었기에...,유지
31/S3031.DAT,0x47EBE,아크 일행,ヤグン  / しかも今、森はモンスターだらけで大変 / 危険な場所なんですよ。,야군: 게다가 지금 숲은 몬스터투성이라 아주 위험한 곳입니다.,야군: 게다가 지금 숲은 몬스터투성이라 아주 위험한 곳입니다.,유지
31/S3031.DAT,0x47F1A,아크 일행,ヤグン  / 使者の方が命でも落とされたら / それこそスメリア王に申しわけが立たない,야군: 사절께서 목숨이라도 잃으시면 스메리아 왕께 면목이 서지 않습니다.,야군: 사절께서 목숨이라도 잃으시면 스메리아 왕께 면목이 서지 않습니다.,유지
31/S3031.DAT,0x47F8C,아크 일행,ヤグン  / はつはつはつはつ。,야군: 하하하하하.,야군: 하하하하하.,유지
31/S3031.DAT,0x480B0,아크 일행,ヤグン  / ・・いいでしょう。 / あなたがたの力を見せてもらいましょう。,야군: ...좋습니다. 여러분의 힘을 보여 주시지요.,야군: ...좋습니다. 여러분의 힘을 보여 주시지요.,유지
31/S3031.DAT,0x4810A,아크 일행,ヤグン  / 最近はこの付近でもモンスターが現われる,야군: 최근에는 이 근처에도 몬스터가 나타나오.,야군: 최근에는 이 근처에도 몬스터가 나타나고 있습니다.,수정
31/S3031.DAT,0x4815A,아크 일행,ヤグン  / そこで、その力とやらを使つて / モンスターを倒していただきましょう。,야군: 그러니 그 힘을 써서 몬스터를 쓰러뜨려 주시지요.,야군: 그러니 그 힘을 써서 몬스터를 쓰러뜨려 주시지요.,유지
31/S3031.DAT,0x481B6,아크 일행,ヤグン  / このあたりのモンスターも倒せないようでは、森にはとうてい行けませんからな。,야군: 이 근처의 몬스터도 쓰러뜨리지 못한다면 숲에는 도저히 갈 수 없으니까요.,야군: 이 근처의 몬스터도 쓰러뜨리지 못한다면 숲에는 도저히 갈 수 없으니까요.,유지
31/S3031.DAT,0x48246,부하 병사,ヤグン  / この方達が、戦場を見学したいそうだ。 / おまえが同行してお見せしろ。,야군: 이분들이 전장을 구경하고 싶어 하신다. 네가 동행하여 보여 드려라.,야군: 이분들이 전장을 구경하고 싶어 하신다. 네가 동행하여 보여 드려라.,유지
31/S3031.DAT,0x482A2,부하 병사,ヤグン  / もしものこがあつたら一大こだぞ。 / 心してお守りするのだ。,야군: 만일의 일이 있으면 큰일이다. 잘 지켜 드려라.,야군: 만일의 일이 있으면 큰일이다. 잘 지켜 드려라.,유지
31/S3031.DAT,0x48308,아크 일행,ヤグン  / みなさんを / <G:90>ルワジの森<G:89>、<G:90>センバラの沼<G:89> / の2か所に案内させます。,야군: 여러분을 루와지의 숲과 셈바라의 늪 두 곳으로 안내하게 하겠습니다.,야군: 여러분을 루와지의 숲과 셈바라의 늪 두 곳으로 안내하게 하겠습니다.,유지
31/S3031.DAT,0x4836C,아크 일행,ヤグン  / ますは、そこのモンスターと / 戦つてみて下さい。,야군: 우선 저기 몬스터와 싸워 보십시오.,야군: 우선 저기 몬스터와 싸워 보십시오.,유지
