source_file,offset,classification,japanese,canonical_korean,v192_prompt,slot,row_widths_px,e5_positions,e6_positions,marker_geometry_matches_v190
1/S1023.DAT,0x47952,speaker_prompt_merged,アークの母  / 父さんの置き手紙があるけどよむかい？ / <CTRL:E5:03>ベつにいい。 / <CTRL:E5:03>よむ。,어머니: 아버지가 남긴 편지를 읽을래?|괜찮아|읽는다,어머니: 아버지가 남긴 편지를 읽을래?,0,228|0|48|48,31|42,7|29|40,1
1/S1023.DAT,0x47AB0,other_choice_unchanged,<CTRL:E5:03>強くなるためには / <CTRL:E5:03>作戦をたてるには / <CTRL:E5:03>敵からダメージを受けないためには1<CTRL:E5:03>次のページ,|강해지려면|작전을 세우려면|적에게 피해를 입지 않으려면|다음 페이지,,,,,,1
1/S1023.DAT,0x47B30,other_choice_unchanged,<CTRL:E5:03>敵からダメージを受けないためには2<CTRL:E5:03>うまく戦うには / <CTRL:E5:03>よむのやめる。,피해 줄이기 2|전투 요령|그만 읽기,,,,,,1
21/S2041.DAT,0x47D5A,other_choice_unchanged,<CTRL:E5:02>値ひれ究投ミ恵<CTRL:E6:00><CTRL:E5:02>場ふ究投ミ恵<CTRL:E6:00><CTRL:E5:02>年 が精ん<CTRL:E6:00><CTRL:E5:02>もー出っん<CTRL:E6:00>,,,,,,,1
21/S2041.DAT,0x47DD4,other_choice_unchanged,<CTRL:E5:02>じ者ひれ話空<CTRL:E6:00><CTRL:E5:02>運き臣まぼ話空<CTRL:E6:00><CTRL:E5:02>フダレねま負話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>,,,,,,,1
21/S2041.DAT,0x47E2C,other_choice_unchanged,<CTRL:E5:02>れどどめじ話空<CTRL:E6:00><CTRL:E5:02>れひヴまねコ話空<CTRL:E6:00><CTRL:E5:02>必ま直き話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>,,,,,,,1
21/S2041.DAT,0x47E86,other_choice_unchanged,<CTRL:E5:02>はどま受金話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>,,,,,,,1
21/S2041.DAT,0x47EFE,other_choice_unchanged,<CTRL:E5:03>エリアMAPをオープンしますか？ / <CTRL:E5:03>オープンする / <CTRL:E5:03>オープンしない / ,에어리어 맵을 열까요?|연다|열지 않는다,,,,,,1
21/S2041.DAT,0x48160,other_choice_unchanged,<CTRL:E5:04>もちろん! / <CTRL:E5:04>ちょつと自信がないな・・。 / <CTRL:E5:04>まだ戦い方がわからないや。,물론이야!|조금 자신이 없어...|아직 싸우는 법을 몰라.,,,,,,1
21/S2041.DAT,0x48488,other_choice_unchanged,<CTRL:E5:04>どうすれば強くなれるの？ / <CTRL:E5:04>何か戦いのコツはあるの？ / <CTRL:E5:04>やつっり、いいや。,강해지는 방법|전투 요령|그만,,,,,,1
21/S2042.DAT,0x47D5A,other_choice_unchanged,<CTRL:E5:02>値ひれ究投ミ恵<CTRL:E6:00><CTRL:E5:02>場ふ究投ミ恵<CTRL:E6:00><CTRL:E5:02>年 が精ん<CTRL:E6:00><CTRL:E5:02>もー出っん<CTRL:E6:00>,,,,,,,1
21/S2042.DAT,0x47DD4,other_choice_unchanged,<CTRL:E5:02>じ者ひれ話空<CTRL:E6:00><CTRL:E5:02>運き臣まぼ話空<CTRL:E6:00><CTRL:E5:02>フダレねま負話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>,,,,,,,1
21/S2042.DAT,0x47E2C,other_choice_unchanged,<CTRL:E5:02>れどどめじ話空<CTRL:E6:00><CTRL:E5:02>れひヴまねコ話空<CTRL:E6:00><CTRL:E5:02>必ま直き話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>,,,,,,,1
21/S2042.DAT,0x47E86,other_choice_unchanged,<CTRL:E5:02>はどま受金話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>,,,,,,,1
21/S2042.DAT,0x47FF0,speaker_prompt_merged,チョピン  / 何か私でお力になれるこはありますか？ / <CTRL:E5:03>ベつにない。 / <CTRL:E5:03>ちょつと教えてほしい。,초핀: 더 도와드릴까요?|괜찮아|하나만 더,초핀: 더 도와드릴까요?,11,144|0|48|66,27|38,5|25|36,1
21/S2042.DAT,0x4811E,other_choice_unchanged,<CTRL:E5:04>どうすれば強くなれるの？ / <CTRL:E5:04>何か戦いのコツはあるの？ / <CTRL:E5:04>やつっり、いいや。,|강해지는 법|전투 요령|그만,,,,,,1
21/S2043.DAT,0x47D5A,other_choice_unchanged,<CTRL:E5:02>値ひれ究投ミ恵<CTRL:E6:00><CTRL:E5:02>場ふ究投ミ恵<CTRL:E6:00><CTRL:E5:02>年 が精ん<CTRL:E6:00><CTRL:E5:02>もー出っん<CTRL:E6:00>,,,,,,,1
21/S2043.DAT,0x47DD4,other_choice_unchanged,<CTRL:E5:02>じ者ひれ話空<CTRL:E6:00><CTRL:E5:02>運き臣まぼ話空<CTRL:E6:00><CTRL:E5:02>フダレねま負話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>,,,,,,,1
