state,cache_slot,source,char,active,selected,match_A,match_B,match_selected
1,0,50,미,0,B,0,1,1
1,1,26,르,0,B,0,1,1
1,2,37,마,0,B,0,1,1
1,3,23,전,0,B,1,1,1
1,4,39,이,0,B,1,1,1
1,5,63,혼,0,B,1,1,1
1,6,25,는,0,B,1,1,1
1,7,8,시,0,B,1,1,1
1,8,1,에,0,B,1,1,1
1,9,16,지,0,B,1,1,1
1,10,12,게,0,B,1,1,1
1,11,17,해,0,B,1,1,1
1,12,157,잖,0,B,1,1,1
1,13,76,앞,0,B,1,1,1
1,14,2,의,0,B,1,1,1
1,15,13,여,0,B,1,1,1
1,16,53,행,0,B,1,1,1
1,17,56,명,0,B,1,1,1
1,18,0,니,0,B,1,1,1
1,19,68,결,0,B,1,1,1
1,20,10,정,0,B,1,1,1
1,21,28,군,0,B,1,1,1
1,22,6,나,0,B,1,1,1
1,23,34,토,0,B,1,1,1
1,24,194,슈,0,B,1,1,1
1,25,106,잘,0,B,1,1,1
1,26,29,하,0,B,1,1,1
1,27,52,메,0,B,0,1,1
2,0,50,미,0,B,0,1,1
2,1,26,르,0,B,0,1,1
2,2,37,마,0,B,0,1,1
2,3,23,전,0,B,1,1,1
2,4,39,이,0,B,1,1,1
2,5,63,혼,0,B,1,1,1
2,6,25,는,0,B,1,1,1
2,7,8,시,0,B,1,1,1
2,8,1,에,0,B,1,1,1
2,9,16,지,0,B,1,1,1
2,10,12,게,0,B,1,1,1
2,11,17,해,0,B,1,1,1
2,12,157,잖,0,B,1,1,1
2,13,76,앞,0,B,1,1,1
2,14,2,의,0,B,1,1,1
2,15,13,여,0,B,1,1,1
2,16,53,행,0,B,1,1,1
2,17,56,명,0,B,1,1,1
2,18,0,니,0,B,1,1,1
2,19,68,결,0,B,1,1,1
2,20,10,정,0,B,1,1,1
2,21,28,군,0,B,1,1,1
2,22,6,나,0,B,1,1,1
2,23,34,토,0,B,1,1,1
2,24,194,슈,0,B,1,1,1
2,25,106,잘,0,B,1,1,1
2,26,29,하,0,B,1,1,1
2,27,52,메,0,B,0,1,1
3,0,50,미,0,A,1,1,1
3,1,26,르,0,A,1,1,1
3,2,37,마,0,A,1,1,1
3,3,243,항,0,A,1,0,1
3,4,73,팔,0,A,1,0,1
3,5,83,렌,0,A,1,0,1
3,6,41,성,0,A,1,0,1
3,7,212,빌,0,A,1,0,1
3,8,8,시,0,A,1,0,1
3,9,16,지,0,A,1,1,1
3,10,12,게,0,A,1,1,1
3,11,17,해,0,A,1,1,1
3,12,157,잖,0,A,1,1,1
3,13,76,앞,0,A,1,1,1
3,14,2,의,0,A,1,1,1
3,15,13,여,0,A,1,1,1
3,16,53,행,0,A,1,1,1
3,17,56,명,0,A,1,1,1
3,18,0,니,0,A,1,1,1
3,19,68,결,0,A,1,1,1
3,20,10,정,0,A,1,1,1
3,21,28,군,0,A,1,1,1
3,22,6,나,0,A,1,1,1
3,23,34,토,0,A,1,1,1
3,24,194,슈,0,A,1,1,1
3,25,106,잘,0,A,1,1,1
3,26,29,하,0,A,1,1,1
3,27,52,메,0,A,1,1,1
