state,cache_slot,source,char,active,selected,match_A,match_B,match_selected
1,0,52,메,1,A,0,0,0
1,1,145,카,1,A,0,0,0
1,2,11,를,1,A,0,0,0
1,3,24,인,1,A,0,0,0
1,4,29,하,1,A,0,0,0
1,5,5,고,1,A,0,0,0
1,6,7,있,1,A,0,0,0
1,7,0,니,1,A,0,0,0
1,8,21,다,1,A,0,0,0
2,0,52,메,1,A,0,0,0
2,1,145,카,1,A,0,0,0
2,2,11,를,1,A,0,0,0
2,3,24,인,1,A,0,0,0
2,4,29,하,1,A,0,0,0
2,5,5,고,1,A,0,0,0
2,6,7,있,1,A,0,0,0
2,7,0,니,1,A,0,0,0
2,8,21,다,1,A,0,0,0
2,9,26,르,1,A,0,0,0
2,10,243,항,1,A,0,0,0
2,11,77,알,1,A,0,0,0
2,12,460,현,1,A,0,0,0
2,13,20,대,1,A,0,0,0
3,0,52,메,1,A,1,0,1
3,1,145,카,1,A,1,0,1
3,2,11,를,1,A,1,0,1
3,3,24,인,1,A,1,0,1
3,4,29,하,1,A,1,0,1
3,5,5,고,1,A,1,0,1
3,6,7,있,1,A,1,0,1
3,7,0,니,1,A,1,0,1
3,8,21,다,1,A,1,0,1
3,9,26,르,1,A,1,0,1
3,10,243,항,1,A,1,0,1
3,11,77,알,1,A,1,0,1
3,12,460,현,1,A,1,0,1
3,13,20,대,1,A,1,0,1
3,14,37,마,1,A,1,0,1
3,15,4,그,1,A,1,0,1
3,16,6,나,1,A,1,0,1
