state,cache_slot,source,char,active,selected,match_A,match_B,match_selected
1,0,0,니,0,A,0,0,0
1,1,28,군,0,A,0,0,0
1,2,10,정,0,A,0,0,0
1,3,6,나,0,A,0,0,0
1,4,34,토,1,A,1,0,1
1,5,29,하,0,A,1,0,1
1,6,16,지,0,A,1,0,1
1,7,266,료,0,A,1,0,1
1,8,153,졌,0,A,0,0,0
1,9,4,그,0,A,0,0,0
1,10,18,오,0,A,0,0,0
1,11,23,전,0,A,0,0,0
1,12,25,는,0,A,0,0,0
1,13,1,에,0,A,0,0,0
1,14,224,함,0,A,0,0,0
1,15,13,여,0,A,0,0,0
1,16,154,적,0,A,0,0,0
1,17,9,도,0,A,0,0,0
1,18,69,법,0,A,0,0,0
1,19,207,궤,0,A,0,0,0
1,20,11,를,0,A,0,0,0
1,21,400,옮,0,A,0,0,0
1,22,181,겨,0,A,0,0,0
1,23,8,시,0,A,0,0,0
1,24,12,게,0,A,0,0,0
1,25,157,잖,0,A,0,0,0
1,26,76,앞,0,A,0,0,0
1,27,2,의,0,A,0,0,0
2,0,0,니,0,A,1,0,1
2,1,28,군,0,A,1,0,1
2,2,10,정,0,A,1,0,1
2,3,6,나,0,A,1,0,1
2,4,34,토,0,A,1,0,1
2,5,29,하,0,A,1,0,1
2,6,16,지,0,A,1,0,1
2,7,243,항,0,A,1,0,1
2,8,73,팔,0,A,1,0,1
2,9,77,알,0,A,1,0,1
2,10,460,현,0,A,1,0,1
2,11,32,상,1,A,1,0,1
2,12,25,는,1,A,1,0,1
2,13,3,어,1,A,1,0,1
2,14,224,함,0,A,1,0,1
2,15,13,여,0,A,1,0,1
2,16,154,적,0,A,0,0,0
2,17,9,도,0,A,0,0,0
2,18,69,법,0,A,0,0,0
2,19,207,궤,0,A,0,0,0
2,20,11,를,0,A,1,0,1
2,21,400,옮,0,A,1,0,1
2,22,181,겨,0,A,1,0,1
2,23,8,시,0,A,1,0,1
2,24,12,게,0,A,0,0,0
2,25,157,잖,0,A,0,0,0
2,26,76,앞,0,A,0,0,0
2,27,2,의,0,A,0,0,0
3,0,0,니,0,A,1,0,1
3,1,28,군,0,A,1,0,1
3,2,10,정,0,A,1,0,1
3,3,6,나,1,A,1,0,1
3,4,34,토,0,A,1,0,1
3,5,29,하,0,A,1,0,1
3,6,16,지,0,A,1,0,1
3,7,243,항,0,A,1,0,1
3,8,73,팔,0,A,1,0,1
3,9,77,알,0,A,1,0,1
3,10,460,현,0,A,1,0,1
3,11,32,상,0,A,1,0,1
3,12,25,는,0,A,1,0,1
3,13,3,어,0,A,1,0,1
3,14,17,해,0,A,1,0,1
3,15,13,여,0,A,1,0,1
3,16,154,적,0,A,1,0,1
3,17,9,도,1,A,1,0,1
3,18,69,법,0,A,1,0,1
3,19,207,궤,0,A,1,0,1
3,20,11,를,0,A,1,0,1
3,21,400,옮,0,A,1,0,1
3,22,181,겨,0,A,1,0,1
3,23,8,시,0,A,1,0,1
3,24,12,게,0,A,0,0,0
3,25,157,잖,0,A,0,0,0
3,26,76,앞,0,A,0,0,0
3,27,2,의,0,A,0,0,0
4,0,0,니,0,A,1,0,1
4,1,28,군,0,A,1,0,1
4,2,10,정,0,A,1,0,1
4,3,6,나,0,A,1,0,1
4,4,34,토,0,A,1,0,1
4,5,29,하,0,A,1,0,1
4,6,16,지,0,A,1,0,1
4,7,243,항,0,A,1,0,1
4,8,73,팔,0,A,1,0,1
4,9,77,알,0,A,1,0,1
4,10,460,현,0,A,1,0,1
4,11,32,상,0,A,1,0,1
4,12,25,는,0,A,1,0,1
4,13,3,어,0,A,1,0,1
4,14,17,해,0,A,1,0,1
4,15,18,오,0,A,1,0,1
4,16,26,르,0,A,1,0,1
4,17,9,도,0,A,1,0,1
4,18,69,법,0,A,1,0,1
4,19,207,궤,0,A,1,0,1
4,20,11,를,0,A,1,0,1
4,21,400,옮,0,A,1,0,1
4,22,181,겨,0,A,1,0,1
4,23,8,시,0,A,1,0,1
4,24,12,게,0,A,0,0,0
4,25,157,잖,0,A,0,0,0
4,26,76,앞,0,A,0,0,0
4,27,2,의,0,A,0,0,0
5,0,0,니,0,A,1,0,1
5,1,28,군,0,A,1,0,1
5,2,10,정,0,A,1,0,1
5,3,6,나,0,A,1,0,1
5,4,34,토,0,A,1,0,1
5,5,29,하,0,A,1,0,1
5,6,16,지,0,A,1,0,1
5,7,243,항,0,A,1,0,1
5,8,73,팔,0,A,1,0,1
5,9,77,알,0,A,1,0,1
5,10,460,현,0,A,1,0,1
5,11,32,상,0,A,1,0,1
5,12,25,는,0,A,1,0,1
5,13,3,어,0,A,1,0,1
5,14,17,해,0,A,1,0,1
5,15,18,오,0,A,1,0,1
5,16,26,르,0,A,1,0,1
5,17,208,슨,0,A,1,0,1
5,18,7,있,0,A,1,0,1
5,19,9,도,0,A,1,0,1
5,20,1,에,0,A,1,0,1
5,21,207,궤,0,A,1,0,1
5,22,11,를,0,A,1,0,1
5,23,21,다,0,A,1,0,1
5,24,12,게,0,A,0,0,0
5,25,157,잖,0,A,0,0,0
5,26,76,앞,0,A,0,0,0
5,27,2,의,0,A,0,0,0
