state,cache_slot,source,char,active,selected,match_A,match_B,match_selected
1,0,39,이,0,B,0,0,0
1,1,63,혼,0,B,0,0,0
1,2,25,는,0,B,0,0,0
1,3,8,시,0,B,0,0,0
1,4,1,에,0,B,0,0,0
1,5,16,지,0,B,0,0,0
1,6,12,게,0,B,0,0,0
1,7,17,해,0,B,0,0,0
1,8,157,잖,0,B,0,0,0
1,9,76,앞,0,B,0,0,0
1,10,2,의,0,B,0,0,0
1,11,13,여,0,B,0,0,0
1,12,53,행,0,B,0,0,0
1,13,56,명,0,B,0,0,0
1,14,0,니,0,B,0,0,0
1,15,68,결,0,B,0,0,0
1,16,10,정,0,B,0,0,0
1,17,28,군,0,B,0,0,0
1,18,6,나,0,B,0,0,0
1,19,34,토,0,B,0,0,0
1,20,194,슈,0,B,0,1,1
1,21,106,잘,0,B,0,1,1
1,22,29,하,0,B,0,1,1
1,23,52,메,0,B,0,1,1
1,24,54,동,0,B,0,0,0
1,25,4,그,0,B,0,0,0
1,26,266,료,0,B,0,0,0
1,27,23,전,0,B,0,0,0
2,0,3,어,0,A,1,0,1
2,1,54,동,0,A,1,0,1
2,2,99,쪽,0,A,1,0,1
2,3,137,온,0,A,1,0,1
2,4,1,에,0,A,1,0,1
2,5,16,지,0,A,1,0,1
2,6,12,게,0,A,1,0,1
2,7,17,해,0,A,1,0,1
2,8,157,잖,0,A,0,0,0
2,9,76,앞,0,A,0,0,0
2,10,2,의,0,A,0,0,0
2,11,13,여,0,A,0,0,0
2,12,53,행,0,A,0,0,0
2,13,56,명,0,A,0,0,0
2,14,0,니,0,A,0,0,0
2,15,68,결,0,A,0,0,0
2,16,10,정,0,A,1,1,1
2,17,28,군,0,A,1,1,1
2,18,6,나,0,A,1,1,1
2,19,34,토,0,A,1,1,1
2,20,194,슈,0,A,0,1,0
2,21,106,잘,0,A,0,1,0
2,22,29,하,0,A,0,1,0
2,23,52,메,0,A,0,1,0
2,24,243,항,0,A,1,0,1
2,25,21,다,0,A,1,0,1
2,26,5,고,0,A,1,0,1
2,27,7,있,0,A,1,0,1
3,0,3,어,0,A,1,0,1
3,1,54,동,0,A,1,0,1
3,2,99,쪽,0,A,1,0,1
3,3,137,온,0,A,1,0,1
3,4,22,령,0,A,1,0,1
3,5,38,을,0,A,1,0,1
3,6,14,만,0,A,1,0,1
3,7,108,왔,0,A,1,0,1
3,8,16,지,0,A,1,0,1
3,9,113,떻,0,A,1,0,1
3,10,12,게,0,A,1,0,1
3,11,4,그,0,A,1,0,1
3,12,197,걸,0,A,1,0,1
3,13,39,이,0,A,1,0,1
3,14,9,도,0,A,1,0,1
3,15,33,장,0,A,1,0,1
3,16,0,니,0,A,1,0,1
3,17,159,뭐,0,A,1,0,1
3,18,189,냐,0,A,1,0,1
3,19,114,식,0,A,1,0,1
3,20,20,대,0,A,1,0,1
3,21,216,맞,0,A,1,0,1
3,22,264,볼,0,A,1,0,1
3,23,309,햣,0,A,1,0,1
3,24,17,해,0,A,1,0,1
3,25,25,는,0,A,1,0,1
3,26,28,군,0,A,1,0,1
3,27,7,있,0,A,1,0,1
