state,cache_slot,source,char,active,selected,match_A,match_B,match_selected
1,0,21,다,0,A,0,0,0
1,1,54,동,0,A,0,0,0
1,2,4,그,0,A,0,0,0
1,3,266,료,0,A,0,0,0
1,4,23,전,0,A,0,0,0
1,5,39,이,0,A,0,0,0
1,6,63,혼,0,A,0,0,0
1,7,25,는,0,A,0,0,0
1,8,8,시,0,A,0,0,0
1,9,1,에,0,A,0,0,0
1,10,16,지,0,A,0,0,0
1,11,12,게,0,A,0,0,0
1,12,17,해,0,A,0,0,0
1,13,157,잖,0,A,0,0,0
1,14,76,앞,0,A,0,0,0
1,15,2,의,0,A,0,0,0
1,16,13,여,0,A,0,0,0
1,17,53,행,0,A,0,0,0
1,18,56,명,0,A,0,0,0
1,19,0,니,0,A,0,0,0
1,20,68,결,0,A,0,0,0
1,21,10,정,0,A,0,0,0
1,22,28,군,0,A,0,0,0
1,23,6,나,0,A,0,0,0
1,24,34,토,0,A,0,0,0
1,25,194,슈,0,A,0,0,0
1,26,106,잘,0,A,0,0,0
1,27,29,하,0,A,0,0,0
