state,order,address,x,y,u,v,cache_slot,owner,char
1,528,0x801BF258,200,80,4,224,0,52,메
1,529,0x801BEF4C,200,64,4,224,0,52,메
1,530,0x801BEC40,200,48,4,224,0,52,메
1,595,0x801EFEEC,152,120,16,224,4,29,하
1,596,0x801EFE1C,110,120,4,224,2,11,를
2,635,0x801BFB00,130,180,28,224,8,21,다
2,636,0x801BFACC,118,180,16,224,6,7,있
2,637,0x801BF828,166,166,40,224,14,4,그
2,638,0x801BF78C,136,166,40,224,14,4,그
2,639,0x801BF6BC,94,166,76,224,25,105,젠
3,631,0x801BFAE0,256,166,28,224,8,21,다
3,632,0x801BFA44,226,166,4,224,1,1,에
3,633,0x801BF90C,160,166,4,224,1,1,에
3,634,0x801BF76C,76,166,76,224,27,10,정
3,635,0x801BF704,58,166,4,224,2,2,의
