state,cache_slot,source,char,active,selected,match_A,match_B,match_selected
1,0,52,메,1,A,0,0,0
1,1,145,카,1,A,0,0,0
1,2,11,를,1,A,0,0,0
1,3,24,인,1,A,0,0,0
1,4,29,하,1,A,0,0,0
1,5,5,고,1,A,0,0,0
1,6,7,있,1,A,0,0,0
1,7,0,니,1,A,0,0,0
1,8,21,다,1,A,0,0,0
2,0,52,메,1,A,0,0,0
2,1,145,카,1,A,0,0,0
2,2,11,를,1,A,0,0,0
2,3,24,인,1,A,0,0,0
2,4,29,하,1,A,0,0,0
2,5,5,고,1,A,0,0,0
2,6,7,있,1,A,0,0,0
2,7,0,니,1,A,0,0,0
2,8,21,다,1,A,0,0,0
2,9,26,르,1,A,0,0,0
2,10,77,알,1,A,0,0,0
2,11,460,현,1,A,0,0,0
2,12,20,대,1,A,0,0,0
2,13,37,마,1,A,0,0,0
2,14,4,그,1,A,0,0,0
2,15,6,나,1,A,0,0,0
2,16,39,이,1,A,0,0,0
2,17,41,성,1,A,0,0,0
2,18,166,감,1,A,0,0,0
2,19,8,시,1,A,0,0,0
2,20,73,팔,1,A,0,0,0
2,21,83,렌,1,A,0,0,0
2,22,23,전,1,A,0,0,0
2,23,169,망,1,A,0,0,0
2,24,16,지,1,A,0,0,0
2,25,105,젠,1,A,0,0,0
3,0,190,누,1,A,0,0,0
3,1,1,에,1,A,0,0,0
3,2,2,의,1,A,0,0,0
3,3,24,인,1,A,0,0,0
3,4,29,하,1,A,0,0,0
3,5,5,고,1,A,0,0,0
3,6,7,있,1,A,0,0,0
3,7,0,니,1,A,0,0,0
3,8,21,다,1,A,0,0,0
3,9,26,르,1,A,0,0,0
3,10,77,알,1,A,0,0,0
3,11,460,현,1,A,0,0,0
3,12,20,대,1,A,0,0,0
3,13,37,마,1,A,0,0,0
3,14,4,그,1,A,0,0,0
3,15,6,나,1,A,0,0,0
3,16,39,이,1,A,0,0,0
3,17,41,성,1,A,0,0,0
3,18,166,감,1,A,0,0,0
3,19,8,시,1,A,0,0,0
3,20,73,팔,1,A,0,0,0
3,21,83,렌,1,A,0,0,0
3,22,23,전,1,A,0,0,0
3,23,169,망,1,A,0,0,0
3,24,16,지,1,A,0,0,0
3,25,105,젠,1,A,0,0,0
3,26,38,을,1,A,0,0,0
3,27,10,정,1,A,0,0,0
4,0,190,누,0,B,0,0,0
4,1,1,에,0,B,0,0,0
4,2,2,의,0,B,0,0,0
4,3,42,용,0,B,0,0,0
4,4,417,큭,0,B,0,0,0
4,5,56,명,0,B,0,0,0
4,6,52,메,0,B,0,0,0
4,7,243,항,0,B,0,0,0
4,8,15,핀,0,B,0,0,0
4,9,314,깐,0,B,0,0,0
4,10,108,왔,0,B,0,0,0
4,11,159,뭐,0,B,0,0,0
4,12,89,흥,0,B,0,0,0
4,13,157,잖,0,B,0,0,0
4,14,4,그,0,B,0,0,0
4,15,6,나,0,B,0,0,0
4,16,39,이,0,B,0,0,0
4,17,41,성,0,B,0,0,0
4,18,166,감,0,B,0,0,0
4,19,8,시,0,B,0,0,0
4,20,73,팔,0,B,0,0,0
4,21,83,렌,0,B,0,0,0
4,22,23,전,0,B,0,0,0
4,23,169,망,0,B,0,0,0
4,24,16,지,0,B,0,0,0
4,25,105,젠,0,B,0,0,0
4,26,38,을,0,B,0,0,0
4,27,10,정,0,B,0,0,0
5,0,190,누,0,A,0,0,0
5,1,1,에,0,A,0,0,0
5,2,2,의,0,A,0,0,0
5,3,42,용,0,A,0,0,0
5,4,417,큭,0,A,0,0,0
5,5,56,명,0,A,0,0,0
5,6,52,메,0,A,0,0,0
5,7,243,항,0,A,0,0,0
5,8,15,핀,0,A,0,0,0
5,9,314,깐,0,A,0,0,0
5,10,108,왔,0,A,0,0,0
5,11,159,뭐,0,A,0,0,0
5,12,89,흥,0,A,0,0,0
5,13,157,잖,0,A,0,0,0
5,14,55,언,0,A,0,0,0
5,15,77,알,0,A,0,0,0
5,16,460,현,0,A,0,0,0
5,17,53,행,0,A,0,0,0
5,18,129,선,0,A,0,0,0
5,19,32,상,0,A,0,0,0
5,20,25,는,0,A,0,0,0
5,21,3,어,0,A,0,0,0
5,22,23,전,0,A,0,0,0
5,23,169,망,0,A,0,0,0
5,24,16,지,0,A,0,0,0
5,25,105,젠,0,A,0,0,0
5,26,38,을,0,A,0,0,0
5,27,10,정,0,A,0,0,0
6,0,190,누,0,A,0,0,0
6,1,1,에,0,A,0,0,0
6,2,2,의,0,A,0,0,0
6,3,42,용,0,A,0,0,0
6,4,417,큭,0,A,0,0,0
6,5,56,명,0,A,0,0,0
6,6,52,메,0,A,0,0,0
6,7,243,항,0,A,0,0,0
6,8,15,핀,0,A,0,0,0
6,9,314,깐,0,A,0,0,0
6,10,108,왔,0,A,0,0,0
6,11,159,뭐,0,A,0,0,0
6,12,89,흥,0,A,0,0,0
6,13,157,잖,0,A,0,0,0
6,14,55,언,0,A,0,0,0
6,15,77,알,0,A,0,0,0
6,16,460,현,0,A,0,0,0
6,17,53,행,0,A,0,0,0
6,18,129,선,0,A,0,0,0
6,19,32,상,0,A,0,0,0
6,20,25,는,0,A,0,0,0
6,21,3,어,0,A,0,0,0
6,22,6,나,0,A,0,0,0
6,23,9,도,0,A,0,0,0
6,24,110,약,0,A,0,0,0
6,25,17,해,0,A,0,0,0
6,26,39,이,0,A,0,0,0
6,27,10,정,0,A,0,0,0
