state,order,address,x,y,u,v,cache_slot,owner,char
1,737,0x801BEBC4,126,30,64,224,23,32,상
1,738,0x801BEB28,96,30,4,224,2,2,의
1,739,0x801BEA58,54,30,4,224,2,2,의
1,740,0x801BEA24,42,30,52,224,16,65,투
1,741,0x801BE9F0,30,30,40,224,15,23,전
3,632,0x801BFA78,106,180,40,224,15,227,릴
3,633,0x801BF9DC,250,166,52,224,18,6,나
3,634,0x801BF9A8,238,166,40,224,14,235,떠
3,635,0x801BF940,220,166,76,224,24,25,는
3,636,0x801BF8D8,196,166,52,224,18,6,나
3,637,0x801BF7A0,136,166,40,224,13,170,살
3,638,0x801BF738,118,166,40,224,12,12,게
3,639,0x801BF704,106,166,28,224,11,128,렇
3,640,0x801BF6D0,94,166,52,224,16,39,이
4,516,0x801BEE9C,166,50,40,224,13,21,다
4,517,0x801BEE00,136,50,76,224,25,38,을
4,518,0x801BED64,106,50,52,224,17,25,는
4,519,0x801BED30,94,50,64,224,20,16,지
4,520,0x801BECFC,256,36,76,224,26,156,잡
4,521,0x801BEC94,238,36,76,224,25,38,을
4,522,0x801BEB5C,172,36,4,224,2,7,있
4,523,0x801BEAF4,154,36,40,224,14,39,이
4,524,0x801BEA58,124,36,52,224,16,2,의
4,525,0x801BEA24,112,36,40,224,15,122,배
4,526,0x801BE9BC,94,36,40,224,14,39,이
5,689,0x801BF120,124,64,40,224,14,39,이
5,690,0x801BF084,94,64,4,224,3,0,니
5,691,0x801BEF4C,208,50,28,224,8,40,로
5,692,0x801BEEE4,184,50,16,224,7,76,앞
5,693,0x801BEC74,232,36,4,224,2,7,있
5,694,0x801BEC0C,214,36,4,224,1,5,고
5,695,0x801BEBA4,190,36,40,224,13,21,다
5,696,0x801BEAD4,148,36,76,224,24,3,어
5,697,0x801BEAA0,136,36,76,224,27,108,왔
5,698,0x801BEA38,118,36,4,224,0,6,나
5,699,0x801BE9D0,94,36,76,224,27,108,왔
