state,cache_slot,source,char,active,selected,match_A,match_B,match_selected
1,0,148,첩,0,A,1,0,1
1,1,41,성,0,A,1,0,1
1,2,2,의,1,A,1,0,1
1,3,8,시,0,A,1,0,1
1,4,111,루,0,A,1,0,1
1,5,110,약,0,A,1,0,1
1,6,96,코,0,A,1,0,1
1,7,70,킬,0,A,1,0,1
1,8,38,을,0,A,1,0,1
1,9,129,선,0,A,1,0,1
1,10,306,택,0,A,1,0,1
1,11,29,하,0,A,1,0,1
1,12,36,세,0,A,1,0,1
1,13,68,결,0,A,1,0,1
1,14,10,정,0,A,1,0,1
1,15,23,전,1,A,1,0,1
1,16,65,투,1,A,1,0,1
1,17,28,군,0,A,1,0,1
1,18,92,프,0,A,1,0,1
1,19,198,체,0,A,1,0,1
1,20,49,력,0,A,1,0,1
1,21,144,레,0,A,1,0,1
1,22,247,벨,0,A,1,0,1
1,23,32,상,1,A,1,0,1
1,24,97,최,0,A,1,0,1
1,25,20,대,0,A,1,0,1
1,26,37,마,0,A,1,0,1
1,27,123,민,0,A,1,0,1
2,0,141,히,0,A,1,0,1
2,1,0,니,0,A,1,0,1
2,2,21,다,0,A,1,0,1
2,3,160,울,0,A,1,0,1
2,4,5,고,0,A,1,0,1
2,5,11,를,0,A,1,0,1
2,6,73,팔,0,A,1,0,1
2,7,83,렌,0,A,1,0,1
2,8,41,성,0,A,1,0,1
2,9,145,카,0,A,1,0,1
2,10,37,마,0,A,1,0,1
2,11,3,어,0,A,1,0,1
2,12,336,딘,0,A,1,0,1
2,13,32,상,0,A,1,0,1
2,14,39,이,0,A,1,0,1
2,15,17,해,0,A,1,0,1
2,16,236,집,0,A,1,0,1
2,17,12,게,0,A,1,0,1
2,18,2,의,0,A,1,0,1
2,19,52,메,0,A,1,0,1
2,20,8,시,0,A,1,0,1
2,21,9,도,0,A,1,0,1
2,22,290,착,0,A,1,0,1
2,23,29,하,0,A,1,0,1
2,24,34,토,0,A,1,0,1
2,25,212,빌,0,A,1,0,1
2,26,38,을,0,A,1,0,1
2,27,349,철,0,A,1,0,1
3,0,8,시,0,A,1,0,1
3,1,18,오,0,A,1,0,1
3,2,73,팔,0,A,1,0,1
3,3,83,렌,0,A,1,0,1
3,4,52,메,0,A,1,0,1
3,5,243,항,0,A,1,0,1
3,6,169,망,0,A,1,0,1
3,7,20,대,0,A,1,0,1
3,8,184,편,0,A,1,0,1
3,9,141,히,0,A,1,0,1
3,10,36,세,0,A,1,0,1
3,11,128,렇,1,A,1,0,1
3,12,12,게,1,A,1,0,1
3,13,170,살,1,A,1,0,1
3,14,235,떠,1,A,1,0,1
3,15,227,릴,1,A,1,0,1
3,16,39,이,1,A,1,0,1
3,17,9,도,0,A,1,0,1
3,18,6,나,1,A,1,0,1
3,19,0,니,0,A,1,0,1
3,20,41,성,0,A,1,0,1
3,21,23,전,0,A,1,0,1
3,22,17,해,0,A,1,0,1
3,23,16,지,0,A,1,0,1
3,24,25,는,1,A,1,0,1
3,25,55,언,0,A,1,0,1
3,26,105,젠,0,A,1,0,1
3,27,166,감,0,A,1,0,1
4,0,24,인,0,A,1,0,1
4,1,26,르,0,A,1,0,1
4,2,7,있,1,A,1,0,1
4,3,30,물,0,A,1,0,1
4,4,8,시,0,A,1,0,1
4,5,18,오,0,A,1,0,1
4,6,51,님,0,A,1,0,1
4,7,76,앞,0,A,1,0,1
4,8,40,로,0,A,1,0,1
4,9,106,잘,0,A,1,0,1
4,10,276,립,0,A,1,0,1
4,11,183,타,0,A,1,0,1
4,12,314,깐,0,A,1,0,1
4,13,21,다,1,A,1,0,1
4,14,39,이,1,A,1,0,1
4,15,122,배,1,A,1,0,1
4,16,2,의,1,A,1,0,1
4,17,25,는,1,A,1,0,1
4,18,56,명,0,A,1,0,1
4,19,29,하,0,A,1,0,1
4,20,16,지,1,A,1,0,1
4,21,14,만,0,A,1,0,1
4,22,142,희,0,A,1,0,1
4,23,11,를,0,A,1,0,1
4,24,3,어,0,A,1,0,1
4,25,38,을,1,A,1,0,1
4,26,156,잡,1,A,1,0,1
4,27,176,받,0,A,1,0,1
5,0,6,나,1,A,1,0,1
5,1,5,고,1,A,1,0,1
5,2,7,있,1,A,1,0,1
5,3,0,니,1,A,1,0,1
5,4,8,시,0,A,1,0,1
5,5,18,오,0,A,1,0,1
5,6,51,님,0,A,1,0,1
5,7,76,앞,1,A,1,0,1
5,8,40,로,1,A,1,0,1
5,9,106,잘,0,A,1,0,1
5,10,276,립,0,A,1,0,1
5,11,183,타,0,A,1,0,1
5,12,314,깐,0,A,1,0,1
5,13,21,다,1,A,1,0,1
5,14,39,이,1,A,1,0,1
5,15,122,배,0,A,1,0,1
5,16,2,의,0,A,1,0,1
5,17,25,는,0,A,1,0,1
5,18,56,명,0,A,1,0,1
5,19,29,하,0,A,1,0,1
5,20,16,지,0,A,1,0,1
5,21,14,만,0,A,1,0,1
5,22,142,희,0,A,1,0,1
5,23,11,를,0,A,1,0,1
5,24,3,어,1,A,1,0,1
5,25,38,을,0,A,1,0,1
5,26,156,잡,0,A,1,0,1
5,27,108,왔,1,A,1,0,1
6,0,23,전,0,A,0,0,0
6,1,39,이,0,A,0,0,0
6,2,63,혼,0,A,0,0,0
6,3,25,는,0,A,0,0,0
6,4,8,시,0,A,0,0,0
6,5,1,에,0,A,0,0,0
6,6,16,지,0,A,0,0,0
6,7,12,게,0,A,0,0,0
6,8,17,해,0,A,0,0,0
6,9,157,잖,0,A,0,0,0
6,10,76,앞,0,A,0,0,0
6,11,2,의,0,A,0,0,0
6,12,13,여,0,A,0,0,0
6,13,53,행,0,A,0,0,0
6,14,56,명,0,A,0,0,0
6,15,0,니,0,A,0,0,0
6,16,68,결,0,A,0,0,0
6,17,10,정,0,A,0,0,0
6,18,28,군,0,A,0,0,0
6,19,6,나,0,A,0,0,0
6,20,34,토,0,A,0,0,0
6,21,194,슈,0,A,0,0,0
6,22,106,잘,0,A,0,0,0
6,23,29,하,0,A,0,0,0
6,24,52,메,0,A,1,0,1
6,25,54,동,0,A,1,0,1
6,26,4,그,0,A,1,0,1
6,27,266,료,0,A,1,0,1
7,0,23,전,0,A,0,0,0
7,1,39,이,0,A,0,0,0
7,2,63,혼,0,A,0,0,0
7,3,25,는,0,A,0,0,0
7,4,8,시,0,A,0,0,0
7,5,1,에,0,A,0,0,0
7,6,16,지,0,A,0,0,0
7,7,12,게,0,A,0,0,0
7,8,17,해,0,A,0,0,0
7,9,157,잖,0,A,0,0,0
7,10,76,앞,0,A,0,0,0
7,11,2,의,0,A,0,0,0
7,12,13,여,0,A,0,0,0
7,13,53,행,0,A,0,0,0
7,14,56,명,0,A,0,0,0
7,15,0,니,0,A,0,0,0
7,16,68,결,0,A,0,0,0
7,17,10,정,0,A,0,0,0
7,18,28,군,0,A,0,0,0
7,19,6,나,0,A,0,0,0
7,20,34,토,1,A,1,0,1
7,21,194,슈,0,A,1,0,1
7,22,106,잘,0,A,1,0,1
7,23,29,하,0,A,1,0,1
7,24,52,메,0,A,1,0,1
7,25,54,동,0,A,1,0,1
7,26,4,그,0,A,1,0,1
7,27,266,료,0,A,1,0,1
8,0,243,항,0,A,1,0,1
8,1,19,수,0,A,1,0,1
8,2,9,도,0,A,1,0,1
8,3,133,본,0,A,1,0,1
8,4,145,카,1,A,1,0,1
8,5,199,숲,1,A,1,0,1
8,6,111,루,0,A,1,0,1
8,7,16,지,0,A,1,0,1
8,8,245,케,0,A,1,0,1
8,9,157,잖,0,A,1,0,1
8,10,76,앞,0,A,1,0,1
8,11,2,의,0,A,1,0,1
8,12,13,여,0,A,0,0,0
