state,order,address,x,y,u,v,cache_slot,owner,char
1,724,0x801BFAAC,250,166,64,224,22,36,세
1,725,0x801BF9DC,202,166,64,224,21,27,경
1,726,0x801BF974,184,166,28,224,10,2,의
1,727,0x801BF940,172,166,64,224,20,38,을
1,728,0x801BF90C,160,166,52,224,19,37,마
1,729,0x801BF8A4,142,166,16,224,6,25,는
1,730,0x801BF83C,118,166,52,224,19,37,마
2,724,0x801C00F8,118,194,4,224,2,39,이
2,725,0x801BFFC0,58,194,4,224,1,12,게
2,726,0x801BFF8C,46,194,4,224,0,29,하
2,727,0x801BFF58,262,180,16,224,4,186,못
2,728,0x801BFEF0,244,180,16,224,6,16,지
2,729,0x801BFE88,220,180,76,224,27,6,나
2,730,0x801BFDEC,190,180,76,224,26,25,는
2,731,0x801BFDB8,178,180,76,224,26,25,는
2,732,0x801BFCE8,136,180,76,224,25,288,허
2,733,0x801BFC80,118,180,64,224,20,2,의
2,734,0x801BFC4C,106,180,4,224,2,39,이
2,735,0x801BFAE0,262,166,64,224,22,38,을
2,736,0x801BFAAC,250,166,76,224,24,123,민
2,737,0x801BFA10,220,166,64,224,23,17,해
2,738,0x801BF974,190,166,64,224,22,38,을
2,739,0x801BF940,178,166,64,224,21,23,전
2,740,0x801BF8A4,148,166,64,224,20,2,의
2,741,0x801BF83C,124,166,40,224,12,8,시
2,742,0x801BF808,112,166,28,224,11,83,렌
2,743,0x801BF7D4,100,166,28,224,10,73,팔
3,704,0x801BEBF8,208,36,28,224,9,16,지
3,705,0x801BEBC4,196,36,4,224,2,39,이
3,706,0x801BEB90,184,36,76,224,27,310,셈
3,707,0x801BEAC0,148,36,4,224,1,12,게
3,708,0x801BEA8C,136,36,76,224,26,113,떻
3,709,0x801BEA58,124,36,28,224,8,3,어
3,710,0x801BE9F0,106,36,76,224,25,11,를
3,711,0x801BE9BC,94,36,76,224,27,310,셈
4,691,0x801C0194,160,194,64,224,20,16,지
4,692,0x801C0160,148,194,52,224,19,29,하
4,693,0x801C00C4,118,194,40,224,13,9,도
4,694,0x801C0090,106,194,52,224,18,267,듣
4,695,0x801C0028,88,194,4,224,3,11,를
4,696,0x801BFF8C,52,194,52,224,17,39,이
4,697,0x801BFE54,220,180,16,224,7,20,대
4,698,0x801BFDB8,190,180,16,224,6,21,다
4,699,0x801BFD84,178,180,52,224,17,39,이
4,700,0x801BFC4C,112,180,52,224,16,149,찮
4,701,0x801BFC18,100,180,40,224,15,184,편
4,702,0x801BFBB0,82,180,40,224,14,25,는
4,703,0x801BFA78,244,166,40,224,13,9,도
4,704,0x801BFA44,232,166,40,224,12,12,게
4,705,0x801BFA10,220,166,28,224,11,82,롭
4,706,0x801BF9DC,208,166,28,224,10,384,교
4,707,0x801BF940,178,166,76,224,25,14,만
4,708,0x801BF90C,166,166,40,224,12,12,게
4,709,0x801BF8D8,154,166,40,224,14,25,는
4,710,0x801BF83C,124,166,16,224,6,21,다
4,711,0x801BF808,112,166,28,224,9,143,했
4,712,0x801BF7D4,100,166,52,224,16,149,찮
4,713,0x801BF7A0,88,166,28,224,8,19,수
4,714,0x801BF6D0,46,166,16,224,7,20,대
