state,cache_slot,source,char,active,selected,match_A,match_B,match_selected
1,0,329,뭘,0,A,1,0,1
1,1,56,명,0,A,1,0,1
1,2,330,죄,0,A,1,0,1
1,3,168,생,0,A,1,0,1
1,4,175,각,0,A,1,0,1
1,5,29,하,0,A,1,0,1
1,6,25,는,0,A,1,0,1
1,7,24,인,0,A,1,0,1
1,8,5,고,0,A,1,0,1
1,9,222,빛,0,A,1,0,1
1,10,2,의,0,A,1,0,1
1,11,110,약,0,A,1,0,1
1,12,139,속,0,A,1,0,1
1,13,21,다,0,A,1,0,1
1,14,143,했,0,A,1,0,1
1,15,4,그,0,A,1,0,1
1,16,47,런,0,A,1,0,1
1,17,48,방,0,A,1,0,1
1,18,61,금,0,A,1,0,1
1,19,37,마,0,A,1,0,1
1,20,38,을,0,A,1,0,1
1,21,27,경,0,A,1,0,1
1,22,36,세,0,A,1,0,1
1,23,397,랜,0,A,1,0,1
1,24,14,만,0,A,1,0,1
1,25,203,같,0,A,1,0,1
1,26,13,여,0,A,1,0,1
1,27,9,도,0,A,1,0,1
2,0,29,하,0,A,1,0,1
2,1,12,게,0,A,1,0,1
2,2,39,이,0,A,1,0,1
2,3,208,슨,0,A,1,0,1
2,4,186,못,0,A,1,0,1
2,5,26,르,0,A,1,0,1
2,6,16,지,0,A,1,0,1
2,7,14,만,0,A,1,0,1
2,8,20,대,0,A,1,0,1
2,9,229,린,0,A,1,0,1
2,10,73,팔,0,A,1,0,1
2,11,83,렌,0,A,1,0,1
2,12,8,시,0,A,1,0,1
2,13,321,재,0,A,1,0,1
2,14,10,정,0,A,1,0,1
2,15,322,획,0,A,1,0,1
2,16,1,에,0,A,1,0,1
2,17,11,를,0,A,1,0,1
2,18,21,다,0,A,1,0,1
2,19,209,더,0,A,1,0,1
2,20,2,의,0,A,1,0,1
2,21,23,전,0,A,1,0,1
2,22,38,을,0,A,1,0,1
2,23,17,해,0,A,1,0,1
2,24,123,민,0,A,1,0,1
2,25,288,허,0,A,1,0,1
2,26,25,는,0,A,1,0,1
2,27,6,나,0,A,1,0,1
3,0,29,하,0,A,1,0,1
3,1,12,게,0,A,1,0,1
3,2,39,이,0,A,1,0,1
3,3,226,몰,0,A,1,0,1
3,4,174,봐,0,A,1,0,1
3,5,19,수,0,A,1,0,1
3,6,157,잖,0,A,1,0,1
3,7,5,고,0,A,1,0,1
3,8,3,어,0,A,1,0,1
3,9,16,지,0,A,1,0,1
3,10,73,팔,0,A,1,0,1
3,11,83,렌,0,A,1,0,1
3,12,8,시,0,A,1,0,1
3,13,166,감,0,A,1,0,1
3,14,97,최,0,A,1,0,1
3,15,27,경,0,A,1,0,1
3,16,9,도,0,A,1,0,1
3,17,130,참,0,A,1,0,1
3,18,28,군,0,A,1,0,1
3,19,42,용,0,A,1,0,1
3,20,141,히,0,A,1,0,1
3,21,7,있,0,A,1,0,1
3,22,151,줘,0,A,1,0,1
3,23,10,정,0,A,1,0,1
3,24,251,됐,0,A,1,0,1
3,25,11,를,0,A,1,0,1
3,26,113,떻,0,A,1,0,1
3,27,310,셈,0,A,1,0,1
4,0,50,미,0,A,1,0,1
4,1,26,르,0,A,1,0,1
4,2,2,의,0,A,1,0,1
4,3,11,를,0,A,1,0,1
4,4,108,왔,0,A,1,0,1
4,5,0,니,0,A,1,0,1
4,6,21,다,0,A,1,0,1
4,7,20,대,0,A,1,0,1
4,8,19,수,0,A,1,0,1
4,9,143,했,0,A,1,0,1
4,10,384,교,0,A,1,0,1
4,11,82,롭,0,A,1,0,1
4,12,12,게,0,A,1,0,1
4,13,9,도,0,A,1,0,1
4,14,25,는,0,A,1,0,1
4,15,184,편,0,A,1,0,1
4,16,149,찮,0,A,1,0,1
4,17,39,이,0,A,1,0,1
4,18,267,듣,0,A,1,0,1
4,19,29,하,0,A,1,0,1
4,20,16,지,0,A,1,0,1
4,21,235,떠,0,A,1,0,1
4,22,7,있,0,A,1,0,1
4,23,217,돼,0,A,1,0,1
4,24,4,그,0,A,1,0,1
4,25,14,만,0,A,1,0,1
4,26,77,알,0,A,1,0,1
4,27,460,현,0,A,1,0,1
