char,old_index,new_index,new_row,new_col,new_plane,old_code,new_code,replaced
이,534,1179,14,0,3,DE3C,E0C3,1438
로,586,1140,13,12,0,DE70,E09C,457
성,664,1083,12,18,3,DEBE,E063,87
용,666,1174,13,20,2,DEC0,E0BE,84
저,784,1175,13,20,3,DF37,E0BF,73
매,785,1138,13,11,2,DF38,E09A,24
막,786,1052,12,11,0,DF39,E044,28
림,787,1053,12,11,1,DF3A,E045,14
런,840,1054,12,11,2,DF6F,E046,70
방,841,1124,13,8,0,DF70,E08C,71
력,842,1125,13,8,1,DF71,E08D,70
미,843,1126,13,8,2,DF72,E08E,68
님,844,1127,13,8,3,DF73,E08F,69
메,845,1076,12,17,0,DF74,E05C,70
행,847,1077,12,17,1,DF76,E05D,68
동,848,1078,12,17,2,DF77,E05E,68
언,849,1079,12,17,3,DF78,E05F,68
명,850,1152,13,15,0,DF79,E0A8,67
단,851,1155,13,15,3,DF7A,E0AB,65
문,852,1084,12,19,0,DF7B,E064,28
머,853,1085,12,19,1,DF7C,E065,46
뀌,854,1086,12,19,2,DF7D,E066,4
금,855,1087,12,19,3,DF7E,E067,53
규,856,1072,12,16,0,DF7F,E058,1
혼,858,1073,12,16,1,DF81,E059,12
피,859,1075,12,16,3,DF82,E05B,62
투,860,1184,14,2,0,DF83,E0C8,64
잇,861,1185,14,2,1,DF84,E0C9,1
괜,862,1186,14,2,2,DF85,E0CA,62
결,863,1187,14,2,3,DF86,E0CB,54
봉,876,1041,12,8,1,DF93,E039,26
롭,877,1068,12,15,0,DF94,E054,6
렌,878,1069,12,15,1,DF95,E055,27
둔,879,1071,12,15,3,DF96,E057,30
번,880,1151,13,14,3,DF97,E0A7,62
날,881,1121,13,7,1,DF98,E089,45
꽃,882,1158,13,16,2,DF99,E0AE,34
껐,883,1159,13,16,3,DF9A,E0AF,3
프,888,1033,12,6,1,DF9F,E031,32
파,889,1035,12,6,3,DFA0,E033,38
텅,890,1320,15,15,0,DFA1,E151,2
털,891,1321,15,15,1,DFA2,E152,2
코,892,1322,15,15,2,DFA3,E153,59
최,893,1323,15,15,3,DFA4,E154,14
쭐,894,1481,17,13,1,DFA5,E1F2,1
쪽,895,1482,17,13,2,DFA6,E1F3,43
질,896,1483,17,13,3,DFA7,E1F4,28
줬,897,1196,14,5,0,DFA8,E0D4,2
중,898,1199,14,5,3,DFA9,E0D7,40
줄,899,1216,14,10,0,DFAA,E0E8,36
좀,900,1217,14,10,1,DFAB,E0E9,9
젠,901,1218,14,10,2,DFAC,E0EA,9
잘,902,1219,14,10,3,DFAD,E0EB,51
워,903,1308,15,12,0,DFAE,E145,44
왔,904,1309,15,12,1,DFAF,E146,35
엘,905,1310,15,12,2,DFB0,E147,8
약,906,1311,15,12,3,DFB1,E148,54
루,907,1144,13,13,0,DFB2,E0A0,58
써,908,1147,13,13,3,DFB3,E0A3,24
떻,909,1164,13,18,0,DFB4,E0B4,56
식,910,1165,13,18,1,DFB5,E0B5,27
슬,911,1166,13,18,2,DFB6,E0B6,18
산,912,1201,14,6,1,DFB7,E0D9,55
송,913,1202,14,6,2,DFB8,E0DA,13
섞,914,1203,14,6,3,DFB9,E0DB,1
벌,915,1226,14,12,2,DFBA,E0F2,20
렇,925,1227,14,12,3,DFC4,E0F3,51
선,926,1236,14,15,0,DFC5,E0FC,50
참,927,1237,14,15,1,DFC6,E0FD,52
노,932,1238,14,15,2,DFCB,E0FE,49
험,933,1133,13,10,1,DFCC,E095,50
본,934,1135,13,10,3,DFCD,E097,49
키,935,1007,11,20,3,DFCE,E017,27
늘,944,1049,12,10,1,DFD7,E041,40
년,945,1050,12,10,2,DFD8,E042,29
온,946,1051,12,10,3,DFD9,E043,47
했,960,1210,14,8,2,DFE7,E0E2,93
레,961,1211,14,8,3,DFE8,E0E3,45
카,962,1056,12,12,0,DFE9,E048,65
친,963,1058,12,12,2,DFEA,E04A,6
작,964,1059,12,12,3,DFEB,E04B,45
첩,965,1117,13,6,1,DFEC,E085,9
찮,966,1119,13,6,3,DFED,E087,63
쯤,967,1129,13,9,1,DFEE,E091,5
응,976,1130,13,9,2,DFF7,E092,15
뭐,977,1131,13,9,3,DFF8,E093,46
울,978,959,11,8,3,DFF9,DFE6,34
찾,979,1161,13,17,1,DFFA,E0B1,49
역,980,1163,13,17,3,DFFB,E0B3,34
엔,981,1392,16,12,0,DFFC,E199,10
템,982,1393,16,12,1,DFFD,E19A,46
애,983,1394,16,12,2,DFFE,E19B,16
감,985,1395,16,12,3,E001,E19C,39
쓰,986,1189,14,3,1,E002,E0CD,35
생,988,1190,14,3,2,E004,E0CE,65
망,989,827,9,17,3,E005,DF62,43
살,990,1045,12,9,1,E006,E03D,30
빼,993,1046,12,9,2,E009,E03E,16
불,994,1066,12,14,2,E00A,E052,91
족,1008,1204,14,7,0,E018,E0DC,38
타,1010,1205,14,7,1,E01A,E0DD,36
편,1011,1206,14,7,2,E01B,E0DE,38
씩,1017,1207,14,7,3,E021,E0DF,5
못,1018,1233,14,14,1,E022,E0F9,39
품,1019,1235,14,14,3,E023,E0FB,36
남,1028,1380,16,9,0,E02C,E18D,62
냐,1030,1381,16,9,1,E02E,E18E,50
누,1036,1382,16,9,2,E034,E18F,49
열,1037,1383,16,9,3,E035,E190,35
형,1038,1060,12,13,0,E036,E04C,37
준,1092,1062,12,13,2,E06C,E04E,41
슈,1094,1063,12,13,3,E06E,E04F,35
표,1095,1228,14,13,0,E06F,E0F4,35
석,1097,1229,14,13,1,E071,E0F5,35
걸,1098,1230,14,13,2,E072,E0F6,34
체,1099,1231,14,13,3,E073,E0F7,34
숲,1100,1212,14,9,0,E074,E0E4,33
느,1101,1213,14,9,1,E075,E0E5,33
톤,1102,1214,14,9,2,E076,E0E6,32
활,1112,1215,14,9,3,E080,E0E7,20
같,1113,1220,14,11,0,E081,E0EC,48
트,1114,1221,14,11,1,E082,E0ED,48
폐,1115,1400,16,14,0,E083,E1A1,3
