char,source_id,old_index,new_index,new_row,new_col,new_plane,old_code,new_code,replaced
적,154,971,1401,16,14,1,DFF2,E1A2,105
받,176,1000,1402,16,14,2,E010,E1A3,86
알,77,872,1403,16,14,3,DF8F,E1A4,79
법,69,864,1417,16,18,1,DF87,E1B2,65
희,142,958,1418,16,18,2,DFE5,E1B3,57
혜,120,916,1419,16,18,3,DFBB,E1B4,53
히,141,957,1300,15,10,0,DFE4,E13D,48
속,139,953,1301,15,10,1,DFE0,E13E,46
폭,138,952,1302,15,10,2,DFDF,E13F,45
환,179,1004,1303,15,10,3,E014,E140,45
난,173,996,1384,16,10,0,E00C,E191,43
팔,73,868,1385,16,10,1,DF8B,E192,42
각,175,998,1386,16,10,2,E00E,E193,42
류,177,1001,1387,16,10,3,E011,E194,42
괴,180,1005,1404,16,15,0,E015,E1A5,39
째,75,870,1405,16,15,1,DF8D,E1A6,36
더,209,1432,1406,16,15,2,E1C1,E1A7,33
얻,206,1429,1407,16,15,3,E1BE,E1A8,32
궤,207,1430,676,8,1,0,E1BF,DECA,31
슨,208,1431,678,8,1,2,E1C0,DECC,31
앗,214,1437,679,8,1,3,E1C6,DECD,30
갈,211,1434,1272,15,3,0,E1C3,E121,29
빌,212,1435,1273,15,3,1,E1C4,E122,29
겐,213,1436,1274,15,3,2,E1C5,E123,29
론,215,1438,1275,15,3,3,E1C7,E124,28
맞,216,1440,1312,15,13,0,E1C9,E149,27
개,210,1433,1313,15,13,1,E1C2,E14A,27
차,219,1443,1314,15,13,2,E1CC,E14B,26
앞,76,871,1315,15,13,3,DF8E,E14C,26
잖,157,974,1328,15,17,0,DFF5,E159,25
겨,181,1006,1329,15,17,1,E016,E15A,25
른,218,1442,1330,15,17,2,E1CB,E15B,25
맡,220,1444,1331,15,17,3,E1CD,E15C,25
임,221,1445,1340,15,20,0,E1CE,E165,25
헤,90,886,1341,15,20,1,DF9D,E166,25
빛,222,1447,1342,15,20,2,E1D0,E167,25
련,223,1448,1343,15,20,3,E1D1,E168,24
릴,227,1452,1169,13,19,1,E1D5,E0B9,23
켜,225,1450,1264,15,1,0,E1D3,E119,23
돼,217,1441,1265,15,1,1,E1CA,E11A,23
디,230,1455,1266,15,1,2,E1D8,E11B,23
몰,226,1451,1267,15,1,3,E1D4,E11C,23
함,224,1449,1756,20,19,0,E1D2,E307,23
탄,231,1457,1757,20,19,1,E1DA,E308,23
뿐,228,1453,1758,20,19,2,E1D6,E309,22
린,229,1454,1759,20,19,3,E1D7,E30A,22
절,232,1458,692,8,5,0,E1DB,DEDA,22
됐,251,1477,693,8,5,1,E1EE,DEDB,21
멸,233,1459,694,8,5,2,E1DC,DEDC,21
봐,174,997,836,9,20,0,E00D,DF6B,21
집,236,1462,837,9,20,1,E1DF,DF6C,20
욕,238,1464,838,9,20,2,E1E1,DF6D,20
술,239,1465,839,9,20,3,E1E2,DF6E,20
꾸,240,1466,1360,16,4,0,E1E3,E179,20
천,74,869,1361,16,4,1,DF8C,E17A,19
떠,235,1461,1362,16,4,2,E1DE,E17B,19
줘,151,968,1363,16,4,3,DFEF,E17C,19
능,237,1463,975,11,12,3,E1E0,DFF6,19
겁,244,1470,1296,15,9,0,E1E7,E139,19
벨,247,1473,1298,15,9,2,E1EA,E13B,19
톨,248,1474,1299,15,9,3,E1EB,E13C,19
쳐,241,1467,1304,15,11,0,E1E4,E141,19
항,243,1469,1305,15,11,1,E1E6,E142,19
별,250,1476,1306,15,11,2,E1ED,E143,18
넘,252,1478,1307,15,11,3,E1EF,E144,18
커,253,1479,1336,15,19,0,E1F0,E161,18
케,245,1471,1337,15,19,1,E1E8,E162,18
뭔,246,1472,1338,15,19,2,E1E9,E163,18
졌,153,970,1339,15,19,3,DFF1,E164,18
클,249,1475,1352,16,2,0,E1EC,E171,18
잡,156,973,1353,16,2,1,DFF4,E172,16
관,234,1460,1354,16,2,2,E1DD,E173,15
쟁,155,972,1355,16,2,3,DFF3,E174,13
플,91,887,1357,16,3,1,DF9E,E176,12
새,80,875,1358,16,3,2,DF92,E177,11
풀,72,867,1359,16,3,3,DF8A,E178,10
꺼,71,866,1424,16,20,0,DF89,E1B9,10
쓸,78,873,1425,16,20,1,DF90,E1BA,9
킬,70,865,1426,16,20,2,DF88,E1BB,7
싫,79,874,1427,16,20,3,DF91,E1BC,6
놀,140,954,1484,17,14,0,DFE1,E1F5,6
륭,178,1002,1485,17,14,1,E012,E1F6,6
흥,89,885,1486,17,14,2,DF9C,E1F7,5
셋,242,1468,1487,17,14,3,E1E5,E1F8,3
죠,152,969,1751,20,17,3,DFF0,E302,2
