index,status,char,unicode
0,pilgi_piece_recovered,다,U+B2E4
1,pilgi_legacy_piece_agreement,터,U+D130
2,pilgi_legacy_piece_agreement,이,U+C774
3,pilgi_piece_recovered,지,U+C9C0
4,blank_preserved,,
5,pilgi_piece_recovered,는,U+B294
6,pilgi_piece_recovered,니,U+B2C8
7,pilgi_legacy_nonhangul,9,U+0039
8,pilgi_legacy_piece_agreement,아,U+C544
9,pilgi_piece_recovered,들,U+B4E4
10,pilgi_legacy_nonhangul,2,U+0032
11,pilgi_legacy_piece_agreement,가,U+AC00
12,pilgi_piece_recovered,을,U+C744
13,pilgi_piece_recovered,에,U+C5D0
14,pilgi_piece_recovered,의,U+C758
15,pilgi_legacy_nonhangul,8,U+0038
16,pilgi_legacy_piece_agreement,째,U+C9F8
17,blank_preserved,,
18,blank_preserved,,
19,pilgi_piece_recovered,어,U+C5B4
20,pilgi_piece_recovered,그,U+ADF8
21,pilgi_piece_recovered,어,U+C5B4
22,pilgi_legacy_piece_agreement,드,U+B4DC
23,pilgi_legacy_piece_agreement,것,U+AC83
24,pilgi_piece_recovered,하,U+D558
25,pilgi_piece_recovered,여,U+C5EC
26,pilgi_legacy_piece_agreement,말,U+B9D0
27,pilgi_piece_recovered,고,U+ACE0
28,pilgi_legacy_piece_agreement,관,U+AD00
29,pilgi_piece_recovered,나,U+B098
30,pilgi_piece_recovered,있,U+C788
31,pilgi_legacy_piece_agreement,러,U+B7EC
32,pilgi_legacy_nonhangul,.,U+002E
33,blank_preserved,,
34,blank_preserved,,
35,pilgi_legacy_piece_agreement,기,U+AE30
36,pilgi_legacy_piece_agreement,서,U+C11C
37,pilgi_legacy_piece_agreement,은,U+C740
38,pilgi_legacy_nonhangul,3,U+0033
39,pilgi_legacy_piece_agreement,자,U+C790
40,pilgi_piece_recovered,시,U+C2DC
41,blank_preserved,,
42,pilgi_piece_recovered,해,U+D574
43,pilgi_legacy_piece_agreement,요,U+C694
44,pilgi_legacy_piece_agreement,습,U+C2B5
45,pilgi_legacy_piece_agreement,리,U+B9AC
46,blank_preserved,,
47,pilgi_legacy_piece_agreement,스,U+C2A4
48,pilgi_piece_recovered,정,U+C815
49,pilgi_legacy_piece_agreement,거,U+AC70
50,pilgi_piece_recovered,도,U+B3C4
51,pilgi_legacy_piece_agreement,사,U+C0AC
52,pilgi_piece_recovered,인,U+C778
53,pilgi_piece_recovered,를,U+B97C
54,pilgi_piece_recovered,대,U+B300
55,pilgi_piece_recovered,만,U+B9CC
56,pilgi_legacy_piece_agreement,초,U+CD08
57,pilgi_legacy_piece_agreement,면,U+BA74
58,pilgi_legacy_piece_agreement,까,U+AE4C
59,pilgi_legacy_piece_agreement,려,U+B824
60,pilgi_legacy_piece_agreement,우,U+C6B0
61,pilgi_legacy_piece_agreement,신,U+C2E0
62,pilgi_piece_recovered,해,U+D574
63,pilgi_legacy_piece_agreement,주,U+C8FC
64,pilgi_piece_recovered,게,U+AC8C
65,pilgi_legacy_piece_agreement,것,U+AC83
66,pilgi_piece_recovered,핀,U+D540
67,pilgi_legacy_piece_agreement,스,U+C2A4
68,pilgi_piece_recovered,마,U+B9C8
69,pilgi_piece_recovered,오,U+C624
70,pilgi_legacy_piece_agreement,내,U+B0B4
71,pilgi_legacy_piece_agreement,면,U+BA74
72,pilgi_legacy_piece_agreement,야,U+C57C
73,pilgi_legacy_nonhangul,1,U+0031
74,pilgi_legacy_piece_agreement,뒤,U+B4A4
75,pilgi_legacy_piece_agreement,러,U+B7EC
76,pilgi_legacy_piece_agreement,느,U+B290
77,pilgi_piece_recovered,으,U+C73C
78,pilgi_piece_recovered,전,U+C804
79,pilgi_piece_recovered,수,U+C218
80,pilgi_piece_recovered,령,U+B839
81,pilgi_piece_recovered,여,U+C5EC
82,pilgi_legacy_piece_agreement,한,U+D55C
83,pilgi_legacy_piece_agreement,겠,U+ACA0
84,pilgi_legacy_piece_agreement,모,U+BAA8
85,pilgi_piece_recovered,장,U+C7A5
86,pilgi_legacy_nonhangul,4,U+0034
87,pilgi_legacy_piece_agreement,크,U+D06C
88,pilgi_legacy_piece_agreement,이,U+C774
89,pilgi_legacy_piece_agreement,덕,U+B355
90,pilgi_legacy_piece_agreement,터,U+D130
91,pilgi_piece_recovered,마,U+B9C8
92,pilgi_legacy_piece_agreement,십,U+C2ED
93,pilgi_piece_recovered,도,U+B3C4
94,pilgi_legacy_piece_agreement,무,U+BB34
95,pilgi_legacy_piece_agreement,보,U+BCF4
96,pilgi_legacy_piece_agreement,었,U+C5C8
97,pilgi_legacy_piece_agreement,말,U+B9D0
98,pilgi_legacy_piece_agreement,려,U+B824
99,pilgi_piece_recovered,몬,U+BAAC
100,pilgi_legacy_piece_agreement,요,U+C694
101,pilgi_legacy_piece_agreement,제,U+C81C
102,pilgi_legacy_piece_agreement,버,U+BC84
103,pilgi_piece_recovered,경,U+ACBD
104,pilgi_piece_recovered,승,U+C2B9
105,pilgi_legacy_piece_agreement,왕,U+C655
106,pilgi_legacy_piece_agreement,일,U+C77C
107,pilgi_legacy_piece_agreement,부,U+BD80
108,pilgi_piece_recovered,물,U+BB3C
109,pilgi_legacy_piece_agreement,자,U+C790
110,pilgi_legacy_piece_agreement,넣,U+B123
111,pilgi_piece_recovered,르,U+B974
112,pilgi_legacy_piece_agreement,없,U+C5C6
113,pilgi_legacy_piece_agreement,돌,U+B3CC
114,pilgi_legacy_piece_agreement,되,U+B418
115,pilgi_legacy_piece_agreement,힘,U+D798
116,blank_preserved,,
117,pilgi_legacy_piece_agreement,출,U+CD9C
118,pilgi_legacy_piece_agreement,때,U+B54C
119,pilgi_legacy_piece_agreement,않,U+C54A
120,pilgi_legacy_piece_agreement,러,U+B7EC
121,pilgi_legacy_piece_agreement,회,U+D68C
122,pilgi_legacy_piece_agreement,원,U+C6D0
123,pilgi_piece_recovered,군,U+AD70
124,pilgi_piece_recovered,할,U+D560
125,pilgi_legacy_piece_agreement,네,U+B124
126,pilgi_legacy_piece_agreement,입,U+C785
127,pilgi_legacy_piece_agreement,변,U+BCC0
128,pilgi_legacy_piece_agreement,데,U+B370
129,pilgi_legacy_piece_agreement,병,U+BCD1
130,pilgi_legacy_piece_agreement,토,U+D1A0
131,pilgi_legacy_piece_agreement,초,U+CD08
132,pilgi_legacy_piece_agreement,손,U+C190
133,pilgi_legacy_piece_agreement,운,U+C6B4
134,pilgi_legacy_piece_agreement,구,U+AD6C
135,pilgi_legacy_piece_agreement,와,U+C640
136,pilgi_legacy_piece_agreement,너,U+B108
137,pilgi_legacy_piece_agreement,유,U+C720
138,pilgi_legacy_piece_agreement,상,U+C0C1
139,pilgi_legacy_piece_agreement,세,U+C138
140,pilgi_legacy_piece_agreement,음,U+C74C
141,pilgi_legacy_piece_agreement,위,U+C704
142,pilgi_legacy_piece_agreement,라,U+B77C
143,pilgi_legacy_piece_agreement,조,U+C870
144,pilgi_legacy_nonhangul,0,U+0030
145,pilgi_legacy_piece_agreement,분,U+BD84
146,pilgi_piece_recovered,도,U+B3C4
147,pilgi_legacy_piece_agreement,안,U+C548
148,pilgi_legacy_piece_agreement,호,U+D638
149,pilgi_legacy_piece_agreement,촌,U+CD0C
150,pilgi_legacy_piece_agreement,예,U+C608
151,pilgi_legacy_piece_agreement,버,U+BC84
152,pilgi_legacy_piece_agreement,올,U+C62C
153,pilgi_legacy_nonhangul,7,U+0037
154,pilgi_legacy_piece_agreement,번,U+BC88
155,pilgi_legacy_nonhangul,),U+0029
156,pilgi_legacy_piece_agreement,심,U+C2EC
157,pilgi_legacy_nonhangul,5,U+0035
158,pilgi_legacy_nonhangul,6,U+0036
159,pilgi_legacy_nonhangul,(,U+0028
160,blank_preserved,,
161,blank_preserved,,
162,blank_preserved,,
163,blank_preserved,,
164,blank_preserved,,
165,blank_preserved,,
166,blank_preserved,,
167,blank_preserved,,
168,blank_preserved,,
169,blank_preserved,,
170,blank_preserved,,
171,blank_preserved,,
172,blank_preserved,,
173,blank_preserved,,
174,blank_preserved,,
175,blank_preserved,,
176,blank_preserved,,
177,blank_preserved,,
178,blank_preserved,,
179,blank_preserved,,
180,blank_preserved,,
181,blank_preserved,,
182,blank_preserved,,
183,blank_preserved,,
184,blank_preserved,,
185,blank_preserved,,
186,blank_preserved,,
187,blank_preserved,,
188,blank_preserved,,
189,blank_preserved,,
190,blank_preserved,,
191,blank_preserved,,
192,blank_preserved,,
193,blank_preserved,,
194,blank_preserved,,
195,blank_preserved,,
196,blank_preserved,,
197,blank_preserved,,
198,blank_preserved,,
199,blank_preserved,,
200,blank_preserved,,
201,blank_preserved,,
202,blank_preserved,,
203,blank_preserved,,
204,blank_preserved,,
205,blank_preserved,,
206,blank_preserved,,
207,blank_preserved,,
208,blank_preserved,,
209,blank_preserved,,
210,blank_preserved,,
211,blank_preserved,,
212,blank_preserved,,
213,blank_preserved,,
214,blank_preserved,,
215,blank_preserved,,
216,blank_preserved,,
217,blank_preserved,,
218,blank_preserved,,
219,blank_preserved,,
220,pilgi_legacy_piece_agreement,이,U+C774
221,pilgi_legacy_nonhangul,:,U+003A
222,pilgi_legacy_nonhangul,?,U+003F
223,pilgi_legacy_piece_agreement,로,U+B85C
224,pilgi_legacy_piece_agreement,라,U+B77C
225,pilgi_legacy_piece_agreement,비,U+BE44
226,pilgi_legacy_piece_agreement,소,U+C18C
227,pilgi_legacy_piece_agreement,바,U+BC14
228,pilgi_legacy_piece_agreement,적,U+C801
229,pilgi_legacy_piece_agreement,격,U+ACA9
230,pilgi_legacy_piece_agreement,국,U+AD6D
231,pilgi_legacy_piece_agreement,쿠,U+CFE0
232,pilgi_legacy_piece_agreement,좋,U+C88B
233,pilgi_legacy_piece_agreement,발,U+BC1C
234,pilgi_legacy_piece_agreement,했,U+D588
235,pilgi_legacy_piece_agreement,공,U+ACF5
236,pilgi_legacy_piece_agreement,계,U+ACC4
237,pilgi_legacy_piece_agreement,래,U+B798
238,pilgi_legacy_piece_agreement,불,U+BD88
239,pilgi_legacy_piece_agreement,싸,U+C2F8
240,pilgi_legacy_piece_agreement,곳,U+ACF3
241,pilgi_legacy_piece_agreement,건,U+AC74
242,pilgi_legacy_piece_agreement,성,U+C131
243,pilgi_legacy_piece_agreement,과,U+ACFC
244,pilgi_legacy_piece_agreement,받,U+BC1B
245,pilgi_legacy_piece_agreement,용,U+C6A9
246,pilgi_legacy_piece_agreement,간,U+AC04
247,pilgi_legacy_piece_agreement,당,U+B2F9
248,pilgi_legacy_piece_agreement,합,U+D569
249,pilgi_legacy_piece_agreement,알,U+C54C
250,pilgi_legacy_piece_agreement,치,U+CE58
251,pilgi_legacy_piece_agreement,께,U+AED8
252,pilgi_legacy_piece_agreement,두,U+B450
253,pilgi_legacy_piece_agreement,람,U+B78C
254,pilgi_legacy_piece_agreement,드,U+B4DC
255,pilgi_legacy_piece_agreement,저,U+C800
256,pilgi_legacy_piece_agreement,던,U+B358
257,pilgi_legacy_piece_agreement,든,U+B4E0
258,pilgi_legacy_piece_agreement,실,U+C2E4
259,pilgi_legacy_piece_agreement,강,U+AC15
260,pilgi_legacy_piece_agreement,방,U+BC29
261,pilgi_legacy_piece_agreement,런,U+B7F0
262,pilgi_legacy_piece_agreement,력,U+B825
263,pilgi_legacy_piece_agreement,메,U+BA54
264,pilgi_legacy_piece_agreement,았,U+C558
265,pilgi_legacy_piece_agreement,님,U+B2D8
266,pilgi_legacy_piece_agreement,미,U+BBF8
267,pilgi_legacy_piece_agreement,언,U+C5B8
268,pilgi_legacy_piece_agreement,행,U+D589
269,pilgi_legacy_piece_agreement,동,U+B3D9
270,pilgi_legacy_piece_agreement,목,U+BAA9
271,pilgi_legacy_piece_agreement,명,U+BA85
272,pilgi_legacy_piece_agreement,단,U+B2E8
273,pilgi_legacy_piece_agreement,생,U+C0DD
274,pilgi_legacy_piece_agreement,법,U+BC95
275,pilgi_legacy_piece_agreement,카,U+CE74
276,pilgi_legacy_piece_agreement,투,U+D22C
277,pilgi_legacy_piece_agreement,찮,U+CC2E
278,pilgi_legacy_piece_agreement,괜,U+AD1C
279,pilgi_legacy_piece_agreement,피,U+D53C
280,pilgi_legacy_piece_agreement,남,U+B0A8
281,pilgi_legacy_piece_agreement,번,U+BC88
282,pilgi_legacy_piece_agreement,진,U+C9C4
283,pilgi_legacy_piece_agreement,코,U+CF54
284,pilgi_legacy_nonhangul,.,U+002E
285,pilgi_legacy_piece_agreement,루,U+B8E8
286,pilgi_legacy_piece_agreement,희,U+D76C
287,pilgi_legacy_piece_agreement,떻,U+B5BB
288,pilgi_legacy_piece_agreement,산,U+C0B0
289,pilgi_legacy_piece_agreement,반,U+BC18
290,pilgi_legacy_piece_agreement,결,U+ACB0
291,pilgi_legacy_piece_agreement,약,U+C57D
292,pilgi_legacy_piece_agreement,럼,U+B7FC
293,pilgi_legacy_piece_agreement,금,U+AE08
294,pilgi_legacy_piece_agreement,혜,U+D61C
295,pilgi_legacy_piece_agreement,참,U+CC38
296,pilgi_legacy_piece_agreement,렇,U+B807
297,pilgi_legacy_piece_agreement,싶,U+C2F6
298,pilgi_legacy_piece_agreement,잘,U+C798
299,pilgi_legacy_piece_agreement,볼,U+BCFC
300,pilgi_legacy_piece_agreement,냐,U+B0D0
301,pilgi_legacy_piece_agreement,억,U+C5B5
302,pilgi_legacy_piece_agreement,선,U+C120
303,pilgi_legacy_piece_agreement,험,U+D5D8
304,pilgi_legacy_piece_agreement,누,U+B204
305,pilgi_legacy_piece_agreement,찾,U+CC3E
306,pilgi_legacy_piece_agreement,노,U+B178
307,pilgi_legacy_piece_agreement,본,U+BCF8
308,pilgi_legacy_piece_agreement,히,U+D788
309,pilgi_legacy_piece_agreement,같,U+AC19
310,pilgi_legacy_piece_agreement,트,U+D2B8
311,pilgi_legacy_piece_agreement,온,U+C628
312,pilgi_legacy_piece_agreement,머,U+BA38
313,pilgi_legacy_piece_agreement,템,U+D15C
314,pilgi_legacy_piece_agreement,속,U+C18D
315,pilgi_legacy_piece_agreement,뭐,U+BB50
316,pilgi_legacy_piece_agreement,날,U+B0A0
317,pilgi_legacy_piece_agreement,폭,U+D3ED
318,pilgi_legacy_piece_agreement,져,U+C838
319,pilgi_legacy_piece_agreement,작,U+C791
320,pilgi_legacy_piece_agreement,환,U+D658
321,pilgi_legacy_piece_agreement,레,U+B808
322,pilgi_legacy_piece_agreement,씨,U+C528
323,pilgi_legacy_piece_agreement,워,U+C6CC
324,pilgi_legacy_piece_agreement,쪽,U+CABD
325,pilgi_legacy_piece_agreement,난,U+B09C
326,pilgi_legacy_piece_agreement,망,U+B9DD
327,pilgi_legacy_piece_agreement,팔,U+D314
328,pilgi_legacy_piece_agreement,각,U+AC01
329,pilgi_legacy_piece_agreement,류,U+B958
330,pilgi_legacy_piece_agreement,준,U+C900
331,pilgi_legacy_piece_agreement,움,U+C6C0
332,pilgi_legacy_piece_agreement,늘,U+B298
333,pilgi_legacy_piece_agreement,록,U+B85D
334,pilgi_legacy_piece_agreement,중,U+C911
335,pilgi_piece_recovered,훌,U+D6CC
336,pilgi_legacy_piece_agreement,괴,U+AD34
337,pilgi_legacy_piece_agreement,못,U+BABB
338,pilgi_legacy_piece_agreement,감,U+AC10
339,pilgi_legacy_piece_agreement,포,U+D3EC
340,pilgi_legacy_piece_agreement,편,U+D3B8
341,pilgi_legacy_piece_agreement,족,U+C871
342,pilgi_legacy_piece_agreement,파,U+D30C
343,pilgi_legacy_piece_agreement,직,U+C9C1
344,pilgi_legacy_piece_agreement,형,U+D615
345,pilgi_legacy_piece_agreement,째,U+C9F8
346,pilgi_legacy_piece_agreement,타,U+D0C0
