char,unicode,width,occurrences,mode,code_hex,physical_index,virtual_slot,new_physical_plane,target_was_blank_in_v318
 ,U+0020,1,23295,space,A1,160,,0,1
!,U+0021,1,825,direct_new,A9,168,,1,1
(,U+0028,1,56,direct_existing,A0,159,,0,0
),U+0029,1,80,direct_existing,9C,155,,0,0
",",U+002C,1,516,direct_new,B3,178,,1,1
.,U+002E,1,4082,direct_existing,21,32,,0,0
0,U+0030,1,137,direct_existing,91,144,,0,0
1,U+0031,1,352,direct_existing,4A,73,,0,0
2,U+0032,1,963,direct_existing,0B,10,,0,0
4,U+0034,1,278,direct_existing,57,86,,0,0
5,U+0035,1,73,direct_existing,9E,157,,0,0
6,U+0036,1,70,direct_existing,9F,158,,0,0
7,U+0037,1,114,direct_existing,9A,153,,0,0
8,U+0038,1,858,direct_existing,10,15,,0,0
?,U+003F,1,382,direct_new,D1,208,,1,1
가,U+AC00,1,954,direct_existing,0C,11,,0,0
거,U+AC70,1,451,direct_existing,32,49,,0,0
것,U+AC83,1,371,direct_existing,18,23,,0,0
게,U+AC8C,1,380,direct_existing,41,64,,0,0
겠,U+ACA0,1,281,direct_existing,54,83,,0,0
경,U+ACBD,1,213,direct_existing,68,103,,0,0
고,U+ACE0,1,688,direct_existing,1C,27,,0,0
구,U+AD6C,1,156,direct_existing,87,134,,0,0
군,U+AD70,1,174,direct_existing,7C,123,,0,0
그,U+ADF8,1,738,direct_existing,15,20,,0,0
기,U+AE30,1,573,direct_existing,24,35,,0,0
까,U+AE4C,1,406,direct_existing,3B,58,,0,0
나,U+B098,1,673,direct_existing,1E,29,,0,0
내,U+B0B4,1,363,direct_existing,47,70,,0,0
너,U+B108,1,155,direct_existing,89,136,,0,0
넣,U+B123,1,196,direct_existing,6F,110,,0,0
네,U+B124,1,168,direct_existing,7E,125,,0,0
는,U+B294,1,1095,direct_existing,06,5,,0,0
니,U+B2C8,1,1067,direct_existing,07,6,,0,0
다,U+B2E4,1,1551,direct_existing,01,0,,0,0
대,U+B300,1,423,direct_existing,37,54,,0,0
데,U+B370,1,163,direct_existing,81,128,,0,0
도,U+B3C4,1,450,direct_existing,33,50,,0,0
돌,U+B3CC,1,193,direct_existing,72,113,,0,0
되,U+B418,1,187,direct_existing,73,114,,0,0
들,U+B4E4,1,975,direct_existing,0A,9,,0,0
때,U+B54C,1,182,direct_existing,77,118,,0,0
량,U+B7C9,1,358,direct_new,D2,209,,1,1
러,U+B7EC,1,180,direct_existing,20,31,,0,0
려,U+B824,1,225,direct_existing,3C,59,,0,0
령,U+B839,1,306,direct_existing,51,80,,0,0
로,U+B85C,1,240,direct_new,D5,212,,1,1
르,U+B974,1,194,direct_existing,70,111,,0,0
를,U+B97C,1,433,direct_existing,36,53,,0,0
리,U+B9AC,1,503,direct_existing,2E,45,,0,0
마,U+B9C8,1,367,direct_existing,45,68,,0,0
만,U+B9CC,1,419,direct_existing,38,55,,0,0
말,U+B9D0,1,230,direct_existing,1B,26,,0,0
면,U+BA74,1,361,direct_existing,3A,57,,0,0
모,U+BAA8,1,281,direct_existing,55,84,,0,0
몬,U+BAAC,1,224,direct_existing,64,99,,0,0
무,U+BB34,1,242,direct_existing,5F,94,,0,0
물,U+BB3C,1,199,direct_existing,6D,108,,0,0
버,U+BC84,1,332,direct_existing,67,102,,0,0
번,U+BC88,1,112,direct_existing,9B,154,,0,0
변,U+BCC0,1,165,direct_existing,80,127,,0,0
병,U+BCD1,1,160,direct_existing,82,129,,0,0
보,U+BCF4,1,237,direct_existing,60,95,,0,0
부,U+BD80,1,200,direct_existing,6C,107,,0,0
분,U+BD84,1,135,direct_existing,92,145,,0,0
사,U+C0AC,1,441,direct_existing,34,51,,0,0
상,U+C0C1,1,149,direct_existing,8B,138,,0,0
서,U+C11C,1,565,direct_existing,25,36,,0,0
세,U+C138,1,149,direct_existing,8C,139,,0,0
손,U+C190,1,156,direct_existing,85,132,,0,0
수,U+C218,1,309,direct_existing,50,79,,0,0
스,U+C2A4,1,547,direct_existing,30,47,,0,0
습,U+C2B5,1,504,direct_existing,2D,44,,0,0
승,U+C2B9,1,211,direct_existing,69,104,,0,0
시,U+C2DC,1,536,direct_existing,29,40,,0,0
신,U+C2E0,1,389,direct_existing,3E,61,,0,0
심,U+C2EC,1,78,direct_existing,9D,156,,0,0
십,U+C2ED,1,253,direct_existing,5D,92,,0,0
아,U+C544,1,1285,direct_existing,09,8,,0,0
안,U+C548,1,131,direct_existing,94,147,,0,0
않,U+C54A,1,180,direct_existing,78,119,,0,0
야,U+C57C,1,356,direct_existing,49,72,,0,0
어,U+C5B4,1,743,direct_existing,14,19,,0,0
없,U+C5C6,1,194,direct_existing,71,112,,0,0
었,U+C5C8,1,236,direct_existing,61,96,,0,0
에,U+C5D0,1,903,direct_existing,0E,13,,0,0
여,U+C5EC,1,300,direct_existing,1A,25,,0,0
오,U+C624,1,367,direct_existing,46,69,,0,0
올,U+C62C,1,114,direct_existing,99,152,,0,0
와,U+C640,1,156,direct_existing,88,135,,0,0
왕,U+C655,1,205,direct_existing,6A,105,,0,0
요,U+C694,1,223,direct_existing,2C,43,,0,0
우,U+C6B0,1,400,direct_existing,3D,60,,0,0
운,U+C6B4,1,156,direct_existing,86,133,,0,0
원,U+C6D0,1,176,direct_existing,7B,122,,0,0
위,U+C704,1,147,direct_existing,8E,141,,0,0
유,U+C720,1,152,direct_existing,8A,137,,0,0
으,U+C73C,1,314,direct_existing,4E,77,,0,0
은,U+C740,1,555,direct_existing,26,37,,0,0
을,U+C744,1,932,direct_existing,0D,12,,0,0
음,U+C74C,1,149,direct_existing,8D,140,,0,0
의,U+C758,1,896,direct_existing,0F,14,,0,0
인,U+C778,1,438,direct_existing,35,52,,0,0
일,U+C77C,1,203,direct_existing,6B,106,,0,0
입,U+C785,1,167,direct_existing,7F,126,,0,0
있,U+C788,1,671,direct_existing,1F,30,,0,0
자,U+C790,1,539,direct_existing,28,39,,0,0
장,U+C7A5,1,279,direct_existing,56,85,,0,0
전,U+C804,1,312,direct_existing,4F,78,,0,0
정,U+C815,1,460,direct_existing,31,48,,0,0
제,U+C81C,1,222,direct_existing,66,101,,0,0
조,U+C870,1,142,direct_existing,90,143,,0,0
주,U+C8FC,1,381,direct_existing,40,63,,0,0
지,U+C9C0,1,1186,direct_existing,04,3,,0,0
초,U+CD08,1,571,direct_existing,39,56,,0,0
촌,U+CD0C,1,124,direct_existing,96,149,,0,0
출,U+CD9C,1,184,direct_existing,76,117,,0,0
크,U+D06C,1,275,direct_existing,58,87,,0,0
큰,U+D070,1,232,direct_new,AA,169,,1,1
터,U+D130,1,260,direct_existing,02,1,,0,0
토,U+D1A0,1,160,direct_existing,83,130,,0,0
페,U+D398,1,4641,direct_new,D3,210,,1,1
핀,U+D540,1,370,direct_existing,43,66,,0,0
하,U+D558,1,704,direct_existing,19,24,,0,0
한,U+D55C,1,281,direct_existing,53,82,,0,0
할,U+D560,1,169,direct_existing,7D,124,,0,0
해,U+D574,1,521,direct_existing,2B,42,,0,0
회,U+D68C,1,177,direct_existing,7A,121,,0,0
힘,U+D798,1,187,direct_existing,74,115,,0,0
 ,U+0020,2,156,space,DE FA,724,,0,1
:,U+003A,2,1149,direct_existing,DD 02,221,,0,0
?,U+003F,2,520,direct_existing,DD 03,222,,0,0
M,U+004D,2,9,direct_new,DF 0B,740,,1,1
P,U+0050,2,17,direct_existing,DE 07,481,,0,0
R,U+0052,2,6,direct_existing,DE 88,610,,0,0
|,U+007C,2,26,direct_new,DF 0F,744,,1,1
…,U+2026,2,11,virtual_static_new,EA 9F,747,412,1,1
가,U+AC00,2,37,virtual_static_existing,E9 02,11,1,0,0
각,U+AC01,2,42,direct_existing,DD 6D,328,,0,0
간,U+AC04,2,83,direct_existing,DD 1B,246,,0,0
감,U+AC10,2,39,direct_existing,DD 77,338,,0,0
갑,U+AC11,2,16,direct_existing,DE 0C,486,,0,0
값,U+AC12,2,2,direct_existing,DE 60,570,,0,0
강,U+AC15,2,72,direct_existing,DD 28,259,,0,0
같,U+AC19,2,48,direct_existing,DD 5A,309,,0,0
갚,U+AC1A,2,6,direct_existing,DE 81,603,,0,0
개,U+AC1C,2,37,direct_existing,DD B4,399,,0,0
갯,U+AC2F,2,1,virtual_static_new,EA 1B,748,280,1,1
거,U+AC70,2,6,virtual_static_existing,E9 0C,49,11,0,0
걱,U+AC71,2,6,direct_existing,DE 80,602,,0,0
건,U+AC74,2,88,direct_existing,DD 16,241,,0,0
걸,U+AC78,2,34,direct_existing,DD 8E,361,,0,0
검,U+AC80,2,30,direct_existing,DD A1,380,,0,0
겁,U+AC81,2,19,direct_existing,DD EE,457,,0,0
것,U+AC83,2,2,virtual_static_existing,E9 14,23,19,0,0
게,U+AC8C,2,14,virtual_static_existing,E9 0E,64,13,0,0
겐,U+AC90,2,41,direct_existing,DD A9,388,,0,0
겠,U+ACA0,2,8,virtual_static_existing,E9 0A,83,9,0,0
겨,U+ACA8,2,25,direct_existing,DD BD,408,,0,0
격,U+ACA9,2,110,direct_existing,DD 0A,229,,0,0
견,U+ACAC,2,17,direct_existing,DE 0A,484,,0,0
결,U+ACB0,2,54,direct_existing,DD 47,290,,0,0
겸,U+ACB8,2,7,direct_existing,DE 72,588,,0,0
겼,U+ACBC,2,3,virtual_static_new,E9 CF,749,206,1,1
경,U+ACBD,2,14,virtual_static_existing,E9 0D,103,12,0,0
계,U+ACC4,2,93,direct_existing,DD 11,236,,0,0
고,U+ACE0,2,20,virtual_static_existing,E9 17,27,22,0,0
곤,U+ACE4,2,5,direct_existing,DE 9B,629,,0,0
곧,U+ACE7,2,16,direct_existing,DE 0E,488,,0,0
골,U+ACE8,2,2,virtual_static_new,EA 1E,750,283,1,1
곳,U+ACF3,2,89,direct_existing,DD 15,240,,0,0
공,U+ACF5,2,93,direct_existing,DD 10,235,,0,0
과,U+ACFC,2,95,direct_existing,DD 18,243,,0,0
관,U+AD00,2,15,direct_existing,DE 1D,503,,0,0
광,U+AD11,2,7,virtual_static_new,E9 56,751,85,1,1
괜,U+AD1C,2,62,direct_existing,DD 3B,278,,0,0
괴,U+AD34,2,39,direct_existing,DD 75,336,,0,0
굉,U+AD49,2,10,direct_existing,DE 51,555,,0,0
교,U+AD50,2,3,direct_existing,DE D1,683,,0,0
구,U+AD6C,2,13,virtual_static_existing,E9 16,134,21,0,0
국,U+AD6D,2,100,direct_existing,DD 0B,230,,0,0
군,U+AD70,2,13,virtual_static_existing,E9 26,123,37,0,0
굴,U+AD74,2,8,direct_existing,DE 67,577,,0,0
권,U+AD8C,2,3,direct_existing,DE C8,674,,0,0
궤,U+ADA4,2,31,direct_existing,DD 9E,377,,0,0
귀,U+ADC0,2,8,direct_existing,DE 6C,582,,0,0
그,U+ADF8,2,13,virtual_static_existing,E9 19,20,24,0,0
극,U+ADF9,2,10,virtual_static_new,EA 20,752,285,1,1
근,U+ADFC,2,7,direct_existing,DE 73,589,,0,0
금,U+AE08,2,53,direct_existing,DD 4A,293,,0,0
급,U+AE09,2,4,direct_existing,DE BE,664,,0,0
긋,U+AE0B,2,2,direct_existing,DE DC,694,,0,0
기,U+AE30,2,22,virtual_static_existing,E9 1B,35,26,0,0
긴,U+AE34,2,18,direct_existing,DD FB,470,,0,0
길,U+AE38,2,33,direct_existing,DD 95,368,,0,0
까,U+AE4C,2,8,virtual_static_existing,E9 0F,58,14,0,0
깐,U+AE50,2,7,direct_existing,DE 71,587,,0,0
깨,U+AE68,2,10,direct_existing,DE 46,544,,0,0
꺄,U+AE84,2,2,direct_existing,DE DF,697,,0,0
꺼,U+AEBC,2,10,direct_existing,DE 47,545,,0,0
껍,U+AECD,2,1,virtual_static_new,EA 21,753,286,1,1
껏,U+AECF,2,6,direct_existing,DE 8B,613,,0,0
께,U+AED8,2,79,direct_existing,DD 20,251,,0,0
껴,U+AEF4,2,3,direct_existing,DE C6,672,,0,0
꼭,U+AF2D,2,2,direct_new,DF 19,754,,1,1
꽃,U+AF43,2,34,direct_existing,DD 8C,359,,0,0
꾀,U+AF80,2,2,virtual_static_new,E9 49,756,72,1,1
뀌,U+B00C,2,4,direct_existing,DE AB,645,,0,0
끈,U+B048,2,11,direct_existing,DE 40,538,,0,0
끌,U+B04C,2,8,direct_existing,DE 6A,580,,0,0
끓,U+B053,2,1,direct_existing,DE F7,721,,0,0
끔,U+B054,2,6,direct_existing,DE 8A,612,,0,0
끝,U+B05D,2,30,direct_existing,DD A3,382,,0,0
끼,U+B07C,2,7,direct_existing,DE 7C,598,,0,0
나,U+B098,2,23,virtual_static_existing,E9 20,29,31,0,0
낙,U+B099,2,9,direct_existing,DE 5A,564,,0,0
난,U+B09C,2,43,direct_existing,DD 6A,325,,0,0
날,U+B0A0,2,45,direct_existing,DD 61,316,,0,0
남,U+B0A8,2,62,direct_existing,DD 3D,280,,0,0
낫,U+B0AB,2,1,virtual_static_new,EA 23,757,288,1,1
났,U+B0AC,2,10,direct_existing,DE 55,559,,0,0
낳,U+B0B3,2,8,direct_existing,DE 6D,583,,0,0
내,U+B0B4,2,2,virtual_static_existing,E9 23,70,34,0,0
낼,U+B0BC,2,13,direct_existing,DE 2C,518,,0,0
냈,U+B0C8,2,2,direct_existing,DE E8,706,,0,0
냉,U+B0C9,2,1,virtual_static_new,EA 24,758,289,1,1
냐,U+B0D0,2,50,direct_existing,DD 51,300,,0,0
너,U+B108,2,1,virtual_static_existing,E9 24,136,35,0,0
넘,U+B118,2,18,direct_existing,DD F4,463,,0,0
넣,U+B123,2,2,virtual_static_existing,E9 27,110,38,0,0
네,U+B124,2,2,virtual_static_existing,EA 25,125,290,0,0
녀,U+B140,2,35,direct_existing,DD 87,354,,0,0
년,U+B144,2,29,direct_existing,DD A5,384,,0,0
념,U+B150,2,1,direct_existing,DE F6,720,,0,0
