physical_index,char,unicode,was_blank_v318,safe_nontext
168,!,U+0021,1,1
169,큰,U+D070,1,1
178,",",U+002C,1,1
208,?,U+003F,1,1
209,량,U+B7C9,1,1
210,페,U+D398,1,1
212,로,U+B85C,1,1
740,M,U+004D,1,1
744,|,U+007C,1,1
747,…,U+2026,1,1
748,갯,U+AC2F,1,1
749,겼,U+ACBC,1,1
750,골,U+ACE8,1,1
751,광,U+AD11,1,1
752,극,U+ADF9,1,1
753,껍,U+AECD,1,1
754,꼭,U+AF2D,1,1
756,꾀,U+AF80,1,1
757,낫,U+B0AB,1,1
758,냉,U+B0C9,1,1
759,뇌,U+B1CC,1,1
760,닷,U+B2F7,1,1
761,덴,U+B374,1,1
763,독,U+B3C5,1,1
764,둔,U+B454,1,1
765,들,U+B4E4,1,1
766,듦,U+B4E6,1,1
767,띄,U+B744,1,1
768,락,U+B77D,1,1
769,랙,U+B799,1,1
770,랩,U+B7A9,1,1
771,렉,U+B809,1,1
772,렘,U+B818,1,1
773,렛,U+B81B,1,1
775,렬,U+B82C,1,1
776,례,U+B840,1,1
777,론,U+B860,1,1
778,뢰,U+B8B0,1,1
779,룬,U+B8EC,1,1
804,털,U+D138,0,1
805,텀,U+D140,0,1
806,텅,U+D145,0,1
807,텔,U+D154,0,1
808,톰,U+D1B0,0,1
809,퇴,U+D1F4,0,1
810,티,U+D2F0,0,1
811,팡,U+D321,0,1
812,팬,U+D32C,0,1
813,펀,U+D380,0,1
814,페,U+D398,0,1
815,폴,U+D3F4,0,1
816,할,U+D560,0,1
817,현,U+D604,0,1
818,흑,U+D751,0,1
820,률,U+B960,1,1
821,흡,U+D761,0,1
822,힐,U+D790,0,1
824,묵,U+BB35,1,1
825,백,U+BC31,1,1
826,벗,U+BC97,1,1
827,뷰,U+BDF0,1,1
828,블,U+BE14,1,1
829,빙,U+BE59,1,1
830,샬,U+C0EC,1,1
831,섞,U+C11E,1,1
832,션,U+C158,1,1
833,스,U+C2A4,1,1
834,썩,U+C369,1,1
835,썬,U+C36C,1,1
836,씩,U+C529,1,1
837,암,U+C554,1,1
838,압,U+C555,1,1
839,앵,U+C575,1,1
864,엑,U+C5D1,1,1
866,염,U+C5FC,1,1
867,왠,U+C660,1,1
868,윈,U+C708,1,1
869,으,U+C73C,1,1
870,잎,U+C78E,1,1
871,잔,U+C794,1,1
872,젤,U+C824,1,1
873,즌,U+C98C,1,1
874,찍,U+CC0D,1,1
875,챔,U+CC54,1,1
876,척,U+CC99,1,1
877,쳤,U+CCE4,1,1
878,추,U+CD94,1,1
879,칸,U+CE78,1,1
880,컬,U+CEEC,1,1
881,큐,U+D050,1,1
882,큭,U+D06D,1,1
883,택,U+D0DD,1,1
