pointer_offset,v319_value,v320_value,v320b_value,category,confirmed_text_pool
0x78060,0x80192854,0xD3102854,0x80192854,unclassified_pointer,False
0x78064,0x80192858,0xD3102858,0x80192858,unclassified_pointer,False
0x78070,0x80192868,0xD3102838,0x80192868,unclassified_pointer,False
0x78088,0x80192878,0xD3102801,0x80192878,unclassified_pointer,False
0x7808C,0x80192880,0xD31028D3,0x80192880,unclassified_pointer,False
0x780E8,0x8019C62F,0xD3108D2F,0x8019C62F,confirmed_system,True
0x780EC,0x8019C5E0,0xD310C5E0,0x8019C5E0,confirmed_system,True
0x780F0,0x80192927,0xD3102927,0x80192927,confirmed_system,True
0x780F4,0x8019C738,0xD310C738,0x8019C738,confirmed_system,True
0x780F8,0x8019C5B1,0xD3107D72,0x8019C5B1,confirmed_system,True
0x781B8,0x8019CAAD,0xD310CA81,0x8019CAAD,confirmed_system,True
0x781BC,0x801929FC,0xD31029FC,0x801929FC,confirmed_system,True
0x781C0,0x801929D4,0xD3102945,0x801929D4,confirmed_system,True
0x781C4,0x8019CA8E,0xD310CA69,0x8019CA8E,confirmed_system,True
0x781C8,0x8019294A,0xD310294A,0x8019294A,confirmed_system,True
0x781CC,0x8019289C,0xD31028A1,0x8019289C,confirmed_system,True
0x781D0,0x8019D288,0xD310803D,0x8019D288,confirmed_system,True
0x78220,0x8019CA6E,0xD310CA39,0x8019CA6E,confirmed_system,True
0x78224,0x8019296D,0xD310293B,0x8019296D,confirmed_system,True
0x78228,0x8019CAC8,0xD310CA6F,0x8019CAC8,confirmed_system,True
0x7822C,0x8019CAE3,0xD310CAE3,0x8019CAE3,confirmed_system,True
0x7823C,0x80192A30,0xD3102A30,0x80192A30,unclassified_pointer,False
0x78248,0x80123858,0xD34A3858,0x80123858,unclassified_pointer,False
0x7824C,0x80123B6C,0xD34A3B39,0x80123B6C,unclassified_pointer,False
0x78254,0x80123858,0xD34A3858,0x80123858,unclassified_pointer,False
0x78258,0x80123B6C,0xD34A3B39,0x80123B6C,unclassified_pointer,False
0x78260,0x80123858,0xD34A3858,0x80123858,unclassified_pointer,False
0x78264,0x80123B6C,0xD34A3B39,0x80123B6C,unclassified_pointer,False
0x7826C,0x80123858,0xD34A3858,0x80123858,unclassified_pointer,False
0x78270,0x80123B6C,0xD34A3B39,0x80123B6C,unclassified_pointer,False
0x78278,0x80123858,0xD34A3858,0x80123858,unclassified_pointer,False
0x7827C,0x80123B6C,0xD34A3B39,0x80123B6C,unclassified_pointer,False
0x782AC,0x801237F4,0xD34A37F4,0x801237F4,unclassified_pointer,False
0x782B4,0x80192A48,0xD3102A48,0x80192A48,unclassified_pointer,False
0x782BC,0x8016D750,0xD39ED7AA,0x8016D750,unclassified_pointer,False
0x782C4,0x80192A48,0xD3102A48,0x80192A48,unclassified_pointer,False
0x782CC,0x801A7BF0,0xD31A7BF0,0x801A7BF0,unclassified_pointer,False
0x782D0,0x801A7BF8,0xD31A7BF8,0x801A7BF8,unclassified_pointer,False
0x782D4,0x801A7C00,0xD31A0A00,0x801A7C00,unclassified_pointer,False
0x782D8,0x801A7C08,0xD31A0A08,0x801A7C08,unclassified_pointer,False
0x782DC,0x801A7C18,0xD31A0A9A,0x801A7C18,unclassified_pointer,False
0x782E0,0x801A7C20,0xD31A0A20,0x801A7C20,unclassified_pointer,False
0x782E4,0x801A7C28,0xD31A0A28,0x801A7C28,unclassified_pointer,False
0x782E8,0x801A7C30,0xD31A0A30,0x801A7C30,unclassified_pointer,False
0x782EC,0x801A7C38,0xD31A0A38,0x801A7C38,unclassified_pointer,False
0x782F0,0x801A7C40,0xD31A0AD2,0x801A7C40,unclassified_pointer,False
0x782F4,0x801A7C48,0xD31A0A48,0x801A7C48,unclassified_pointer,False
0x782F8,0x801A7C50,0xD31A0AAA,0x801A7C50,unclassified_pointer,False
0x782FC,0x801A7C58,0xD31A0A58,0x801A7C58,unclassified_pointer,False
0x78300,0x801A7C60,0xD31A0AD5,0x801A7C60,unclassified_pointer,False
0x78304,0x801A7C68,0xD31A0A38,0x801A7C68,unclassified_pointer,False
0x78308,0x801A7C70,0xD31A0A70,0x801A7C70,unclassified_pointer,False
0x7830C,0x801A7C78,0xD31A0A01,0x801A7C78,unclassified_pointer,False
0x78310,0x801A7C90,0xD31A0A90,0x801A7C90,unclassified_pointer,False
0x78314,0x801A7C98,0xD31A0A55,0x801A7C98,unclassified_pointer,False
0x78318,0x801A7CA0,0xD31A0AA0,0x801A7CA0,unclassified_pointer,False
0x7831C,0x801A7C80,0xD31A0AD3,0x801A7C80,unclassified_pointer,False
0x78320,0x801A7C88,0xD31A0A3D,0x801A7C88,unclassified_pointer,False
0x78324,0x801A7CA8,0xD31A0A67,0x801A7CA8,unclassified_pointer,False
0x78328,0x801A7CB0,0xD31A0AB0,0x801A7CB0,unclassified_pointer,False
0x7832C,0x801A7CB8,0xD31A0A99,0x801A7CB8,unclassified_pointer,False
0x78330,0x801A7CC0,0xD31A0AC0,0x801A7CC0,unclassified_pointer,False
0x78334,0x801A7CC8,0xD31A0A6F,0x801A7CC8,unclassified_pointer,False
0x78338,0x801A7C10,0xD31A0A10,0x801A7C10,unclassified_pointer,False
0x7833C,0x801A7CD0,0xD31A0AD0,0x801A7CD0,unclassified_pointer,False
0x78340,0x801A7CD8,0xD31A0AD8,0x801A7CD8,unclassified_pointer,False
0x78344,0x801A7CE0,0xD31A7CE0,0x801A7CE0,unclassified_pointer,False
0x78348,0x801A7CE8,0xD31A7CE8,0x801A7CE8,unclassified_pointer,False
0x7834C,0x801A7CF0,0xD31A7CF0,0x801A7CF0,unclassified_pointer,False
0x78350,0x801A7CF8,0xD31A7CF8,0x801A7CF8,unclassified_pointer,False
0x78354,0x801A7D00,0xD31A7D00,0x801A7D00,unclassified_pointer,False
0x78358,0x801A7D08,0xD31A7D08,0x801A7D08,unclassified_pointer,False
0x7835C,0x801A7D10,0xD31A7D10,0x801A7D10,unclassified_pointer,False
0x78360,0x801A7EB8,0xD31A3A99,0x801A7EB8,unclassified_pointer,False
0x78364,0x801A7EC0,0xD31A3AC0,0x801A7EC0,unclassified_pointer,False
0x78368,0x801A7EC8,0xD31A3A6F,0x801A7EC8,unclassified_pointer,False
0x7836C,0x801A7ED0,0xD31A3AD0,0x801A7ED0,unclassified_pointer,False
0x78370,0x801A7ED8,0xD31A3AD8,0x801A7ED8,unclassified_pointer,False
0x78380,0x80123858,0xD34A3858,0x80123858,unclassified_pointer,False
0x78384,0x80123B6C,0xD34A3B39,0x80123B6C,unclassified_pointer,False
0x7838C,0x80123858,0xD34A3858,0x80123858,unclassified_pointer,False
0x78390,0x80123B6C,0xD34A3B39,0x80123B6C,unclassified_pointer,False
0x78398,0x80123858,0xD34A3858,0x80123858,unclassified_pointer,False
0x7839C,0x80123B6C,0xD34A3B39,0x80123B6C,unclassified_pointer,False
0x783A4,0x80123858,0xD34A3858,0x80123858,unclassified_pointer,False
0x783A8,0x80123B6C,0xD34A3B39,0x80123B6C,unclassified_pointer,False
0x783E4,0x801237F4,0xD34A37F4,0x801237F4,unclassified_pointer,False
0x783EC,0x80192B80,0xD3102BD3,0x80192B80,unclassified_pointer,False
0x783F4,0x8016D750,0xD39ED7AA,0x8016D750,unclassified_pointer,False
0x783FC,0x80192B80,0xD3102BD3,0x80192B80,unclassified_pointer,False
0x78404,0x801A7BF0,0xD31A7BF0,0x801A7BF0,unclassified_pointer,False
0x78408,0x801A7BF8,0xD31A7BF8,0x801A7BF8,unclassified_pointer,False
0x7840C,0x801A7C00,0xD31A0A00,0x801A7C00,unclassified_pointer,False
0x78410,0x801A7C08,0xD31A0A08,0x801A7C08,unclassified_pointer,False
0x78414,0x801A7C18,0xD31A0A9A,0x801A7C18,unclassified_pointer,False
0x78418,0x801A7C20,0xD31A0A20,0x801A7C20,unclassified_pointer,False
0x7841C,0x801A7C28,0xD31A0A28,0x801A7C28,unclassified_pointer,False
0x78420,0x801A7C30,0xD31A0A30,0x801A7C30,unclassified_pointer,False
0x78424,0x801A7C38,0xD31A0A38,0x801A7C38,unclassified_pointer,False
0x78428,0x801A7C40,0xD31A0AD2,0x801A7C40,unclassified_pointer,False
0x7842C,0x801A7C48,0xD31A0A48,0x801A7C48,unclassified_pointer,False
0x78430,0x801A7C50,0xD31A0AAA,0x801A7C50,unclassified_pointer,False
0x78434,0x801A7C58,0xD31A0A58,0x801A7C58,unclassified_pointer,False
0x78438,0x801A7C60,0xD31A0AD5,0x801A7C60,unclassified_pointer,False
0x7843C,0x801A7C68,0xD31A0A38,0x801A7C68,unclassified_pointer,False
0x78440,0x801A7C70,0xD31A0A70,0x801A7C70,unclassified_pointer,False
0x78444,0x801A7C78,0xD31A0A01,0x801A7C78,unclassified_pointer,False
0x78448,0x801A7C90,0xD31A0A90,0x801A7C90,unclassified_pointer,False
0x7844C,0x801A7C98,0xD31A0A55,0x801A7C98,unclassified_pointer,False
0x78450,0x801A7CA0,0xD31A0AA0,0x801A7CA0,unclassified_pointer,False
0x78454,0x801A7C80,0xD31A0AD3,0x801A7C80,unclassified_pointer,False
0x78458,0x801A7C88,0xD31A0A3D,0x801A7C88,unclassified_pointer,False
0x7845C,0x801A7CA8,0xD31A0A67,0x801A7CA8,unclassified_pointer,False
0x78460,0x801A7CB0,0xD31A0AB0,0x801A7CB0,unclassified_pointer,False
0x78464,0x801A7CB8,0xD31A0A99,0x801A7CB8,unclassified_pointer,False
0x78468,0x801A7CC0,0xD31A0AC0,0x801A7CC0,unclassified_pointer,False
0x7846C,0x801A7CC8,0xD31A0A6F,0x801A7CC8,unclassified_pointer,False
0x78470,0x801A7C10,0xD31A0A10,0x801A7C10,unclassified_pointer,False
0x78474,0x801A7CD0,0xD31A0AD0,0x801A7CD0,unclassified_pointer,False
0x78478,0x801A7CD8,0xD31A0AD8,0x801A7CD8,unclassified_pointer,False
0x7847C,0x801A7CE0,0xD31A7CE0,0x801A7CE0,unclassified_pointer,False
0x78480,0x801A7CE8,0xD31A7CE8,0x801A7CE8,unclassified_pointer,False
0x78484,0x801A7CF0,0xD31A7CF0,0x801A7CF0,unclassified_pointer,False
0x78488,0x801A7CF8,0xD31A7CF8,0x801A7CF8,unclassified_pointer,False
0x7848C,0x801A7D00,0xD31A7D00,0x801A7D00,unclassified_pointer,False
0x78490,0x801A7D08,0xD31A7D08,0x801A7D08,unclassified_pointer,False
0x78494,0x801A7D10,0xD31A7D10,0x801A7D10,unclassified_pointer,False
0x78498,0x801A7EE8,0xD31A7EE8,0x801A7EE8,unclassified_pointer,False
0x7849C,0x801A7EF0,0xD31A7EF0,0x801A7EF0,unclassified_pointer,False
0x784A0,0x801A7EF8,0xD31A7EF8,0x801A7EF8,unclassified_pointer,False
0x784A4,0x801A7F00,0xD31A7F00,0x801A7F00,unclassified_pointer,False
0x784A8,0x801A7F08,0xD31A7F08,0x801A7F08,unclassified_pointer,False
0x784AC,0x801A7F10,0xD31A7F10,0x801A7F10,unclassified_pointer,False
0x784B0,0x801A7F18,0xD31A7F9A,0x801A7F18,unclassified_pointer,False
0x784B4,0x801A7F20,0xD31A7F20,0x801A7F20,unclassified_pointer,False
0x784B8,0x80123858,0xD34A3858,0x80123858,unclassified_pointer,False
0x784BC,0x80123B6C,0xD34A3B39,0x80123B6C,unclassified_pointer,False
0x784C4,0x80123858,0xD34A3858,0x80123858,unclassified_pointer,False
0x784C8,0x80123B6C,0xD34A3B39,0x80123B6C,unclassified_pointer,False
0x784D0,0x80123858,0xD34A3858,0x80123858,unclassified_pointer,False
0x784D4,0x80123B6C,0xD34A3B39,0x80123B6C,unclassified_pointer,False
0x784DC,0x80123858,0xD34A3858,0x80123858,unclassified_pointer,False
0x784E0,0x80123B6C,0xD34A3B39,0x80123B6C,unclassified_pointer,False
0x784E8,0x80123AC0,0xD34AA1C0,0x80123AC0,unclassified_pointer,False
0x784EC,0x80123B90,0xD34A3B90,0x80123B90,unclassified_pointer,False
0x784F4,0x80123858,0xD34A3858,0x80123858,unclassified_pointer,False
0x784F8,0x80123B6C,0xD34A3B39,0x80123B6C,unclassified_pointer,False
0x78500,0x80123AC0,0xD34AA1C0,0x80123AC0,unclassified_pointer,False
0x78504,0x80123B90,0xD34A3B90,0x80123B90,unclassified_pointer,False
0x7851C,0x801237F4,0xD34A37F4,0x801237F4,unclassified_pointer,False
0x78524,0x80192CB8,0xD3102199,0x80192CB8,unclassified_pointer,False
0x7852C,0x8016D750,0xD39ED7AA,0x8016D750,unclassified_pointer,False
0x78534,0x80192CB8,0xD3102199,0x80192CB8,unclassified_pointer,False
0x7853C,0x801A7BF0,0xD31A7BF0,0x801A7BF0,unclassified_pointer,False
