char,unicode,cho,jung,jong,v240_cho_piece,v240_jung_piece,v240_jong_piece,official_cho_piece,official_jung_piece,official_jong_piece,pixel_hamming,changed
가,U+AC00,0,0,0,1,183,-1,1,161,-1,0,0
각,U+AC01,0,0,1,81,227,249,101,205,249,18,1
갂,U+AC02,0,0,2,81,227,250,101,205,250,18,1
갃,U+AC03,0,0,3,81,227,251,101,205,251,18,1
간,U+AC04,0,0,4,81,227,252,101,205,252,18,1
갅,U+AC05,0,0,5,81,227,253,101,205,253,18,1
갆,U+AC06,0,0,6,81,227,254,101,205,254,18,1
갇,U+AC07,0,0,7,81,227,255,101,205,255,18,1
갈,U+AC08,0,0,8,81,227,256,101,205,256,18,1
갉,U+AC09,0,0,9,81,227,257,101,205,257,18,1
갊,U+AC0A,0,0,10,81,227,258,101,205,258,18,1
갋,U+AC0B,0,0,11,81,227,259,101,205,259,18,1
갌,U+AC0C,0,0,12,81,227,260,101,205,260,18,1
갍,U+AC0D,0,0,13,81,227,261,101,205,261,18,1
갎,U+AC0E,0,0,14,81,227,262,101,205,262,18,1
갏,U+AC0F,0,0,15,81,227,263,101,205,263,18,1
감,U+AC10,0,0,16,81,227,264,101,205,264,18,1
갑,U+AC11,0,0,17,81,227,265,101,205,265,18,1
값,U+AC12,0,0,18,81,227,266,101,205,266,18,1
갓,U+AC13,0,0,19,81,227,267,101,205,267,18,1
갔,U+AC14,0,0,20,81,227,268,101,205,268,18,1
강,U+AC15,0,0,21,81,227,269,101,205,269,18,1
갖,U+AC16,0,0,22,81,227,270,101,205,270,18,1
갗,U+AC17,0,0,23,81,227,271,101,205,271,18,1
갘,U+AC18,0,0,24,81,227,272,101,205,272,18,1
같,U+AC19,0,0,25,81,227,273,101,205,273,18,1
갚,U+AC1A,0,0,26,81,227,274,101,205,274,18,1
갛,U+AC1B,0,0,27,81,227,275,101,205,275,18,1
개,U+AC1C,0,1,0,1,184,-1,1,162,-1,0,0
객,U+AC1D,0,1,1,81,228,249,101,206,305,27,1
갞,U+AC1E,0,1,2,81,228,250,101,206,306,35,1
갟,U+AC1F,0,1,3,81,228,251,101,206,307,19,1
갠,U+AC20,0,1,4,81,228,252,101,206,308,29,1
갡,U+AC21,0,1,5,81,228,253,101,206,309,38,1
갢,U+AC22,0,1,6,81,228,254,101,206,310,31,1
갣,U+AC23,0,1,7,81,228,255,101,206,311,28,1
갤,U+AC24,0,1,8,81,228,256,101,206,312,23,1
갥,U+AC25,0,1,9,81,228,257,101,206,313,27,1
갦,U+AC26,0,1,10,81,228,258,101,206,314,18,1
갧,U+AC27,0,1,11,81,228,259,101,206,315,18,1
갨,U+AC28,0,1,12,81,228,260,101,206,316,18,1
갩,U+AC29,0,1,13,81,228,261,101,206,317,18,1
