physical_index,char,unicode,sources,v240_piece_indices,official_piece_indices,pixel_hamming,changed,before_bitmap_sha256,after_bitmap_sha256
0,다,U+B2E4,V319 atlas identity; V320 assignment,4/161/-1,4/183/-1,0,0,CC5E6FFA37A144CE9DF7567F3FC9FAB67E983487122EB4E768F09C0E01B923F3,CC5E6FFA37A144CE9DF7567F3FC9FAB67E983487122EB4E768F09C0E01B923F3
1,터,U+D130,V319 atlas identity; V320 assignment,17/165/-1,17/187/-1,0,0,7BA5E33C86C2F2089983A602AFB0D421C6EC850BF84FD59C6BE4BC0C00BBC5C0,7BA5E33C86C2F2089983A602AFB0D421C6EC850BF84FD59C6BE4BC0C00BBC5C0
2,이,U+C774,V319 atlas identity,12/181/-1,12/203/-1,0,0,DB918469C2CEB04B4E78C5FEA87DC84F9DF0FACF986C53250DF232FFBBC5710F,DB918469C2CEB04B4E78C5FEA87DC84F9DF0FACF986C53250DF232FFBBC5710F
3,지,U+C9C0,V319 atlas identity; V320 assignment,13/181/-1,13/203/-1,0,0,E09FD628CDD090C8099241A5E4072786C47094B1024CF37F23431E9799FEEE28,E09FD628CDD090C8099241A5E4072786C47094B1024CF37F23431E9799FEEE28
5,는,U+B294,V319 atlas identity; V320 assignment,103/223/280,123/245/336,51,1,0F779F4F7E601623B95C0D7E17E5F9A21649E0CE8EB50D00BE3272F06D4866B5,23F711B5064276AE6DA9B4A4A4E2E7DE1ACACB44D7EDC0F7D116E8B356D9B260
6,니,U+B2C8,V319 atlas identity; V320 assignment,3/181/-1,3/203/-1,0,0,0D57471CC63372022A5FBF83885C04D8E479E60BA969FC3FE489AC9C8746A9F8,0D57471CC63372022A5FBF83885C04D8E479E60BA969FC3FE489AC9C8746A9F8
8,아,U+C544,V319 atlas identity; V320 assignment,12/161/-1,12/183/-1,0,0,C5F772DD2DAC424E208A2EAE042E10EC7B93C2D0277DF15680BB7923CE3EF0E1,C5F772DD2DAC424E208A2EAE042E10EC7B93C2D0277DF15680BB7923CE3EF0E1
9,들,U+B4E4,V319 atlas identity; V320 assignment,104/223/284,124/245/340,53,1,5A78C4845ADA24F440A5983BAD7BA3EB96288F227273FE61DC8828A5EB300511,5D0BC8039D288169E2B661F52293E19346B1CD23AE23A95FAA57E7B6BB87CA82
11,가,U+AC00,V319 atlas identity; V320 assignment,1/183/-1,1/161/-1,0,0,6100A8028962951007F226B6FA93B9430918F08E5858CD4D13CC6CF1A5720F83,6100A8028962951007F226B6FA93B9430918F08E5858CD4D13CC6CF1A5720F83
12,을,U+C744,V319 atlas identity; V320 assignment,112/223/284,132/245/340,58,1,AA4F07779ED215CE8160C7F9A64EF35C622B203580542BE8A240B27664715D98,C50D71EE69E7545C03EFDD811A44079F3BEDEAE495E96A470B3342D238353370
13,에,U+C5D0,V319 atlas identity; V320 assignment,12/166/-1,12/188/-1,0,0,AB51262C5AF6F2A98C890FB924F563A83609DFCA9400CFA943A79803DBDA7892,AB51262C5AF6F2A98C890FB924F563A83609DFCA9400CFA943A79803DBDA7892
14,의,U+C758,V319 atlas identity; V320 assignment,72/180/-1,72/202/-1,0,0,CA90D713D38226897605594861F2109B59C9AE613B5CC8268BD07C78D47ACE53,CA90D713D38226897605594861F2109B59C9AE613B5CC8268BD07C78D47ACE53
16,째,U+C9F8,V319 atlas identity,14/162/-1,14/184/-1,0,0,0AF647F007B740374F9C3FE2383536FE26351966785DA961EA78D57B232C6CAC,0AF647F007B740374F9C3FE2383536FE26351966785DA961EA78D57B232C6CAC
19,어,U+C5B4,V319 atlas identity; V320 assignment,12/165/-1,12/187/-1,0,0,B7CA1C8027138121DDD0C6B49279935305B518AD3173BDF89D60D1F2800EE41B,B7CA1C8027138121DDD0C6B49279935305B518AD3173BDF89D60D1F2800EE41B
20,그,U+ADF8,V319 atlas identity; V320 assignment,21/201/-1,21/179/-1,0,0,BEDB86E25A596D43A8E272F4D865B768DC7086120F8CC3CA535417D1A79D5483,BEDB86E25A596D43A8E272F4D865B768DC7086120F8CC3CA535417D1A79D5483
21,어,U+C5B4,V319 atlas identity,12/165/-1,12/187/-1,0,0,B7CA1C8027138121DDD0C6B49279935305B518AD3173BDF89D60D1F2800EE41B,B7CA1C8027138121DDD0C6B49279935305B518AD3173BDF89D60D1F2800EE41B
22,드,U+B4DC,V319 atlas identity,24/179/-1,24/201/-1,0,0,A32D802672DF9862F756FCF4BCE11832F083FE75C7CAD1F6925F0E2BEF5035FC,A32D802672DF9862F756FCF4BCE11832F083FE75C7CAD1F6925F0E2BEF5035FC
23,것,U+AC83,V319 atlas identity; V320 assignment,81/231/267,101/209/295,18,1,54837FDE1A35C2F18D4DF1574804DDB261DFD479985CD809CEC4DD201B230603,05B252558BE1CCE621FEFF0424F444FF04D999C01008784A1458FF35D84EEAA4
