char,unicode,cho,jung,jong,v240_cho_beol,official_cho_beol,v240_jong_beol,official_jong_beol,v240_piece_indices,official_piece_indices,pixel_hamming
촌,U+CD0C,14,8,4,5,6,1,3,115/213/280,135/235/336,43
들,U+B4E4,3,18,8,5,6,1,3,104/223/284,124/245/340,53
속,U+C18D,9,8,1,5,6,1,3,110/213/277,130/235/333,36
롭,U+B86D,5,8,17,5,6,1,3,106/213/293,126/235/349,55
론,U+B860,5,8,4,5,6,1,3,106/213/280,126/235/336,49
온,U+C628,11,8,4,5,6,1,3,112/213/280,132/235/336,58
는,U+B294,2,18,4,5,6,1,3,103/223/280,123/245/336,51
봉,U+BD09,7,8,21,5,6,1,3,108/213/297,128/235/353,76
용,U+C6A9,11,12,21,5,6,1,3,112/217/297,132/239/353,72
꽃,U+AF43,1,8,23,5,6,1,3,102/213/299,122/235/355,55
동,U+B3D9,3,8,21,5,6,1,3,104/213/297,124/235/353,65
