state,DAT,site,file_offset,token_hex,control,physical_index,render_physical_index,char
1,1/S1072.DAT,0x47932,293170,96,False,149,149,촌
1,1/S1072.DAT,0x47932,293171,56,False,85,85,장
1,1/S1072.DAT,0x47932,293172,DD 02,False,221,221,:
1,1/S1072.DAT,0x47932,293174,A1,False,160,160, 
1,1/S1072.DAT,0x47932,293175,DD 01,False,220,220,이
1,1/S1072.DAT,0x47932,293177,A1,False,160,160, 
1,1/S1072.DAT,0x47932,293178,1B,False,26,26,말
1,1/S1072.DAT,0x47932,293179,D1,False,208,208,?
1,1/S1072.DAT,0x47932,293180,D2,False,209,209,량
1,1/S1072.DAT,0x47932,293181,DD 01,False,220,220,이
1,1/S1072.DAT,0x47932,293183,A1,False,160,160, 
1,1/S1072.DAT,0x47932,293184,5A,False,89,89,덕
1,1/S1072.DAT,0x47932,293185,92,False,145,145,분
1,1/S1072.DAT,0x47932,293186,0E,False,13,13,에
1,1/S1072.DAT,0x47932,293187,A1,False,160,160, 
1,1/S1072.DAT,0x47932,293188,45,False,68,68,마
1,1/S1072.DAT,0x47932,293189,DE 06,False,480,480,침
1,1/S1072.DAT,0x47932,293191,47,False,70,70,내
1,1/S1072.DAT,0x47932,293192,A1,False,160,160, 
1,1/S1072.DAT,0x47932,293193,DE 47,False,545,545,꺼
1,1/S1072.DAT,0x47932,293195,04,False,3,3,지
1,1/S1072.DAT,0x47932,293196,06,False,5,5,는
1,1/S1072.DAT,0x47932,293197,87,False,134,134,구
1,1/S1072.DAT,0x47932,293198,1E,False,29,29,나
1,1/S1072.DAT,0x47932,293199,21,False,32,32,.
2,1/S1021.DAT,0x47C38,290048,09,False,8,8,아
2,1/S1021.DAT,0x47C38,290049,67,False,102,102,버
2,1/S1021.DAT,0x47C38,290050,04,False,3,3,지
2,1/S1021.DAT,0x47C38,290051,0F,False,14,14,의
2,1/S1021.DAT,0x47C38,290052,A1,False,160,160, 
2,1/S1021.DAT,0x47C38,290053,8A,False,137,137,유
2,1/S1021.DAT,0x47C38,290054,E9 CD,False,48,48,정
2,1/S1021.DAT,0x47C38,290056,35,False,52,52,인
2,1/S1021.DAT,0x47C38,290057,A1,False,160,160, 
2,1/S1021.DAT,0x47C38,290058,DE 0C,False,486,486,갑
2,1/S1021.DAT,0x47C38,290060,DE 99,False,627,627,옷
2,1/S1021.DAT,0x47C38,290062,DD 18,False,243,243,과
2,1/S1021.DAT,0x47C38,290064,A1,False,160,160, 
2,1/S1021.DAT,0x47C38,290065,DD A1,False,380,380,검
2,1/S1021.DAT,0x47C38,290067,0D,False,12,12,을
2,1/S1021.DAT,0x47C38,290068,A1,False,160,160, 
2,1/S1021.DAT,0x47C38,290069,DD 56,False,305,305,찾
2,1/S1021.DAT,0x47C38,290071,DD 2D,False,264,264,았
2,1/S1021.DAT,0x47C38,290073,01,False,0,0,다
2,1/S1021.DAT,0x47C38,290074,21,False,32,32,.
3,1/S1031.DAT,0x4787A,282624,E9 13,False,1809,,<E913>
3,1/S1031.DAT,0x4787A,282626,D4,False,211,211,<D4>
3,1/S1031.DAT,0x4787A,282627,E0 60,False,1080,120,<E060>
3,1/S1031.DAT,0x4787A,282629,E0 60,False,1080,120,<E060>
3,1/S1031.DAT,0x4787A,282631,E0 60,False,1080,120,<E060>
4,D/SD011.DAT,0x47B60,283904,4F,False,78,78,전
4,D/SD011.DAT,0x47B60,283905,9C,False,155,155,)
4,D/SD011.DAT,0x47B60,283906,E0 0A,False,994,34,<E00A>
4,D/SD011.DAT,0x47B60,283908,D5,False,212,212,로
4,D/SD011.DAT,0x47B60,283909,9C,False,155,155,)
4,D/SD011.DAT,0x47B60,283910,DF EF,False,968,8,<DFEF>
4,D/SD011.DAT,0x47B60,283912,E0 60,False,1080,120,<E060>
4,D/SD011.DAT,0x47B60,284032,94,False,147,147,안
4,D/SD011.DAT,0x47B60,284033,8F,False,142,142,라
4,D/SD011.DAT,0x47B60,284034,9C,False,155,155,)
4,D/SD011.DAT,0x47B60,284035,78,False,119,119,않
4,D/SD011.DAT,0x47B60,284036,5D,False,92,92,십
4,D/SD011.DAT,0x47B60,284037,9C,False,155,155,)
4,D/SD011.DAT,0x47B60,284038,DF 30,False,777,777,론
4,D/SD011.DAT,0x47B60,284040,DE 3C,False,534,534,황
4,D/SD011.DAT,0x47B60,284042,51,False,80,80,령
4,D/SD011.DAT,0x47B60,284043,9C,False,155,155,)
4,D/SD011.DAT,0x47B60,284044,B8,False,183,183,<B8>
4,D/SD011.DAT,0x47B60,284045,66,False,101,101,제
4,D/SD011.DAT,0x47B60,284046,E0 60,False,1080,120,<E060>
5,D/SD011.DAT,0x47D58,284160,DE F4,False,718,718,몇
5,D/SD011.DAT,0x47D58,284162,5F,False,94,94,무
5,D/SD011.DAT,0x47D58,284163,9C,False,155,155,)
5,D/SD011.DAT,0x47D58,284164,D4,False,211,211,<D4>
5,D/SD011.DAT,0x47D58,284165,E0 60,False,1080,120,<E060>
5,D/SD011.DAT,0x47D58,282624,E0 0A,False,994,34,<E00A>
5,D/SD011.DAT,0x47D58,282626,56,False,85,85,장
5,D/SD011.DAT,0x47D58,282627,9C,False,155,155,)
5,D/SD011.DAT,0x47D58,282628,94,False,147,147,안
5,D/SD011.DAT,0x47D58,282629,8F,False,142,142,라
5,D/SD011.DAT,0x47D58,282630,9C,False,155,155,)
5,D/SD011.DAT,0x47D58,282631,78,False,119,119,않
5,D/SD011.DAT,0x47D58,282632,5D,False,92,92,십
5,D/SD011.DAT,0x47D58,282633,9C,False,155,155,)
5,D/SD011.DAT,0x47D58,282634,DF 30,False,777,777,론
5,D/SD011.DAT,0x47D58,282636,DE 3C,False,534,534,황
5,D/SD011.DAT,0x47D58,282638,51,False,80,80,령
5,D/SD011.DAT,0x47D58,282639,9C,False,155,155,)
5,D/SD011.DAT,0x47D58,282640,B8,False,183,183,<B8>
5,D/SD011.DAT,0x47D58,282641,66,False,101,101,제
5,D/SD011.DAT,0x47D58,282642,E0 60,False,1080,120,<E060>
