state,ordinal,packet_address,x,y,u,v,w,h,clut,plane,physical_index,char,bitmap_sha256
1,0,0x801BE9BC,46,36,112,32,16,16,0x7FC1,1,149,촌,66E2250BAB7FFAE3395FC1EA0C8652359B90E75B9E97AFBAD3AD27C6E3F7838B
1,1,0x801BE9F0,60,36,96,16,16,16,0x7FC1,1,85,장,0FF9452ED91BA6AC698DDB6983CD474D09C8B5949ADB263DB1FC931ADA453D9B
1,2,0x801BEA24,74,36,160,48,16,16,0x7FC1,1,221,:,12C23CB43ED93BD8E7984570CD47DFCC817FF1C0737537EF72D4E9ED0E54AE35
1,3,0x801BEA58,88,36,160,32,16,16,0x7FC0,0,160, ,66687AADF862BD776C8FC18B8E9F8E20089714856EE233B3902A591D0D5F2925
1,4,0x801BEA8C,94,36,160,48,16,16,0x7FC0,0,220,이,DB918469C2CEB04B4E78C5FEA87DC84F9DF0FACF986C53250DF232FFBBC5710F
1,5,0x801BEAC0,108,36,160,32,16,16,0x7FC0,0,160, ,66687AADF862BD776C8FC18B8E9F8E20089714856EE233B3902A591D0D5F2925
1,6,0x801BEAF4,114,36,96,0,16,16,0x7FC2,2,26,말,83839553B1838ADF0B15AC1E634BB9C32884275591E2258E0604A24ED27E39C8
1,7,0x801BEB28,128,36,112,48,16,16,0x7FC0,0,208,?,F32016C4E1498A96B7D44CDDE973A654342FB65949A4D6A1BBED5C3A9FED6C28
1,8,0x801BEB5C,142,36,112,48,16,16,0x7FC1,1,209,량,51B5FBC7596284523DF4CAF4390F829AA4A02158C640504C4D6BC33CBB271DBB
1,9,0x801BEB90,156,36,160,48,16,16,0x7FC0,0,220,이,DB918469C2CEB04B4E78C5FEA87DC84F9DF0FACF986C53250DF232FFBBC5710F
1,10,0x801BEBC4,170,36,160,32,16,16,0x7FC0,0,160, ,66687AADF862BD776C8FC18B8E9F8E20089714856EE233B3902A591D0D5F2925
1,11,0x801BEBF8,176,36,112,16,16,16,0x7FC1,1,89,덕,650E2691E3376386B31E9C771083738A4471851945379CDA2CB30D3055F23A44
1,12,0x801BEC2C,190,36,96,32,16,16,0x7FC1,1,145,분,ECE40711A1FCAFE35157FE742C9BB80C4151D7CC9BACC69BAA83A7095D52F878
1,13,0x801BEC60,204,36,48,0,16,16,0x7FC1,1,13,에,AB51262C5AF6F2A98C890FB924F563A83609DFCA9400CFA943A79803DBDA7892
1,14,0x801BEC94,218,36,160,32,16,16,0x7FC0,0,160, ,66687AADF862BD776C8FC18B8E9F8E20089714856EE233B3902A591D0D5F2925
1,15,0x801BECC8,224,36,32,16,16,16,0x7FC0,0,68,마,4C1CB323F3FE9B5AA87D4E740FE81D6F38FA902AA60206BDFFBBEB612317C128
1,16,0x801BECFC,238,36,0,128,16,16,0x7FC0,0,480,침,08603931A10D0D82BF297D9E445FCCDE341DCB5AC376B995D055496A9B59F25F
1,17,0x801BED30,252,36,32,16,16,16,0x7FC2,2,70,내,C67DB58E96DCB0C1868EB02C7FAAE4DE467495783F2709174579B5DC688F73A1
1,18,0x801BED64,46,52,160,32,16,16,0x7FC0,0,160, ,66687AADF862BD776C8FC18B8E9F8E20089714856EE233B3902A591D0D5F2925
1,19,0x801BED98,52,52,16,144,16,16,0x7FC1,1,545,꺼,E27A2B816A1428C767B83CC7ABC222D20619EDEC1A8013FD8FB9AF6F35616801
1,20,0x801BEDCC,66,52,0,0,16,16,0x7FC3,3,3,지,E09FD628CDD090C8099241A5E4072786C47094B1024CF37F23431E9799FEEE28
1,21,0x801BEE00,80,52,16,0,16,16,0x7FC1,1,5,는,23F711B5064276AE6DA9B4A4A4E2E7DE1ACACB44D7EDC0F7D116E8B356D9B260
1,22,0x801BEE34,94,52,48,32,16,16,0x7FC2,2,134,구,39371E69B02AB0C1F41B8F7386019599D78A23B24DBD4AC073CF78204837F68B
1,23,0x801BEE68,108,52,112,0,16,16,0x7FC1,1,29,나,DB3057AB4E7F4AA135ABFC49EE792538D33555CD5B2108F28554BE8981C5E8A1
1,24,0x801BEE9C,122,52,128,0,16,16,0x7FC0,0,32,.,0CA4B01EDEB0F01E27A9E8D85F7AE28AF1A0DA5EF73F10D4BA093CDFB19C7BF1
2,0,0x801BF6BC,46,166,32,0,16,16,0x7FC0,0,8,아,C5F772DD2DAC424E208A2EAE042E10EC7B93C2D0277DF15680BB7923CE3EF0E1
2,1,0x801BF6F0,60,166,160,16,16,16,0x7FC2,2,102,버,4224A9549300219D910F85E558BB87C4A260149C926AD44F44B93244481D4072
2,2,0x801BF724,74,166,0,0,16,16,0x7FC3,3,3,지,E09FD628CDD090C8099241A5E4072786C47094B1024CF37F23431E9799FEEE28
2,3,0x801BF758,88,166,48,0,16,16,0x7FC2,2,14,의,CA90D713D38226897605594861F2109B59C9AE613B5CC8268BD07C78D47ACE53
2,4,0x801BF78C,102,166,160,32,16,16,0x7FC0,0,160, ,66687AADF862BD776C8FC18B8E9F8E20089714856EE233B3902A591D0D5F2925
2,5,0x801BF7C0,108,166,64,32,16,16,0x7FC1,1,137,유,7F53214C2911F637A19D4EBBDD32A1B2C64DAFAD4A6EAF874EE355AF6D9133F3
2,6,0x801BF7F4,122,166,192,0,16,16,0x7FC0,0,48,정,8AFDF36E16E88AB656A25FEC4B8978932D22503439CCD05958F17E250CBF3442
2,7,0x801BF828,136,166,208,0,16,16,0x7FC0,0,52,인,E4134343E47DAD9E3BBCC32670A2210CCAAB35A4E720B691DD18A5DDAA5507E7
2,8,0x801BF85C,150,166,160,32,16,16,0x7FC0,0,160, ,66687AADF862BD776C8FC18B8E9F8E20089714856EE233B3902A591D0D5F2925
2,9,0x801BF890,156,166,16,128,16,16,0x7FC2,2,486,갑,F1871CE190BE28BE07E1CC7FA42108C6402EEDD6F6A24025AF88B5F8D1D10E2D
2,10,0x801BF8C4,170,166,96,160,16,16,0x7FC3,3,627,옷,D6994FC6D66330AF65B5FCDA2A2AC20BFCAF8A6B296A15AB72F89FEA22B3AE13
2,11,0x801BF8F8,184,166,0,64,16,16,0x7FC3,3,243,과,183E1C2C4012070B305FADC18D1AFEE977064D7206F7B29352DD7A3BD8C26937
2,12,0x801BF92C,198,166,160,32,16,16,0x7FC0,0,160, ,66687AADF862BD776C8FC18B8E9F8E20089714856EE233B3902A591D0D5F2925
2,13,0x801BF960,204,166,80,96,16,16,0x7FC0,0,380,검,48A17534B61FB5090B68CEA1C7F1C3822B0764EF73456D296A7C4F2CC2382BF8
2,14,0x801BF994,218,166,48,0,16,16,0x7FC0,0,12,을,C50D71EE69E7545C03EFDD811A44079F3BEDEAE495E96A470B3342D238353370
2,15,0x801BF9C8,232,166,160,32,16,16,0x7FC0,0,160, ,66687AADF862BD776C8FC18B8E9F8E20089714856EE233B3902A591D0D5F2925
2,16,0x801BF9FC,238,166,16,80,16,16,0x7FC1,1,305,찾,4DC00FBC8F2110F3804B2212CBB4965E151047BF95ACEA5D9ED3B7ED4EDB76A1
2,17,0x801BFA30,252,166,96,64,16,16,0x7FC0,0,264,았,AC6B5E07D0FED615BF69D5D4A1B6080B3638EE5F528C10D07A107E0316E607B3
2,18,0x801BFA64,46,182,0,0,16,16,0x7FC0,0,0,다,CC5E6FFA37A144CE9DF7567F3FC9FAB67E983487122EB4E768F09C0E01B923F3
2,19,0x801BFA98,60,182,128,0,16,16,0x7FC0,0,32,.,0CA4B01EDEB0F01E27A9E8D85F7AE28AF1A0DA5EF73F10D4BA093CDFB19C7BF1
3,0,0x801BE9BC,94,36,0,128,16,16,0x7FC0,0,480,침,08603931A10D0D82BF297D9E445FCCDE341DCB5AC376B995D055496A9B59F25F
3,1,0x801BE9F0,108,36,112,48,16,16,0x7FC3,3,211,<211>,66687AADF862BD776C8FC18B8E9F8E20089714856EE233B3902A591D0D5F2925
3,2,0x801BEA24,122,36,0,32,16,16,0x7FC0,0,120,러,ADF1BBC8A8A2504038FCFBAF38A62CCD62AE2DDC9AC1F55A3AA81084E33BD431
3,3,0x801BEA58,136,36,0,32,16,16,0x7FC0,0,120,러,ADF1BBC8A8A2504038FCFBAF38A62CCD62AE2DDC9AC1F55A3AA81084E33BD431
3,4,0x801BEA8C,150,36,0,32,16,16,0x7FC0,0,120,러,ADF1BBC8A8A2504038FCFBAF38A62CCD62AE2DDC9AC1F55A3AA81084E33BD431
4,0,0x801BE9BC,94,36,64,16,16,16,0x7FC2,2,78,전,E9B7C80DAFFD2053DD1033D49B8E1C41D69E26327539BB365481E55AF9A30888
4,1,0x801BE9F0,108,36,128,32,16,16,0x7FC3,3,155,),1C4D0B9F39B3F838E328052A161B863541FBD07E954B378DC320256C2CF206D7
4,2,0x801BEA24,122,36,128,0,16,16,0x7FC2,2,34,<34>,66687AADF862BD776C8FC18B8E9F8E20089714856EE233B3902A591D0D5F2925
4,3,0x801BEA58,136,36,128,48,16,16,0x7FC0,0,212,로,088EB5032D9B9740C707FB62B2D5D7249FE2A24BCFA757E3900B4136F79B9CB9
4,4,0x801BEA8C,150,36,128,32,16,16,0x7FC3,3,155,),1C4D0B9F39B3F838E328052A161B863541FBD07E954B378DC320256C2CF206D7
4,5,0x801BEAC0,164,36,32,0,16,16,0x7FC0,0,8,아,C5F772DD2DAC424E208A2EAE042E10EC7B93C2D0277DF15680BB7923CE3EF0E1
4,6,0x801BEAF4,178,36,0,32,16,16,0x7FC0,0,120,러,ADF1BBC8A8A2504038FCFBAF38A62CCD62AE2DDC9AC1F55A3AA81084E33BD431
4,7,0x801BEB28,94,52,96,32,16,16,0x7FC3,3,147,안,33601E33E261A48F1F97BB08C5023B85D7717C1C73345E257019A04256CDF5B3
4,8,0x801BEB5C,108,52,80,32,16,16,0x7FC2,2,142,라,23A656796D587893E6F5F1FD6E72222F5A36402B5A2FB1FD065663B82DE87C61
4,9,0x801BEB90,122,52,128,32,16,16,0x7FC3,3,155,),1C4D0B9F39B3F838E328052A161B863541FBD07E954B378DC320256C2CF206D7
4,10,0x801BEBC4,136,52,224,16,16,16,0x7FC3,3,119,않,8E1CE0AE874E4F7F3C59E7D37E058E99951EA1619621D595003BE0AE33DCB2F2
4,11,0x801BEBF8,150,52,128,16,16,16,0x7FC0,0,92,십,25EA6405B9CC94689C2A30CC3A490858507E3808553B53AD71A71B7AFA87FF52
4,12,0x801BEC2C,164,52,128,32,16,16,0x7FC3,3,155,),1C4D0B9F39B3F838E328052A161B863541FBD07E954B378DC320256C2CF206D7
4,13,0x801BEC60,178,52,224,192,16,16,0x7FC1,1,777,론,08AFEC903F6F1994688BE72FA07535B612C98EE55825A94E0E519F62032C8A31
4,14,0x801BEC94,192,52,208,128,16,16,0x7FC2,2,534,황,4ECFCAFF6C72D07C9052D2DD282F30A821DDE82ABF36A726B3135F235B676676
4,15,0x801BECC8,206,52,80,16,16,16,0x7FC0,0,80,령,BBBEEF5B6734408C9E470F29909B3E20EBCD4120FC37AC4168FFE6AFFC8364A5
4,16,0x801BECFC,220,52,128,32,16,16,0x7FC3,3,155,),1C4D0B9F39B3F838E328052A161B863541FBD07E954B378DC320256C2CF206D7
4,17,0x801BED30,234,52,0,48,16,16,0x7FC3,3,183,<183>,66687AADF862BD776C8FC18B8E9F8E20089714856EE233B3902A591D0D5F2925
4,18,0x801BED64,248,52,160,16,16,16,0x7FC1,1,101,제,BE82A07150063CA6D37EE41E43B632A60A7552B268F2EC165D971BDF87BFE37B
4,19,0x801BED98,94,68,0,32,16,16,0x7FC0,0,120,러,ADF1BBC8A8A2504038FCFBAF38A62CCD62AE2DDC9AC1F55A3AA81084E33BD431
5,0,0x801BE9BC,94,36,224,176,16,16,0x7FC2,2,718,몇,4CC1B848F6FC9AA92A513BDDF120271CD1165F80300C28B00963413E1460073D
5,1,0x801BE9F0,108,36,128,16,16,16,0x7FC2,2,94,무,44206DC1B7EC2DA761C6E743D3814F162E4A3C12CA6F15307376AB452E84B426
5,2,0x801BEA24,122,36,128,32,16,16,0x7FC3,3,155,),1C4D0B9F39B3F838E328052A161B863541FBD07E954B378DC320256C2CF206D7
5,3,0x801BEA58,136,36,112,48,16,16,0x7FC3,3,211,<211>,66687AADF862BD776C8FC18B8E9F8E20089714856EE233B3902A591D0D5F2925
5,4,0x801BEA8C,150,36,0,32,16,16,0x7FC0,0,120,러,ADF1BBC8A8A2504038FCFBAF38A62CCD62AE2DDC9AC1F55A3AA81084E33BD431
5,5,0x801BEAC0,94,52,128,0,16,16,0x7FC2,2,34,<34>,66687AADF862BD776C8FC18B8E9F8E20089714856EE233B3902A591D0D5F2925
5,6,0x801BEAF4,108,52,96,16,16,16,0x7FC1,1,85,장,0FF9452ED91BA6AC698DDB6983CD474D09C8B5949ADB263DB1FC931ADA453D9B
5,7,0x801BEB28,122,52,128,32,16,16,0x7FC3,3,155,),1C4D0B9F39B3F838E328052A161B863541FBD07E954B378DC320256C2CF206D7
5,8,0x801BEB5C,136,52,96,32,16,16,0x7FC3,3,147,안,33601E33E261A48F1F97BB08C5023B85D7717C1C73345E257019A04256CDF5B3
5,9,0x801BEB90,150,52,80,32,16,16,0x7FC2,2,142,라,23A656796D587893E6F5F1FD6E72222F5A36402B5A2FB1FD065663B82DE87C61
5,10,0x801BEBC4,164,52,128,32,16,16,0x7FC3,3,155,),1C4D0B9F39B3F838E328052A161B863541FBD07E954B378DC320256C2CF206D7
5,11,0x801BEBF8,178,52,224,16,16,16,0x7FC3,3,119,않,8E1CE0AE874E4F7F3C59E7D37E058E99951EA1619621D595003BE0AE33DCB2F2
5,12,0x801BEC2C,192,52,128,16,16,16,0x7FC0,0,92,십,25EA6405B9CC94689C2A30CC3A490858507E3808553B53AD71A71B7AFA87FF52
