state,header,base,limit,count,source_pointer,D,E,F,line_extra,text,expected_ink,buffer0_white,buffer1_white,buffer0_ratio,buffer1_ratio,best_ratio
1,0x801F9D44,0x801BE9BC,64,25,0x80116950,14,16,2,0,"촌장: 이 말?량이 덕분에 마침내
 꺼지는구나.",1019,1019,1019,1.0,1.0,1.0
1,0x801F9D88,0x801BF6BC,64,0,0x00000000,14,16,2,0,,0,0,0,0.0,0.0,0.0
1,0x801F031C,0x801EFC9C,32,1,0x8019C262,14,16,2,0,건,53,0,0,0.0,0.0,0.0
2,0x801F9D44,0x801BE9BC,64,35,0x80117931,14,16,2,0,"아버지: 포르타... 그날까지 우
리 아이 아크를 부탁하오!",1136,0,0,0.0,0.0,0.0
2,0x801F9D88,0x801BF6BC,64,20,0x80116C4C,14,16,2,0,"아버지의 유정인 갑옷과 검을 찾았
다.",893,893,893,1.0,1.0,1.0
2,0x801F031C,0x801EFC9C,32,1,0x8019C258,14,16,2,0,짓,56,0,0,0.0,0.0,0.0
3,0x801F9D44,0x801BE9BC,64,5,0x80116883,14,16,2,0,침<211>러러러,233,233,233,1.0,1.0,1.0
3,0x801F9D88,0x801BF6BC,64,0,0x80116C4C,14,16,2,0,,0,0,0,0.0,0.0,0.0
3,0x801F031C,0x801EFC9C,32,1,0x8019C258,14,16,2,0,짓,56,0,0,0.0,0.0,0.0
4,0x801F9D44,0x801BE9BC,64,20,0x80116B7D,14,16,2,0,"전)<34>로)아러
안라)않십)론황령)<183>제
러",909,909,909,1.0,1.0,1.0
4,0x801F9D88,0x801BF6BC,64,0,0x80116C4C,14,16,2,0,,0,0,0,0.0,0.0,0.0
4,0x801F031C,0x801EFC9C,32,1,0x8019C262,14,16,2,0,건,53,0,0,0.0,0.0,0.0
5,0x801F9D44,0x801BE9BC,64,21,0x80116D71,14,16,2,0,"몇무)<211>러
<34>장)안라)않십)론황령
)<183>제러",934,934,934,1.0,1.0,1.0
5,0x801F9D88,0x801BF6BC,64,0,0x80116C4C,14,16,2,0,,0,0,0,0.0,0.0,0.0
5,0x801F031C,0x801EFC9C,32,1,0x8019C262,14,16,2,0,건,53,0,0,0.0,0.0,0.0
6,0x801F9D44,0x801BE9BC,64,0,0x801174A7,14,16,2,0,,0,0,0,0.0,0.0,0.0
6,0x801F9D88,0x801BF6BC,64,0,0x80116BE9,14,16,2,0,,0,0,0,0.0,0.0,0.0
6,0x801F031C,0x801EFC9C,32,1,0x8019C262,14,16,2,0,건,53,4,4,0.07547169811320754,0.07547169811320754,0.07547169811320754
6,0x801F0E18,0x801F0798,32,28,0x00000000,14,16,2,0,"전라)전)장끼를)정끼하시겠습니까보
예))))))아니요",1275,1275,1275,1.0,1.0,1.0
