page_x,page_y,u,v,logical_x,logical_y,packet_overlap_count,state_overlap_count,runtime_nonzero_state_count,runtime_nonzero_pixel_count
5,1,0,208,0,464,357,129,0,0
5,1,16,208,16,464,357,129,0,0
5,1,32,208,32,464,208,130,0,0
5,1,48,208,48,464,208,130,0,0
5,1,64,208,64,464,190,130,0,0
5,1,80,208,80,464,118,61,0,0
5,1,96,208,96,464,118,61,0,0
5,1,112,208,112,464,115,61,0,0
5,1,128,208,128,464,55,54,0,0
5,1,144,208,144,464,61,57,0,0
8,1,0,0,768,256,355,305,0,0
8,1,0,16,768,272,355,305,0,0
8,1,0,32,768,288,363,319,0,0
8,1,0,48,768,304,361,319,0,0
8,1,0,64,768,320,349,304,0,0
8,1,0,80,768,336,349,304,0,0
8,1,0,96,768,352,333,290,0,0
8,1,0,112,768,368,329,288,0,0
8,1,0,128,768,384,323,275,0,0
8,1,0,144,768,400,356,282,0,0
8,1,0,160,768,416,463,265,0,0
8,1,0,176,768,432,501,264,0,0
8,1,0,192,768,448,479,268,0,0
8,1,0,208,768,464,451,238,0,0
8,1,16,0,784,256,357,305,0,0
8,1,16,16,784,272,358,306,0,0
8,1,16,32,784,288,366,320,0,0
8,1,16,48,784,304,364,320,0,0
8,1,16,64,784,320,351,304,0,0
8,1,16,80,784,336,351,304,0,0
8,1,16,96,784,352,335,289,0,0
8,1,16,112,784,368,331,287,0,0
8,1,16,128,784,384,323,275,0,0
8,1,16,144,784,400,340,283,0,0
8,1,16,160,784,416,426,235,0,0
8,1,16,176,784,432,467,234,0,0
8,1,16,192,784,448,462,240,0,0
8,1,16,208,784,464,455,240,0,0
8,1,32,0,800,256,323,270,0,0
8,1,32,16,800,272,325,270,0,0
8,1,32,32,800,288,226,213,0,0
8,1,32,48,800,304,223,213,0,0
8,1,32,64,800,320,206,195,0,0
8,1,32,80,800,336,206,195,0,0
8,1,32,96,800,352,200,180,0,0
8,1,32,112,800,368,188,174,0,0
8,1,32,128,800,384,180,160,0,0
8,1,32,144,800,400,179,168,0,0
8,1,32,160,800,416,243,161,0,0
