file_offset,ram_address,before,after,region
0x3E14,0x8011E614,1F,F6,initializer_hook
0x3E15,0x8011E615,80,A6,initializer_hook
0x3E16,0x8011E616,11,06,initializer_hook
0x3E17,0x8011E617,3C,0C,initializer_hook
0x3E18,0x8011E618,BC,00,initializer_hook
0x3E19,0x8011E619,52,00,initializer_hook
0x3E1A,0x8011E61A,31,00,initializer_hook
0x3E1B,0x8011E61B,26,00,initializer_hook
0x74F50,0x8018F750,40,C0,range_tpage_descriptor
0x74F51,0x8018F751,01,03,range_tpage_descriptor
0x74F55,0x8018F755,00,01,range_tpage_descriptor
0x750FA,0x8018F8FA,80,BF,range_uv_table
0x750FE,0x8018F8FE,80,BF,range_uv_table
0x75102,0x8018F902,A0,DF,range_uv_table
0x75106,0x8018F906,A0,DF,range_uv_table
0x7510A,0x8018F90A,80,BF,range_uv_table
0x7510E,0x8018F90E,80,BF,range_uv_table
0x75112,0x8018F912,A0,DF,range_uv_table
0x75116,0x8018F916,A0,DF,range_uv_table
0x7511A,0x8018F91A,A0,DF,range_uv_table
0x7511E,0x8018F91E,80,BF,range_uv_table
0x75122,0x8018F922,A0,DF,range_uv_table
0x75126,0x8018F926,80,BF,range_uv_table
0x7512A,0x8018F92A,A0,DF,range_uv_table
0x7512E,0x8018F92E,A0,DF,range_uv_table
0x75132,0x8018F932,80,BF,range_uv_table
0x75136,0x8018F936,80,BF,range_uv_table
0x7513A,0x8018F93A,80,BF,range_uv_table
0x7513E,0x8018F93E,A0,DF,range_uv_table
0x75142,0x8018F942,80,BF,range_uv_table
0x75146,0x8018F946,A0,DF,range_uv_table
0x7514A,0x8018F94A,80,BF,range_uv_table
0x7514E,0x8018F94E,A0,DF,range_uv_table
0x75152,0x8018F952,80,BF,range_uv_table
0x75156,0x8018F956,A0,DF,range_uv_table
0x7515A,0x8018F95A,80,BF,range_uv_table
0x7515E,0x8018F95E,80,BF,range_uv_table
0x75162,0x8018F962,A0,DF,range_uv_table
0x75166,0x8018F966,A0,DF,range_uv_table
0x7516A,0x8018F96A,A0,DF,range_uv_table
0x7516E,0x8018F96E,80,BF,range_uv_table
0x75172,0x8018F972,A0,DF,range_uv_table
0x75176,0x8018F976,80,BF,range_uv_table
0x7517A,0x8018F97A,A0,DF,range_uv_table
0x7517E,0x8018F97E,A0,DF,range_uv_table
0x75182,0x8018F982,80,BF,range_uv_table
0x75186,0x8018F986,80,BF,range_uv_table
0x8F3D8,0x801A9BD8,00,30,upload_helper_and_rle
0x8F3D9,0x801A9BD9,00,FE,upload_helper_and_rle
0x8F3DA,0x801A9BDA,00,BD,upload_helper_and_rle
0x8F3DB,0x801A9BDB,00,27,upload_helper_and_rle
0x8F3DC,0x801A9BDC,00,CC,upload_helper_and_rle
0x8F3DD,0x801A9BDD,00,01,upload_helper_and_rle
0x8F3DE,0x801A9BDE,00,BF,upload_helper_and_rle
0x8F3DF,0x801A9BDF,00,AF,upload_helper_and_rle
0x8F3E0,0x801A9BE0,00,C8,upload_helper_and_rle
