file,game_id,lineage,reader_packets,nonzero_halfwords,reader_examples
HASH-101175C83D552C3_1.sav,arc1_v217_full_selected_destinat,historical,1,825,"SPRT@2149272936:tp=31,uv=0,160,wh=128x96"
HASH-101175C83D552C3_2.sav,arc1_v217_full_selected_destinat,historical,1,825,"SPRT@2149272936:tp=31,uv=0,160,wh=128x96"
HASH-101175C83D552C3_3.sav,arc1_v217_full_selected_destinat,historical,0,825,
HASH-101175C83D552C3_resume.sav,arc1_v217_full_selected_destinat,historical,0,825,
HASH-114D2FC633C88FCE_1.sav,V228_CLAUDE,historical,0,0,
HASH-114D2FC633C88FCE_2.sav,V228_CLAUDE,historical,0,0,
HASH-114D2FC633C88FCE_resume.sav,V228_CLAUDE,historical,0,0,
HASH-11CEE3D6EFD0E09B_resume.sav,arc1,historical,0,0,
HASH-124B7457BEE4A10F_1.sav,arc1_v104,historical,0,0,
HASH-124B7457BEE4A10F_2.sav,arc1_v104,historical,0,0,
HASH-124B7457BEE4A10F_3.sav,arc1_v104,historical,0,0,
HASH-124B7457BEE4A10F_4.sav,arc1_v104,historical,0,0,
HASH-124B7457BEE4A10F_5.sav,arc1_v104,historical,0,0,
HASH-124B7457BEE4A10F_6.sav,arc1_v104,historical,0,0,
HASH-124B7457BEE4A10F_7.sav,arc1_v104,historical,0,0,
HASH-124B7457BEE4A10F_resume.sav,arc1_v104,historical,0,0,
HASH-12BD1585B27C0E7E_resume.sav,arc1_v104,historical,0,0,
HASH-1460072D2304F8E2_1.sav,J16RELOC,historical,0,0,
HASH-1460072D2304F8E2_2.sav,J16RELOC,historical,0,0,
HASH-1460072D2304F8E2_3.sav,J16RELOC,historical,0,0,
HASH-1460072D2304F8E2_resume.sav,J16RELOC,historical,0,0,
HASH-16E02DB5ADC15916_1.sav,V224_CLAUDE,historical,0,0,
HASH-16E02DB5ADC15916_2.sav,V224_CLAUDE,historical,0,0,
HASH-16E02DB5ADC15916_3.sav,V224_CLAUDE,historical,0,0,
HASH-16E02DB5ADC15916_resume.sav,V224_CLAUDE,historical,0,0,
HASH-173A20935C195812_1.sav,arc1,historical,0,0,
HASH-173A20935C195812_resume.sav,arc1,historical,0,0,
HASH-17493FFCCFAA8DB8_1.sav,arc1_v104,historical,0,0,
HASH-17493FFCCFAA8DB8_resume.sav,arc1_v104,historical,0,0,
HASH-1820FA8E2030B89F_1.sav,arc1,historical,0,0,
HASH-1820FA8E2030B89F_2.sav,arc1,historical,0,0,
HASH-1820FA8E2030B89F_resume.sav,arc1,historical,0,0,
HASH-1FED06A872FD3D31_1.sav,V242,historical,0,0,
HASH-1FED06A872FD3D31_2.sav,V242,historical,0,0,
HASH-1FED06A872FD3D31_resume.sav,V242,historical,0,0,
HASH-21806B09E3591E67_resume.sav,PSX,historical,0,0,
HASH-244AAEDCE95C4ACA_1.sav,arc1,historical,0,0,
HASH-244AAEDCE95C4ACA_2.sav,arc1,historical,0,0,
HASH-244AAEDCE95C4ACA_3.sav,arc1,historical,0,0,
HASH-244AAEDCE95C4ACA_4.sav,arc1,historical,0,0,
HASH-244AAEDCE95C4ACA_5.sav,arc1,historical,0,0,
HASH-244AAEDCE95C4ACA_resume.sav,arc1,historical,0,0,
HASH-246E084F1646D020_resume.sav,������ ��� ������1 V0.2 (�������,historical,0,0,
HASH-248CA1D38AB9CFA9_1.sav,arc1_v211_cache_row32_worldmap_p,historical,0,0,
HASH-248CA1D38AB9CFA9_2.sav,arc1_v211_cache_row32_worldmap_p,historical,1,825,"SPRT@2149295796:tp=31,uv=0,160,wh=128x96"
HASH-248CA1D38AB9CFA9_resume.sav,arc1_v211_cache_row32_worldmap_p,historical,1,825,"SPRT@2149295796:tp=31,uv=0,160,wh=128x96"
HASH-24C179AA0A196FA8_1.sav,arc1,historical,0,0,
HASH-24C179AA0A196FA8_2.sav,arc1,historical,0,0,
HASH-24C179AA0A196FA8_3.sav,arc1,historical,0,0,
HASH-24C179AA0A196FA8_resume.sav,arc1,historical,0,0,
HASH-25FA60F07D900E47_1.sav,V298,historical,0,0,
HASH-25FA60F07D900E47_2.sav,V298,historical,0,0,
HASH-25FA60F07D900E47_3.sav,V298,historical,0,0,
HASH-25FA60F07D900E47_4.sav,V298,historical,0,0,
HASH-25FA60F07D900E47_resume.sav,V299,historical,0,0,
HASH-28993E933C9CD62D_resume.sav,V293,historical,0,0,
HASH-29AE5BAC4C80EDA8_1.sav,V322,current,0,0,
HASH-29AE5BAC4C80EDA8_2.sav,V321,current,0,0,
HASH-29AE5BAC4C80EDA8_3.sav,V321,current,0,0,
HASH-29AE5BAC4C80EDA8_resume.sav,V322,current,0,0,
HASH-29EFD29BD74A5AE5_1.sav,arc1,historical,0,0,
HASH-29EFD29BD74A5AE5_2.sav,arc1,historical,0,0,
HASH-29EFD29BD74A5AE5_3.sav,arc1,historical,0,0,
HASH-29EFD29BD74A5AE5_4.sav,arc1,historical,0,0,
HASH-29EFD29BD74A5AE5_5.sav,arc1,historical,0,0,
HASH-29EFD29BD74A5AE5_6.sav,arc1,historical,0,0,
HASH-29EFD29BD74A5AE5_resume.sav,arc1,historical,0,0,
HASH-2AEFB45E609D739C_1.sav,arc1_v104,historical,0,0,
HASH-2AEFB45E609D739C_2.sav,arc1_v104,historical,0,0,
HASH-2AEFB45E609D739C_resume.sav,arc1_v104,historical,0,0,
HASH-2BA5158819E37714_1.sav,arc1,historical,0,0,
HASH-2BA5158819E37714_2.sav,arc1,historical,0,0,
HASH-2BA5158819E37714_3.sav,arc1,historical,0,0,
HASH-2BA5158819E37714_4.sav,arc1,historical,0,0,
HASH-2BA5158819E37714_5.sav,arc1,historical,0,0,
HASH-2BA5158819E37714_resume.sav,arc1,historical,0,0,
HASH-2C56234E73DBBF7A_resume.sav,TEST,historical,0,0,
HASH-2C8AA6888201A932_1.sav,arc1,historical,0,0,
HASH-2C8AA6888201A932_resume.sav,arc1,historical,0,0,
HASH-2F53694C69D8FD6C_resume.sav,V241,historical,0,0,
HASH-30502498B39014FB_resume.sav,arc1,historical,0,0,
HASH-31AE820EA250BDE2_1.sav,arc1_v104,historical,0,0,
HASH-31AE820EA250BDE2_resume.sav,D_pristine,historical,0,0,
HASH-340476B50F5F94CD_1.sav,arc1_v104,historical,0,0,
HASH-340476B50F5F94CD_2.sav,arc1_v104,historical,0,0,
HASH-340476B50F5F94CD_3.sav,arc1_v104,historical,0,0,
HASH-340476B50F5F94CD_4.sav,arc1_v104,historical,0,0,
HASH-340476B50F5F94CD_5.sav,arc1_v104,historical,0,0,
HASH-340476B50F5F94CD_6.sav,arc1_v104,historical,0,0,
HASH-340476B50F5F94CD_7.sav,arc1_v104,historical,0,0,
HASH-340476B50F5F94CD_8.sav,arc1_v104,historical,0,0,
HASH-340476B50F5F94CD_resume.sav,arc1_v104,historical,0,0,
HASH-3426B60651CB81F3_1.sav,arc1_v220_separate_decode_scratc,historical,0,0,
HASH-3426B60651CB81F3_2.sav,arc1_v220_separate_decode_scratc,historical,0,0,
HASH-3426B60651CB81F3_3.sav,arc1_v220_separate_decode_scratc,historical,0,0,
HASH-3426B60651CB81F3_resume.sav,arc1_v220_separate_decode_scratc,historical,0,0,
HASH-34DD9995186BAAF8_1.sav,V240,historical,0,0,
HASH-34DD9995186BAAF8_2.sav,V268,historical,0,0,
HASH-34DD9995186BAAF8_resume.sav,V240,historical,0,0,
HASH-34E8144558DBA721_1.sav,J16E2A,historical,0,0,
HASH-34E8144558DBA721_resume.sav,J16E2A,historical,0,0,
HASH-358B87AC2668840B_1.sav,arc1_v104,historical,0,0,
