file_offset,runtime_or_loaded_address,before,after,region
0x3E14,0x8011E614,1F,22,range_initializer_hook
0x3E15,0x8011E615,80,FD,range_initializer_hook
0x3E16,0x8011E616,11,07,range_initializer_hook
0x3E17,0x8011E617,3C,0C,range_initializer_hook
0x3E18,0x8011E618,BC,00,range_initializer_hook
0x3E19,0x8011E619,52,00,range_initializer_hook
0x3E1A,0x8011E61A,31,00,range_initializer_hook
0x3E1B,0x8011E61B,26,00,range_initializer_hook
0x74F50,0x8018F750,40,C0,range_tpage_descriptor
0x74F51,0x8018F751,01,03,range_tpage_descriptor
0x74F55,0x8018F755,00,01,range_tpage_descriptor
0x750FA,0x8018F8FA,80,BF,range_uv_table
0x750FE,0x8018F8FE,80,BF,range_uv_table
0x75102,0x8018F902,A0,DF,range_uv_table
0x75106,0x8018F906,A0,DF,range_uv_table
0x7510A,0x8018F90A,80,BF,range_uv_table
0x7510E,0x8018F90E,80,BF,range_uv_table
0x75112,0x8018F912,A0,DF,range_uv_table
0x75116,0x8018F916,A0,DF,range_uv_table
0x7511A,0x8018F91A,A0,DF,range_uv_table
0x7511E,0x8018F91E,80,BF,range_uv_table
0x75122,0x8018F922,A0,DF,range_uv_table
0x75126,0x8018F926,80,BF,range_uv_table
0x7512A,0x8018F92A,A0,DF,range_uv_table
0x7512E,0x8018F92E,A0,DF,range_uv_table
0x75132,0x8018F932,80,BF,range_uv_table
0x75136,0x8018F936,80,BF,range_uv_table
0x7513A,0x8018F93A,80,BF,range_uv_table
0x7513E,0x8018F93E,A0,DF,range_uv_table
0x75142,0x8018F942,80,BF,range_uv_table
0x75146,0x8018F946,A0,DF,range_uv_table
0x7514A,0x8018F94A,80,BF,range_uv_table
0x7514E,0x8018F94E,A0,DF,range_uv_table
0x75152,0x8018F952,80,BF,range_uv_table
0x75156,0x8018F956,A0,DF,range_uv_table
0x7515A,0x8018F95A,80,BF,range_uv_table
0x7515E,0x8018F95E,80,BF,range_uv_table
0x75162,0x8018F962,A0,DF,range_uv_table
0x75166,0x8018F966,A0,DF,range_uv_table
0x7516A,0x8018F96A,A0,DF,range_uv_table
0x7516E,0x8018F96E,80,BF,range_uv_table
0x75172,0x8018F972,A0,DF,range_uv_table
0x75176,0x8018F976,80,BF,range_uv_table
0x7517A,0x8018F97A,A0,DF,range_uv_table
0x7517E,0x8018F97E,A0,DF,range_uv_table
0x75182,0x8018F982,80,BF,range_uv_table
0x75186,0x8018F986,80,BF,range_uv_table
0x8CD2A,0x801A752A,E1,3F,packed_e9ea_lookup
0x8CD2B,0x801A752B,06,E5,packed_e9ea_lookup
0x8CD2C,0x801A752C,9F,99,packed_e9ea_lookup
0x8CD2E,0x801A752E,D5,9C,packed_e9ea_lookup
0x8CD2F,0x801A752F,63,62,packed_e9ea_lookup
0x8CD35,0x801A7535,E5,46,packed_e9ea_lookup
0x8CD37,0x801A7537,38,30,packed_e9ea_lookup
0x8CD38,0x801A7538,78,4F,packed_e9ea_lookup
0x8CD39,0x801A7539,C4,77,packed_e9ea_lookup
0x8CD3A,0x801A753A,2F,2E,packed_e9ea_lookup
0x8CD3F,0x801A753F,20,80,packed_e9ea_lookup
0x8CD40,0x801A7540,EC,50,packed_e9ea_lookup
0x8CD47,0x801A7547,88,08,packed_e9ea_lookup
0x8CD48,0x801A7548,8B,09,packed_e9ea_lookup
0x8CD49,0x801A7549,8B,19,packed_e9ea_lookup
0x8CD4A,0x801A754A,BD,AA,packed_e9ea_lookup
0x8CD4C,0x801A754C,63,87,packed_e9ea_lookup
0x8CD4D,0x801A754D,57,52,packed_e9ea_lookup
0x8CD57,0x801A7557,49,5F,packed_e9ea_lookup
0x8CD58,0x801A7558,2F,2A,packed_e9ea_lookup
0x8CD59,0x801A7559,80,00,packed_e9ea_lookup
0x8CD5A,0x801A755A,D2,98,packed_e9ea_lookup
0x8CD5B,0x801A755B,0D,0C,packed_e9ea_lookup
0x8CD5F,0x801A755F,48,C8,packed_e9ea_lookup
0x8CD60,0x801A7560,9C,46,packed_e9ea_lookup
