slot,code_hex,old_value,source_id,char,new_physical,occurrences,mode
7,E9 08,1805,269,놓,509,0,verified_static_hanme
8,E9 09,1798,262,뜨,485,0,verified_static_hanme
10,E9 0B,1878,342,텐,626,0,verified_static_hanme
15,E9 10,1834,298,렴,562,0,verified_static_hanme
17,E9 12,1799,263,갑,486,2,verified_static_hanme
18,E9 13,1809,273,엄,477,4,verified_static_hanme
23,E9 18,1889,353,밤,644,0,verified_static_hanme
29,E9 1E,1815,279,름,530,0,verified_static_hanme
30,E9 1F,1890,354,춰,646,0,verified_static_hanme
32,E9 21,1891,355,옆,647,0,verified_static_hanme
40,E9 29,1865,329,뭘,607,0,verified_static_hanme
42,E9 2B,1866,330,죄,608,0,verified_static_hanme
46,E9 2F,1810,274,통,434,0,verified_static_hanme
47,E9 30,1924,388,맵,690,0,verified_static_hanme
52,E9 35,1850,314,깐,587,0,verified_static_hanme
55,E9 38,1790,254,튼,466,1,verified_static_hanme
57,E9 3A,1800,264,볼,299,0,verified_static_hanme
58,E9 3B,1835,299,낙,564,0,verified_static_hanme
59,E9 3C,1836,300,억,301,0,verified_static_hanme
61,E9 3E,1837,301,듯,565,0,verified_static_hanme
62,E9 3F,1826,290,착,549,0,verified_static_hanme
63,E9 40,1893,357,콜,649,0,verified_static_hanme
64,E9 41,1817,281,빠,527,0,verified_static_hanme
66,E9 43,1827,291,혀,551,0,verified_static_hanme
67,E9 44,1812,276,립,521,0,verified_static_hanme
68,E9 45,1814,278,또,553,0,verified_static_hanme
73,E9 4A,1852,316,겸,588,0,verified_static_hanme
74,E9 4B,1868,332,끔,612,0,verified_static_hanme
77,E9 4E,1317,,<unresolved high physical>,160,0,unused_invalid_static_failclosed_blank
79,E9 50,1869,333,껏,613,0,verified_static_hanme
80,E9 51,1844,308,굴,577,1,verified_static_hanme
82,E9 53,1796,260,긴,470,0,verified_static_hanme
84,E9 55,1839,303,달,569,0,verified_static_hanme
86,E9 57,1870,334,훌,335,0,verified_static_hanme
87,E9 58,1829,293,먹,576,1,verified_static_hanme
88,E9 59,1853,317,근,589,0,verified_static_hanme
89,E9 5A,1871,335,쁜,616,0,verified_static_hanme
90,E9 5B,1801,265,잊,491,0,verified_static_hanme
92,E9 5D,1909,373,럽,671,0,verified_static_hanme
93,E9 5E,1910,374,껴,672,0,verified_static_hanme
95,E9 60,1797,261,견,484,0,verified_static_hanme
97,E9 62,1880,344,쩌,631,0,verified_static_hanme
98,E9 63,1338,,<unresolved high physical>,160,0,unused_invalid_static_failclosed_blank
100,E9 65,1896,360,청,654,0,verified_static_hanme
102,E9 67,1883,347,답,634,0,verified_static_hanme
103,E9 68,1832,296,땅,557,0,verified_static_hanme
104,E9 69,1811,275,밀,525,2,verified_static_hanme
105,E9 6A,1818,282,란,536,0,verified_static_hanme
106,E9 6B,1803,267,듣,507,0,verified_static_hanme
107,E9 6C,1845,309,햣,581,0,verified_static_hanme
108,E9 6D,1926,390,엽,692,0,verified_static_hanme
109,E9 6E,1872,336,딘,619,0,verified_static_hanme
110,E9 6F,1897,361,떨,655,0,verified_static_hanme
111,E9 70,1855,319,쨌,591,0,verified_static_hanme
112,E9 71,1802,266,료,492,0,verified_static_hanme
113,E9 72,1843,307,범,573,1,verified_static_hanme
117,E9 76,1928,392,긋,694,0,verified_static_hanme
119,E9 78,1840,304,훗,539,0,verified_static_hanme
120,E9 79,1911,375,힌,656,1,verified_static_hanme
121,E9 7A,1846,310,셈,592,0,verified_static_hanme
125,E9 7E,1884,348,킨,657,0,verified_static_hanme
126,E9 7F,1912,376,권,674,0,verified_static_hanme
127,E9 80,1930,394,탐,695,0,verified_static_hanme
128,E9 81,1808,272,설,514,0,verified_static_hanme
131,E9 84,1914,378,맙,676,0,verified_static_hanme
