state,header,base,limit,count,x,y,D,E,F,line_extra,source_pointer,visible,framebuffer_ratio,expected_ink,text
1,0x801F031C,0x801EFC9C,32,14,212,120,14,16,2,0,0x8019B61F,1,1.000000,760,불러올 데이터를 선택하세요
1,0x801F9D44,0x801BE9BC,128,49,112,96,14,16,2,0,0x00000000,0,0.661475,2183, 튼다그다다다째서어째스메리아 /  튼 그다다다 서 여스메리아 / 어튼 하다다다 서 째스메리아 / 처음부터
2,0x801F031C,0x801EFC9C,32,1,144,122,14,16,2,0,0x8019BE7E,0,0.000000,66,원
2,0x801F0E18,0x801F0798,32,19,194,122,14,16,2,0,0x00000000,0,0.000000,701,저장하시겠습니까? / 예      아니요
2,0x801F9D44,0x801BE9BC,64,24,190,68,14,16,2,0,0x80115E02,1,1.000000,965,싸우게 된다. 괜찮나? / 다다예  / 다다그만둔다
2,0x801F9D88,0x801BF6BC,64,0,94,166,14,16,2,0,0x80116BC5,0,0.000000,0,
3,0x801F031C,0x801EFC9C,32,6,164,116,14,16,2,0,0x8019C11B,0,0.000000,339,명중률 상승
3,0x801F0E18,0x801F0798,32,23,262,129,14,16,2,0,0x8019B5A0,0,0.000000,1219,인물을 선택하세요 / 결정하면 전투를 시작합니다
3,0x801F1DB4,0x801F1A74,16,7,192,49,14,16,2,0,0x8019C07B,1,1.000000,337,장로의 머리띠
3,0x801F9D44,0x801BE9BC,128,48,92,210,14,16,2,0,0x80115E02,0,0.302956,2030,아크 /  하다다어 / 다어여8다어여 / 다어어8다어어 /   다여 / 다여다그 / 다다 여어8다다여째째 / 다 다  / 다 다
3,0x801F9D88,0x801BF6BC,64,0,94,166,14,16,2,0,0x80116BC5,0,0.000000,0,
4,0x801F031C,0x801EFC9C,32,5,200,116,14,16,2,0,0x8019C215,1,1.000000,263,효과 불명
4,0x801F0E18,0x801F0798,32,23,262,129,14,16,2,0,0x8019B5A0,0,0.064807,1219,인물을 선택하세요 / 결정하면 전투를 시작합니다
4,0x801F1DB4,0x801F1A74,16,9,230,171,14,16,2,0,0x8019C0CB,0,0.746341,410,로맨싱 스톤다째
