state,header,ordinal,packet_address,x,y,u,v,w,h,clut,plane,physical_index,char,coordinate_mode
1,0x801F031C,0,0x801EFC9C,32,120,224,48,16,16,0x7FC2,2,238,불,
1,0x801F031C,1,0x801EFCD0,46,120,112,0,16,16,0x7FC3,3,31,러,
1,0x801F031C,2,0x801EFD04,60,120,128,32,16,16,0x7FC0,0,152,올,
1,0x801F031C,3,0x801EFD38,74,120,160,32,16,16,0x7FC0,0,160, ,
1,0x801F031C,4,0x801EFD6C,80,120,32,32,16,16,0x7FC0,0,128,데,
1,0x801F031C,5,0x801EFDA0,94,120,0,0,16,16,0x7FC2,2,2,이,
1,0x801F031C,6,0x801EFDD4,108,120,0,0,16,16,0x7FC1,1,1,터,
1,0x801F031C,7,0x801EFE08,122,120,208,0,16,16,0x7FC1,1,53,를,
1,0x801F031C,8,0x801EFE3C,136,120,160,32,16,16,0x7FC0,0,160, ,
1,0x801F031C,9,0x801EFE70,142,120,0,80,16,16,0x7FC2,2,302,선,
1,0x801F031C,10,0x801EFEA4,156,120,160,224,16,16,0x7FC3,3,883,택,
1,0x801F031C,11,0x801EFED8,170,120,96,0,16,16,0x7FC0,0,24,하,
1,0x801F031C,12,0x801EFF0C,184,120,64,32,16,16,0x7FC3,3,139,세,
1,0x801F031C,13,0x801EFF40,198,120,160,0,16,16,0x7FC3,3,43,요,
1,0x801F9D44,0,0x801BE9BC,56,48,64,0,16,16,0x7FC1,1,17, ,
1,0x801F9D44,1,0x801BE9F0,80,48,176,112,16,16,0x7FC2,2,466,튼,
1,0x801F9D44,2,0x801BEA24,92,48,4,0,6,16,0x7FC0,0,0,다,halfwidth_u_plus_4
1,0x801F9D44,3,0x801BEA58,98,48,84,0,6,16,0x7FC0,0,20,그,halfwidth_u_plus_4
1,0x801F9D44,4,0x801BEA8C,116,48,4,0,6,16,0x7FC0,0,0,다,halfwidth_u_plus_4
1,0x801F9D44,5,0x801BEAC0,122,48,4,0,6,16,0x7FC0,0,0,다,halfwidth_u_plus_4
1,0x801F9D44,6,0x801BEAF4,128,48,4,0,6,16,0x7FC0,0,0,다,halfwidth_u_plus_4
1,0x801F9D44,7,0x801BEB28,134,48,68,0,6,16,0x7FC0,0,16,째,halfwidth_u_plus_4
1,0x801F9D44,8,0x801BEB5C,140,48,144,0,16,16,0x7FC0,0,36,서,
