state,savestate,sha256,game_id,file_size,ram_base,vram_base,runtime_COMM_exact,exe_different_words,text_objects,framebuffer_visible_objects,media_paths
1,HASH-70F162DE5529DC72_1.sav,47C298461810351C3AF9CFA6AF4E22AC3263F4F4E85BDD2ADFE093B4641A7ECC,V325,1599616,0x1A62,0x201DDC,1,1387,2,1,
2,HASH-70F162DE5529DC72_2.sav,6F9C9FE9885D581BE032D3C609A6CAF0358EA73159C4C027ECE101AAF6CC744A,V325,1756303,0x1A62,0x201DDC,0,1437,4,1,
3,HASH-70F162DE5529DC72_3.sav,6AB8EB2C81CF85A8237BEBDE07C22580541136D5E9FEAC83C34EADE4C68CE3AC,V325,1613252,0x1A62,0x201DDC,0,1424,5,1,
4,HASH-70F162DE5529DC72_4.sav,C0AFB361624F348BB0B8D6983046E1124AC559CA91E7D12F1D8D5760069A8DB9,V325,1632276,0x1A62,0x201DDC,0,1424,5,1,
5,HASH-70F162DE5529DC72_5.sav,ED856E32B2F7968AB5222C01F46492B27E89D1D97951EF56EF217DE108AF52AD,V325,1720158,0x1A62,0x201DDC,0,1438,5,1,
6,HASH-70F162DE5529DC72_6.sav,270E25D1A922B40A61EBE6C023BC66E298BFEDCF13E2E85AE6DEBD777D990181,V325,1727421,0x1A62,0x201DDC,0,1438,5,2,
7,HASH-70F162DE5529DC72_7.sav,5DF9535284D175A4518E4B643860F83BA28DC78968537AF44B435CC75EE0229A,V325,1748733,0x1A62,0x201DDC,0,1443,5,3,
8,HASH-70F162DE5529DC72_8.sav,B9019CEF8850D74662AA450CEACCA7B580D2BE06D6F43871349BC4CA844503EA,V325,1738965,0x1A62,0x201DDC,0,1443,5,1,
9,HASH-70F162DE5529DC72_9.sav,BA07EA08A23E908DB41D617AACE75FA89196C0444BF15B71B03D821A581EE147,V325,1741923,0x1A62,0x201DDC,0,1438,6,1,
10,HASH-70F162DE5529DC72_10.sav,B71767B84A8CA07EFEF05B91A500D6FD3CC31FDDEDF7ED86FBEFA7CC4EC05C06,V325,1749754,0x1A62,0x201DDC,0,1438,5,1,
