member,offset,before,after,region
PSX.EXE,0x780E8,2F,3E,ui_pointer
PSX.EXE,0x780E9,C6,AF,ui_pointer
PSX.EXE,0x780EC,E0,12,ui_pointer
PSX.EXE,0x780ED,C5,C7,ui_pointer
PSX.EXE,0x780F0,27,72,ui_pointer
PSX.EXE,0x780F1,29,B4,ui_pointer
PSX.EXE,0x780F4,38,9D,ui_pointer
PSX.EXE,0x780F5,C7,AB,ui_pointer
PSX.EXE,0x780F8,B1,DE,ui_pointer
PSX.EXE,0x780F9,C5,C7,ui_pointer
PSX.EXE,0x781B8,AD,0E,ui_pointer
PSX.EXE,0x781B9,CA,B6,ui_pointer
PSX.EXE,0x781BC,FC,14,ui_pointer
PSX.EXE,0x781BD,29,C5,ui_pointer
PSX.EXE,0x781C0,D4,D2,ui_pointer
PSX.EXE,0x781C1,29,B3,ui_pointer
PSX.EXE,0x781C4,8E,1C,ui_pointer
PSX.EXE,0x781C5,CA,B5,ui_pointer
PSX.EXE,0x781C8,4A,B2,ui_pointer
PSX.EXE,0x781C9,29,C5,ui_pointer
PSX.EXE,0x781CC,9C,94,ui_pointer
PSX.EXE,0x781CD,28,B3,ui_pointer
PSX.EXE,0x781D0,88,B3,ui_pointer
PSX.EXE,0x781D1,D2,B3,ui_pointer
PSX.EXE,0x78220,6E,DD,ui_pointer
PSX.EXE,0x78221,CA,C5,ui_pointer
PSX.EXE,0x78224,6D,9C,ui_pointer
PSX.EXE,0x78225,29,C5,ui_pointer
PSX.EXE,0x78228,C8,04,ui_pointer
PSX.EXE,0x78229,CA,B8,ui_pointer
PSX.EXE,0x7822C,E3,F4,ui_pointer
PSX.EXE,0x7822D,CA,B7,ui_pointer
PSX.EXE,0x80224,E0,35,ui_pool
PSX.EXE,0x80225,52,6D,ui_pool
PSX.EXE,0x80226,E0,0D,ui_pool
PSX.EXE,0x80227,AE,A1,ui_pool
PSX.EXE,0x80228,E9,DD,ui_pool
PSX.EXE,0x80229,BD,53,ui_pool
PSX.EXE,0x8022A,9C,DF,ui_pool
PSX.EXE,0x8022B,E9,9A,ui_pool
PSX.EXE,0x8022C,8D,19,ui_pool
PSX.EXE,0x8022D,EA,8C,ui_pool
PSX.EXE,0x8022E,8F,2C,ui_pool
PSX.EXE,0x80230,EA,36,ui_pool
PSX.EXE,0x80231,5C,A1,ui_pool
PSX.EXE,0x80232,E9,85,ui_pool
PSX.EXE,0x80233,BC,0E,ui_pool
PSX.EXE,0x80234,E9,A1,ui_pool
PSX.EXE,0x80235,BD,6F,ui_pool
PSX.EXE,0x80236,9C,61,ui_pool
PSX.EXE,0x80237,E9,2D,ui_pool
PSX.EXE,0x80238,8D,07,ui_pool
PSX.EXE,0x80239,EA,01,ui_pool
PSX.EXE,0x8023A,8F,21,ui_pool
PSX.EXE,0x8023C,E9,40,ui_pool
PSX.EXE,0x8023D,9C,80,ui_pool
PSX.EXE,0x8023E,EA,A1,ui_pool
PSX.EXE,0x8023F,86,DD,ui_pool
PSX.EXE,0x80240,9C,09,ui_pool
PSX.EXE,0x80241,DF,0E,ui_pool
PSX.EXE,0x80242,9D,41,ui_pool
PSX.EXE,0x80243,E9,A1,ui_pool
PSX.EXE,0x80244,5F,DD,ui_pool
PSX.EXE,0x80245,E9,3C,ui_pool
PSX.EXE,0x80246,D9,2B,ui_pool
PSX.EXE,0x80248,DF,45,ui_pool
PSX.EXE,0x80249,1A,DD,ui_pool
PSX.EXE,0x8024A,E9,2B,ui_pool
PSX.EXE,0x8024B,B7,A1,ui_pool
PSX.EXE,0x8024C,E9,27,ui_pool
PSX.EXE,0x8024D,BD,91,ui_pool
PSX.EXE,0x8024E,9C,DD,ui_pool
PSX.EXE,0x8024F,E9,B8,ui_pool
PSX.EXE,0x80250,7B,A1,ui_pool
PSX.EXE,0x80251,DF,8B,ui_pool
PSX.EXE,0x80252,F2,69,ui_pool
PSX.EXE,0x80254,DE,45,ui_pool
PSX.EXE,0x80255,7C,DD,ui_pool
PSX.EXE,0x80256,E0,2B,ui_pool
PSX.EXE,0x80257,AB,A1,ui_pool
PSX.EXE,0x80258,9C,4A,ui_pool
PSX.EXE,0x80259,EA,91,ui_pool
PSX.EXE,0x8025A,0F,DD,ui_pool
PSX.EXE,0x8025B,E9,B8,ui_pool
PSX.EXE,0x8025C,4F,A1,ui_pool
PSX.EXE,0x8025D,EA,8B,ui_pool
PSX.EXE,0x8025E,2F,69,ui_pool
PSX.EXE,0x80260,E9,45,ui_pool
PSX.EXE,0x80261,52,DD,ui_pool
PSX.EXE,0x80262,DF,2B,ui_pool
PSX.EXE,0x80263,87,A1,ui_pool
PSX.EXE,0x80264,9C,9E,ui_pool
PSX.EXE,0x80265,E0,91,ui_pool
PSX.EXE,0x80266,48,DD,ui_pool
PSX.EXE,0x80267,DF,B8,ui_pool
PSX.EXE,0x80268,41,A1,ui_pool
PSX.EXE,0x80269,00,8B,ui_pool
PSX.EXE,0x8026A,E9,69,ui_pool
PSX.EXE,0x8026B,8D,00,ui_pool
PSX.EXE,0x8026C,E9,8E,ui_pool
PSX.EXE,0x8026D,5C,DD,ui_pool
PSX.EXE,0x8026E,9C,1F,ui_pool
PSX.EXE,0x8026F,E0,A1,ui_pool
PSX.EXE,0x80270,8C,58,ui_pool
PSX.EXE,0x80271,E9,DD,ui_pool
PSX.EXE,0x80272,D9,12,ui_pool
PSX.EXE,0x80273,9C,DD,ui_pool
PSX.EXE,0x80274,E0,9D,ui_pool
PSX.EXE,0x80275,48,DD,ui_pool
PSX.EXE,0x80276,DF,5B,ui_pool
PSX.EXE,0x80277,41,00,ui_pool
PSX.EXE,0x80278,00,8E,ui_pool
PSX.EXE,0x80279,E0,DD,ui_pool
PSX.EXE,0x8027A,33,7F,ui_pool
PSX.EXE,0x8027B,E1,DD,ui_pool
PSX.EXE,0x8027C,45,E7,ui_pool
PSX.EXE,0x8027D,9C,A1,ui_pool
PSX.EXE,0x8027E,EA,46,ui_pool
PSX.EXE,0x8027F,58,DD,ui_pool
PSX.EXE,0x80280,00,38,ui_pool
PSX.EXE,0x80281,E0,2E,ui_pool
PSX.EXE,0x80282,48,1E,ui_pool
PSX.EXE,0x80283,E0,00,ui_pool
PSX.EXE,0x80284,C3,8F,ui_pool
PSX.EXE,0x80285,E0,45,ui_pool
PSX.EXE,0x80286,BF,01,ui_pool
PSX.EXE,0x80287,9C,34,ui_pool
PSX.EXE,0x80288,DE,A1,ui_pool
PSX.EXE,0x80289,F2,69,ui_pool
PSX.EXE,0x8028A,E9,31,ui_pool
PSX.EXE,0x8028B,42,0F,ui_pool
PSX.EXE,0x8028C,DE,A1,ui_pool
PSX.EXE,0x8028D,E1,DD,ui_pool
PSX.EXE,0x8028E,00,29,ui_pool
PSX.EXE,0x8028F,E0,00,ui_pool
PSX.EXE,0x80290,14,DD,ui_pool
PSX.EXE,0x80291,E9,09,ui_pool
PSX.EXE,0x80292,85,0E,ui_pool
PSX.EXE,0x80293,E9,41,ui_pool
PSX.EXE,0x80294,BD,A1,ui_pool
PSX.EXE,0x80295,9C,45,ui_pool
PSX.EXE,0x80296,E9,DD,ui_pool
PSX.EXE,0x80297,C7,06,ui_pool
PSX.EXE,0x80298,E9,A1,ui_pool
PSX.EXE,0x80299,12,6C,ui_pool
PSX.EXE,0x8029A,00,1A,ui_pool
PSX.EXE,0x8029B,E0,00,ui_pool
PSX.EXE,0x8029C,FC,DD,ui_pool
PSX.EXE,0x8029D,DE,09,ui_pool
PSX.EXE,0x8029E,F2,0F,ui_pool
PSX.EXE,0x8029F,DE,A1,ui_pool
PSX.EXE,0x802A0,74,45,ui_pool
PSX.EXE,0x802A1,E9,DD,ui_pool
PSX.EXE,0x802A2,90,37,ui_pool
PSX.EXE,0x802A3,00,A1,ui_pool
PSX.EXE,0x802A4,E0,DD,ui_pool
PSX.EXE,0x802A5,A8,B6,ui_pool
PSX.EXE,0x802A6,E0,35,ui_pool
PSX.EXE,0x802A7,D7,00,ui_pool
PSX.EXE,0x802A8,E9,DD,ui_pool
PSX.EXE,0x802A9,BD,25,ui_pool
PSX.EXE,0x802AA,9C,04,ui_pool
PSX.EXE,0x802AB,DE,24,ui_pool
PSX.EXE,0x802AC,F6,A1,ui_pool
PSX.EXE,0x802AD,E0,DD,ui_pool
PSX.EXE,0x802AE,A0,66,ui_pool
PSX.EXE,0x802AF,E9,DD,ui_pool
PSX.EXE,0x802B0,52,EF,ui_pool
PSX.EXE,0x802B1,E9,A1,ui_pool
PSX.EXE,0x802B2,4F,4A,ui_pool
PSX.EXE,0x802B4,E0,DD,ui_pool
PSX.EXE,0x802B5,C8,29,ui_pool
PSX.EXE,0x802B6,EA,14,ui_pool
PSX.EXE,0x802B7,71,DD,ui_pool
PSX.EXE,0x802B8,E9,2B,ui_pool
PSX.EXE,0x802B9,BD,A1,ui_pool
PSX.EXE,0x802BA,9C,6B,ui_pool
PSX.EXE,0x802BB,DE,29,ui_pool
PSX.EXE,0x802BC,F6,A1,ui_pool
PSX.EXE,0x802BD,E0,8B,ui_pool
PSX.EXE,0x802BE,A0,69,ui_pool
PSX.EXE,0x802BF,E9,00,ui_pool
PSX.EXE,0x802C0,52,DD,ui_pool
PSX.EXE,0x802C1,E9,29,ui_pool
PSX.EXE,0x802C2,4F,DD,ui_pool
PSX.EXE,0x802C3,00,B2,ui_pool
PSX.EXE,0x802C4,E9,4F,ui_pool
PSX.EXE,0x802C5,95,DD,ui_pool
PSX.EXE,0x802C6,E9,65,ui_pool
PSX.EXE,0x802C7,BD,A1,ui_pool
PSX.EXE,0x802C8,9C,DD,ui_pool
PSX.EXE,0x802C9,E9,3C,ui_pool
PSX.EXE,0x802CA,D4,2E,ui_pool
PSX.EXE,0x802CB,E9,00,ui_pool
PSX.EXE,0x802CC,58,DD,ui_pool
PSX.EXE,0x802CD,00,29,ui_pool
PSX.EXE,0x802CE,DE,DD,ui_pool
PSX.EXE,0x802CF,6B,B2,ui_pool
PSX.EXE,0x802D0,E0,DE,ui_pool
PSX.EXE,0x802D1,C3,10,ui_pool
PSX.EXE,0x802D2,E9,03,ui_pool
PSX.EXE,0x802D3,AA,A1,ui_pool
PSX.EXE,0x802D4,EA,DD,ui_pool
PSX.EXE,0x802D5,36,3C,ui_pool
PSX.EXE,0x802D6,9C,2E,ui_pool
PSX.EXE,0x802D7,E0,00,ui_pool
PSX.EXE,0x802D8,E3,DD,ui_pool
PSX.EXE,0x802D9,E0,34,ui_pool
PSX.EXE,0x802DA,C3,DD,ui_pool
PSX.EXE,0x802DB,E0,73,ui_pool
PSX.EXE,0x802DC,BF,DF,ui_pool
PSX.EXE,0x802DD,00,5B,ui_pool
PSX.EXE,0x802DE,DD,A1,ui_pool
PSX.EXE,0x802DF,26,DD,ui_pool
PSX.EXE,0x802E0,E0,77,ui_pool
PSX.EXE,0x802E1,F6,DD,ui_pool
PSX.EXE,0x802E2,E0,07,ui_pool
PSX.EXE,0x802E3,C3,00,ui_pool
PSX.EXE,0x802E4,00,DD,ui_pool
PSX.EXE,0x802E5,EA,38,ui_pool
PSX.EXE,0x802E6,60,03,ui_pool
PSX.EXE,0x802E7,E9,DD,ui_pool
PSX.EXE,0x802E8,D4,24,ui_pool
PSX.EXE,0x802E9,00,A1,ui_pool
PSX.EXE,0x802EA,E9,DE,ui_pool
PSX.EXE,0x802EB,C7,1A,ui_pool
PSX.EXE,0x802EC,E0,20,ui_pool
PSX.EXE,0x802ED,9C,DD,ui_pool
PSX.EXE,0x802EE,E9,C8,ui_pool
PSX.EXE,0x802EF,BD,00,ui_pool
PSX.EXE,0x802F0,9C,DD,ui_pool
PSX.EXE,0x802F1,E0,3F,ui_pool
PSX.EXE,0x802F2,65,DD,ui_pool
PSX.EXE,0x802F3,E9,31,ui_pool
PSX.EXE,0x802F4,4F,19,ui_pool
PSX.EXE,0x802F5,EA,29,ui_pool
PSX.EXE,0x802F6,2F,54,ui_pool
PSX.EXE,0x802F7,00,2D,ui_pool
PSX.EXE,0x802F8,E1,07,ui_pool
PSX.EXE,0x802F9,F4,3B,ui_pool
PSX.EXE,0x802FA,DE,D1,ui_pool
PSX.EXE,0x802FB,C9,00,ui_pool
PSX.EXE,0x802FC,E9,DD,ui_pool
PSX.EXE,0x802FD,BD,66,ui_pool
PSX.EXE,0x802FE,9C,17,ui_pool
PSX.EXE,0x802FF,E0,A1,ui_pool
PSX.EXE,0x80300,8A,30,ui_pool
PSX.EXE,0x80301,E9,DE,ui_pool
PSX.EXE,0x80302,2D,D6,ui_pool
PSX.EXE,0x80303,E9,DD,ui_pool
PSX.EXE,0x80304,20,66,ui_pool
PSX.EXE,0x80305,00,DD,ui_pool
PSX.EXE,0x80306,EA,9A,ui_pool
PSX.EXE,0x80307,07,00,ui_pool
PSX.EXE,0x80308,E0,DD,ui_pool
PSX.EXE,0x80309,C3,6C,ui_pool
PSX.EXE,0x8030A,DF,DD,ui_pool
PSX.EXE,0x8030B,04,B0,ui_pool
PSX.EXE,0x8030C,9C,29,ui_pool
PSX.EXE,0x8030D,E9,09,ui_pool
PSX.EXE,0x8030E,7B,A1,ui_pool
PSX.EXE,0x8030F,EA,4F,ui_pool
PSX.EXE,0x80310,74,DD,ui_pool
PSX.EXE,0x80311,00,6B,ui_pool
PSX.EXE,0x80312,E1,37,ui_pool
PSX.EXE,0x80313,CE,00,ui_pool
PSX.EXE,0x80314,E9,DD,ui_pool
PSX.EXE,0x80315,93,90,ui_pool
PSX.EXE,0x80316,9C,DD,ui_pool
