pointer_offset,categories,selected_category,source_text,korean,string_offset,encoded_bytes,space_count,space_code,encoded_hex
0x780E8,system,system,처음부터,처음부터,0x8073E,5,0,,DD 8F 8D 6C 02
0x780EC,system,system,저장 데이터가 없습니다,저장 데이터가 없습니다,0x81F12,13,2,A1,DD 24 56 A1 81 03 02 0C A1 71 2D 07 01
0x780F0,system,system,메모리 카드에 남은 공간이 없습니다,메모리 카드에 남은 공간이 없습니다,0x80C72,24,4,A1,DD 2C 55 2E A1 DD 38 17 0E A1 DD 3D 26 A1 DD 10 DD 1B 03 A1 71 2D 07 01
0x780F4,system,system,그대로 계속하기,그대로 계속하기,0x8039D,10,1,A1,15 37 D5 A1 DD 11 DD 5F 19 24
0x780F8,system,system,데이터가 손상되었습니다,데이터가 손상되었습니다,0x81FDE,12,1,A1,81 03 02 0C A1 85 8B 73 61 2D 07 01
0x781B8,system,system,불러올 데이터를 선택하세요,불러올 데이터를 선택하세요,0x80E0E,17,2,A1,DD 13 20 99 A1 81 03 02 36 A1 DD 53 DF 9A 19 8C 2C
0x781BC,system,system,메모리 카드 없이 계속하시겠습니까?,메모리 카드 없이 계속하시겠습니까?,0x81D14,23,3,A1,DD 2C 55 2E A1 DD 38 17 A1 71 03 A1 DD 11 DD 5F 19 29 54 2D 07 3B D1
0x781C0,system,system,메모리 카드를 넣고 확인 버튼을 누르세요,메모리 카드를 넣고 확인 버튼을 누르세요,0x80BD2,27,5,A1,DD 2C 55 2E A1 DD 38 17 36 A1 6F 1C A1 DE 2B 35 A1 67 DD F7 0D A1 DD 55 70 8C 2C
0x781C4,system,system,어느 카드를 사용하시겠습니까?,어느 카드를 사용하시겠습니까?,0x80D1C,18,2,A1,14 4D A1 DD 38 17 36 A1 34 DD 1A 19 29 54 2D 07 3B D1
0x781C8,system,system,메모리 카드를 초기화하시겠습니까?,메모리 카드를 초기화하시겠습니까?,0x81DB2,21,2,A1,DD 2C 55 2E A1 DD 38 17 36 A1 39 24 DD 83 19 29 54 2D 07 3B D1
0x781CC,system,system,메모리 카드가 가득합니다. 계속하시겠습니까?,메모리 카드가 가득합니다. 계속하시겠습니까?,0x80B94,30,3,A1,DD 2C 55 2E A1 DD 38 17 0C A1 0C DE A9 DD 1D 07 01 21 A1 DD 11 DD 5F 19 29 54 2D 07 3B D1
0x781D0,system,system,쓰지 않는 데이터를 지우거나 다른 카드를 넣으세요,쓰지 않는 데이터를 지우거나 다른 카드를 넣으세요,0x80BB3,30,6,A1,DD 85 04 A1 78 06 A1 81 03 02 36 A1 04 3D 32 1E A1 01 DD BF A1 DD 38 17 36 A1 6F 4E 8C 2C
0x78220,system,system,메모리 카드를 확인하고 있습니다,메모리 카드를 확인하고 있습니다,0x81DDD,20,3,A1,DD 2C 55 2E A1 DD 38 17 36 A1 DE 2B 35 19 1C A1 1F 2D 07 01
0x78224,system,system,메모리 카드를 초기화하고 있습니다,메모리 카드를 초기화하고 있습니다,0x81D9C,21,3,A1,DD 2C 55 2E A1 DD 38 17 36 A1 39 24 DD 83 19 1C A1 1F 2D 07 01
0x78228,system,system,데이터를 저장하고 있습니다,데이터를 저장하고 있습니다,0x81004,15,2,A1,81 03 02 36 A1 DD 24 56 19 1C A1 1F 2D 07 01
0x7822C,system,system,데이터를 불러오고 있습니다,데이터를 불러오고 있습니다,0x80FF4,15,2,A1,81 03 02 36 A1 DD 13 20 46 1C A1 1F 2D 07 01
0x804A4,table,table,불꽃의 수호,불꽃의 수호,0x812E2,8,1,A1,DD 13 DD 8C 0F A1 50 95
0x804A8,table,table,얼음의 수호,얼음의 수호,0x81635,7,1,A1,DE 93 8D 0F A1 50 95
0x804AC,table,table,안티 헤모지,안티 헤모지,0x812B5,8,1,A1,94 DF 51 A1 DD C3 55 04
0x804B0,table,table,치유의 부적,치유의 부적,0x812F4,8,1,A1,DD 1F 8A 0F A1 6C DD 09
0x804B4,table,table,비단 허리띠,비단 허리띠,0x80416,10,1,A1,DD 06 DD 35 A1 DE 48 2E DE 7A
0x804B8,table,table,마법 카드,마법 카드,0x814D5,7,1,A1,45 DD 37 A1 DD 38 17
0x804BC,table,table,수면 방지 카드,수면 방지 카드,0x803EA,10,2,A1,50 3A A1 DD 29 04 A1 DD 38 17
0x804C0,table,table,파워 암,파워 암,0x815D5,7,1,A1,DD 7B DD 68 A1 DF 6C
0x804C4,table,table,카이저 글러브,카이저 글러브,0x802E4,11,1,A1,DD 38 03 DD 24 A1 DE 1A 20 DD C8
0x804C8,table,table,환상의 장갑,환상의 장갑,0x81357,8,1,A1,DD 65 8B 0F A1 56 DE 0C
0x804CC,table,table,선글라스,선글라스,0x80622,6,0,,DD 53 DE 1A 8F 30
0x804D0,table,table,명중의 두루마리,명중의 두루마리,0x8201F,12,1,A1,DD 34 DD 73 0F A1 DD 21 DD 42 45 2E
0x804D4,table,table,투척의 두루마리,투척의 두루마리,0x82039,12,1,A1,DD 39 DF 93 0F A1 DD 21 DD 42 45 2E
0x804D8,table,table,신의 주먹,신의 주먹,0x816EF,6,1,A1,3E 0F A1 40 DE 66
0x804DC,table,table,바이올렛 레이저,바이올렛 레이저,0x81FF8,12,1,A1,DD 08 03 99 DF 2C A1 DD 66 03 DD 24
0x804E0,table,table,목걸이,목걸이,0x8071A,5,0,,DD 33 DD 8E 03
0x804E4,table,table,염주,염주,0x80887,3,0,,DF 89 40
0x804E8,table,table,장로의 머리띠,장로의 머리띠,0x81872,9,1,A1,56 D5 0F A1 DD 5D 2E DE 7A
0x804EC,table,table,질풍의 반다나,질풍의 반다나,0x817F4,10,1,A1,DD AA DE 2E 0F A1 DD 46 01 1E
0x804F0,table,table,하이퍼 부츠,하이퍼 부츠,0x81A6E,8,1,A1,19 03 DE 78 A1 6C DE CD
0x804F4,table,table,임시 신발,임시 신발,0x815ED,7,1,A1,DD C2 29 A1 3E DD 0E
0x804F8,table,table,팔찌 1,팔찌 1,0x80637,6,1,A1,DD 6C DE 56 A1 4A
0x804FC,table,table,팔찌 2,팔찌 2,0x80630,6,1,A1,DD 6C DE 56 A1 0B
0x80500,table,table,기술의 팔찌,기술의 팔찌,0x81836,9,1,A1,24 DD E5 0F A1 DD 6C DE 56
0x80504,table,table,여신의 기도,여신의 기도,0x816B0,6,1,A1,1A 3E 0F A1 24 33
0x80508,table,table,파워 리스트,파워 리스트,0x8199E,9,1,A1,DD 7B DD 68 A1 2E 30 DD 5B
0x8050C,table,table,데일의 이빨,데일의 이빨,0x81535,7,1,A1,81 6B 0F A1 03 DE 20
0x80510,table,table,환수의 이빨,환수의 이빨,0x8134E,8,1,A1,DD 65 50 0F A1 03 DE 20
0x80514,table,table,바닷바람의 선율,바닷바람의 선율,0x810B1,14,1,A1,DD 08 DF 1F DD 08 DD 22 0F A1 DD 53 DE A6
0x80518,table,table,조개껍데기,조개껍데기,0x81575,7,0,,90 DD B4 DF 18 81 24
0x8051C,table,table,유니콘의 뿔,유니콘의 뿔,0x81B34,8,1,A1,8A 07 DE 96 0F A1 DE E1
0x80520,table,table,비극의 안경,비극의 안경,0x812C7,8,1,A1,DD 06 DF 17 0F A1 94 68
0x80524,table,table,거울,거울,0x8082B,3,0,,32 DD 92
0x80528,table,table,고대의 반지,고대의 반지,0x8144D,7,1,A1,1C 37 0F A1 DD 46 04
0x8052C,table,table,환상의 반지,환상의 반지,0x81360,8,1,A1,DD 65 8B 0F A1 DD 46 04
0x80530,table,table,마도의 반지,마도의 반지,0x814A5,7,1,A1,45 33 0F A1 DD 46 04
0x80534,table,table,장난감 반지,장난감 반지,0x8187C,9,1,A1,56 DD 6A DD 77 A1 DD 46 04
0x80538,table,table,독막이 반지,독막이 반지,0x81A48,9,1,A1,DF 22 DD AB 03 A1 DD 46 04
0x8053C,table,table,환상의 방패,환상의 방패,0x81958,9,1,A1,DD 65 8B 0F A1 DD 29 DE D7
0x80540,table,table,전사의 수호,전사의 수호,0x805AB,6,1,A1,4F 34 0F A1 50 95
0x80544,table,table,장로의 방패,장로의 방패,0x81B07,8,1,A1,56 D5 0F A1 DD 29 DE D7
0x80548,table,table,강력한 지팡이,강력한 지팡이,0x8044D,10,1,A1,DD 28 DD 2B 53 A1 04 DF 52 03
0x8054C,table,table,지옥의 스누프,지옥의 스누프,0x8035B,10,1,A1,04 DE 39 0F A1 30 DD 55 DD 9D
0x80550,table,table,왕의 상,왕의 상,0x8079B,4,1,A1,6A 0F A1 8B
0x80554,table,table,매의 상,매의 상,0x8074A,5,1,A1,DD C9 0F A1 8B
0x80558,table,table,가짜 상,가짜 상,0x80696,5,1,A1,0C DE B9 A1 8B
0x8055C,table,table,단검,단검,0x807D7,4,0,,DD 35 DD A1
0x80560,table,table,환상의 검,환상의 검,0x815BD,7,1,A1,DD 65 8B 0F A1 DD A1
0x80564,table,table,리라의 머리장식,리라의 머리장식,0x803C9,10,1,A1,2E 8F 0F A1 DD 5D 2E 56 DD B5
0x80568,table,table,요동치는 보석,요동치는 보석,0x803BE,10,1,A1,2C DD 32 DD 1F 06 A1 60 DD 8B
0x8056C,table,table,아머 스톤,아머 스톤,0x81425,7,1,A1,09 DD 5D A1 30 DD 9A
0x80570,table,table,로맨싱 스톤,로맨싱 스톤,0x818C2,9,1,A1,D5 DE 08 DE 26 A1 30 DD 9A
0x80574,table,table,로맨싱 스톤,로맨싱 스톤,0x818C2,9,1,A1,D5 DE 08 DE 26 A1 30 DD 9A
0x80578,table,table,로맨싱 스톤,로맨싱 스톤,0x818C2,9,1,A1,D5 DE 08 DE 26 A1 30 DD 9A
0x8057C,table,table,로맨싱 스톤,로맨싱 스톤,0x818C2,9,1,A1,D5 DE 08 DE 26 A1 30 DD 9A
0x80580,table,table,태양의 거울,태양의 거울,0x819DA,9,1,A1,DD D2 DD 82 0F A1 32 DD 92
0x80584,table,table,압화 책,압화 책,0x8164D,7,1,A1,DF 6D DD 83 A1 DE 43
0x80588,table,table,클라우스의 책,클라우스의 책,0x819F8,9,1,A1,DE 01 8F 3D 30 0F A1 DE 43
0x8058C,table,table,음악집,음악집,0x806F6,5,0,,8D DD EB DD E2
0x80590,table,table,라크의 문장,라크의 문장,0x8156D,7,1,A1,8F 58 0F A1 DD AF 56
0x80594,table,table,유카리의 문장,유카리의 문장,0x818AE,9,1,A1,8A DD 38 2E 0F A1 DD AF 56
0x80598,table,table,포니의 문장,포니의 문장,0x81372,8,1,A1,DD 78 07 0F A1 DD AF 56
0x8059C,table,table,용자의 증표,용자의 증표,0x818F4,9,1,A1,DD 1A 28 0F A1 DE 09 DD 8A
0x805A0,table,table,?????,?????,0x80708,5,0,,D1 D1 D1 D1 D1
0x80A94,table,table,화염 공격 피해 감소,화염 공격 피해 감소,0x80DA1,18,3,A1,DD 83 DF 89 A1 DD 10 DD 0A A1 DD 3C 2B A1 DD 77 DD 07
0x80A98,table,table,냉기 공격 피해 감소,냉기 공격 피해 감소,0x80E68,17,3,A1,DF 1D 24 A1 DD 10 DD 0A A1 DD 3C 2B A1 DD 77 DD 07
0x80A9C,table,table,헤모지 방지,헤모지 방지,0x813A8,8,1,A1,DD C3 55 04 A1 DD 29 04
0x80AA0,table,table,회복 효과 증가,회복 효과 증가,0x81FD1,12,2,A1,7A DD 9F A1 DE 24 DD 18 A1 DE 09 0C
0x80AA4,table,table,획득 경험치 2배,획득 경험치 2배,0x81147,14,2,A1,DE 79 DE A9 A1 68 DD 54 DD 1F A1 0B DD 93
0x80AA8,table,table,마력 10% 상승,마력 10% 상승,0x80254,11,2,A1,45 DD 2B A1 4A 91 DD B8 A1 8B 69
0x80AAC,table,table,수면 방지,수면 방지,0x805B9,6,1,A1,50 3A A1 DD 29 04
0x80AB0,table,table,촌가라 방어력 30% 상승,촌가라 방어력 30% 상승,0x80DEA,17,3,A1,96 0C 8F A1 DD 29 14 DD 2B A1 27 91 DD B8 A1 8B 69
0x80AB4,table,table,던지기 레벨 +1,던지기 레벨 1,0x802A8,11,2,A1,DD 25 04 24 A1 DD 66 DD EF A1 4A
0x80AB8,table,table,공격력 50% 상승,공격력 50% 상승,0x810ED,14,2,A1,DD 10 DD 0A DD 2B A1 9E 91 DD B8 A1 8B 69
0x80ABC,table,table,암흑 방지,암흑 방지,0x81414,8,1,A1,DF 6C DF 59 A1 DD 29 04
0x80AC0,table,table,명중률 상승,명중률 상승,0x81912,9,1,A1,DD 34 DD 73 DF 5B A1 8B 69
0x80AC4,table,table,던지기가 강력 투척으로 변화,던지기가 강력 투척으로 변화,0x81D86,21,3,A1,DD 25 04 24 0C A1 DD 28 DD 2B A1 DD 39 DF 93 4E D5 A1 80 DD 83
0x80AC8,table,table,특정 적에게 추가 피해,특정 적에게 추가 피해,0x80EF1,16,3,A1,DE 3A 31 A1 DD 09 0E 41 A1 DF 95 0C A1 DD 3C 2B
0x80ACC,table,table,공격이 반드시 명중,공격이 반드시 명중,0x81034,15,2,A1,DD 10 DD 0A 03 A1 DD 46 17 29 A1 DD 34 DD 73
0x80AD0,table,table,레벨업 시 최대 체력 증가량 상승,레벨업 시 최대 체력 증가량 상승,0x80C3F,25,5,A1,DD 66 DD EF DE 9E A1 29 A1 DE 27 37 A1 DD 90 DD 2B A1 DE 09 0C D2 A1 8B 69
0x80AD4,table,table,고겐 마력 30% 상승,고겐 마력 30% 상승,0x80FB4,15,3,A1,1C DD A9 A1 45 DD 2B A1 27 91 DD B8 A1 8B 69
0x80AD8,table,table,명중률 상승,명중률 상승,0x81912,9,1,A1,DD 34 DD 73 DF 5B A1 8B 69
0x80ADC,table,table,민첩 10% 상승,민첩 10% 상승,0x820A1,12,2,A1,DD EC DF 5E A1 4A 91 DD B8 A1 8B 69
0x80AE0,table,table,민첩 30% 상승,민첩 30% 상승,0x82094,12,2,A1,DD EC DF 5E A1 27 91 DD B8 A1 8B 69
0x80AE4,table,table,점프 레벨 +1,점프 레벨 1,0x8032C,11,2,A1,DD D0 DD 9D A1 DD 66 DD EF A1 4A
0x80AE8,table,table,반격률 상승,반격률 상승,0x8193A,9,1,A1,DD 46 DD 0A DF 5B A1 8B 69
0x80AEC,table,table,받기 레벨 +1,받기 레벨 1,0x80437,10,2,A1,DD 19 24 A1 DD 66 DD EF A1 4A
0x80AF0,table,table,받기가 되던지기로 변화,받기가 되던지기로 변화,0x81044,15,2,A1,DD 19 24 0C A1 73 DD 25 04 24 D5 A1 80 DD 83
0x80AF4,table,table,능력 MP 소비 절반,능력 MP 소비 절반,0x81E1A,19,3,A1,DD ED DD 2B A1 DF 0B DE 07 A1 DD 07 DD 06 A1 DD DA DD 46
0x80AF8,table,table,공격력 30% 상승,공격력 30% 상승,0x810CF,14,2,A1,DD 10 DD 0A DD 2B A1 27 91 DD B8 A1 8B 69
0x80AFC,table,table,이가 반격 피해 증가,이가 반격 피해 증가,0x80FA4,15,3,A1,03 0C A1 DD 46 DD 0A A1 DD 3C 2B A1 DE 09 0C
0x80B00,table,table,효과 불명,효과 불명,0x81A0C,9,1,A1,DE 24 DD 18 A1 DD 13 DD 34
0x80B04,table,table,쿠쿠루 행동 시 주변 아군 회복,쿠쿠루 행동 시 주변 아군 회복,0x81CFC,23,5,A1,DD 0C DD 0C DD 42 A1 DD 31 DD 32 A1 29 A1 40 80 A1 09 7C A1 7A DD 9F
0x80B08,table,table,아이템 드롭률 상승,아이템 드롭률 상승,0x81172,13,2,A1,09 03 DD 5E A1 17 DE 94 DF 5B A1 8B 69
0x80B0C,table,table,적 처치 시 희귀 아이템 획득,적 처치 시 희귀 아이템 획득,0x80C59,24,5,A1,DD 09 A1 DD 8F DD 1F A1 29 A1 DD 43 DE 6C A1 09 03 DD 5E A1 DE 79 DE A9
0x80B10,table,table,효과 불명,효과 불명,0x81A0C,9,1,A1,DE 24 DD 18 A1 DD 13 DD 34
0x80B14,table,table,석화 방지,석화 방지,0x81384,8,1,A1,DD 8B DD 83 A1 DD 29 04
0x80B18,table,table,아크 전용 효과 불명,아크 전용 효과 불명,0x80E7A,16,3,A1,09 58 A1 4F DD 1A A1 DE 24 DD 18 A1 DD 13 DD 34
0x80B1C,table,table,마력 50% 상승,마력 50% 상승,0x80260,11,2,A1,45 DD 2B A1 9E 91 DD B8 A1 8B 69
0x80B20,table,table,마력 30% 상승,마력 30% 상승,0x80248,11,2,A1,45 DD 2B A1 27 91 DD B8 A1 8B 69
0x80B24,table,table,포코의 방향 전환 효과가 전체화,포코의 방향 전환 효과가 전체화,0x80C0A,26,4,A1,DD 78 DD 40 0F A1 DD 29 DD B2 A1 4F DD 65 A1 DE 24 DD 18 0C A1 4F DD 90 DD 83
0x80B28,table,table,독 방지,독 방지,0x80676,6,1,A1,DF 22 A1 DD 29 04
0x80B2C,table,table,방어력 50% 상승,방어력 50% 상승,0x81F3C,13,2,A1,DD 29 14 DD 2B A1 9E 91 DD B8 A1 8B 69
0x80B30,table,table,방어력 30% 상승,방어력 30% 상승,0x81F20,13,2,A1,DD 29 14 DD 2B A1 27 91 DD B8 A1 8B 69
0x80B34,table,table,방어율 상승,방어율 상승,0x81306,8,1,A1,DD 29 14 DE A6 A1 8B 69
0x80B38,table,table,고겐 공격력 70% 상승,고겐 공격력 70% 상승,0x80D2F,18,3,A1,1C DD A9 A1 DD 10 DD 0A DD 2B A1 9A 91 DD B8 A1 8B 69
0x80B3C,table,table,이가 심안법 범위 확장,이가 심안법 범위 확장,0x80F94,15,3,A1,03 0C A1 9D 94 DD 37 A1 DE 63 8E A1 DE 2B 56
0x80B40,table,table,촌가라가 소환수 경험치 획득,촌가라가 소환수 경험치 획득,0x81D70,21,3,A1,96 0C 8F 0C A1 DD 07 DD 65 50 A1 68 DD 54 DD 1F A1 DE 79 DE A9
0x80B44,table,table,침묵 방지,침묵 방지,0x813C3,8,1,A1,DE 06 DF 5F A1 DD 29 04
0x80B48,table,table,회피율 상승,회피율 상승,0x81B19,8,1,A1,7A DD 3C DE A6 A1 8B 69
0x80B4C,table,table,공격력 10% 상승,공격력 10% 상승,0x810DE,14,2,A1,DD 10 DD 0A DD 2B A1 4A 91 DD B8 A1 8B 69
0x80B50,table,table,피해 편차 증가,피해 편차 증가,0x82046,12,2,A1,DD 3C 2B A1 DD 79 DD B7 A1 DE 09 0C
0x80B54,table,table,쿠쿠루 부활 시 최대 체력 회복,쿠쿠루 부활 시 최대 체력 회복,0x80C25,25,5,A1,DD 0C DD 0C DD 42 A1 6C DD E1 A1 29 A1 DE 27 37 A1 DD 90 DD 2B A1 7A DD 9F
0x80B58,table,table,피해 편차 증가,피해 편차 증가,0x82046,12,2,A1,DD 3C 2B A1 DD 79 DD B7 A1 DE 09 0C
0x80B5C,table,table,방어력 10% 상승,방어력 10% 상승,0x81F2E,13,2,A1,DD 29 14 DD 2B A1 4A 91 DD B8 A1 8B 69
0x80B60,table,table,효과 불명,효과 불명,0x81A0C,9,1,A1,DE 24 DD 18 A1 DD 13 DD 34
0x80B64,table,table,효과 불명,효과 불명,0x81A0C,9,1,A1,DE 24 DD 18 A1 DD 13 DD 34
