slot,raw_code,source_original_index,synthetic_index,label,plane,texture_u_before_halfwidth_adjust,packet_u_after_halfwidth_adjust,texture_v,source_plane_sha256
0,0x01,0,960,blank,0,240,244,176,9D908ECFB6B256DEF8B49A7C504E6C889C4B0E41FE6CE3E01863DD7B61A20AA0
1,0x10,15,961,slash,1,240,244,176,487A1BE85FE2CFF579E1275D3F0624B07EDCB4A40DAA920C667C38477EF1943C
2,0x11,16,962,digit_0,2,240,244,176,EF721C5C478727D333FDFC630A515B0C5AAD79FC378BBC649650738D3176166F
3,0x12,17,963,digit_1,3,240,244,176,E1DF1EC6CE3B327CB13AB2808A9EF4F646EF10EDD768E7CC7D5BB85BDB49DBA0
4,0x13,18,964,digit_2,0,240,244,192,8B459C6CCCA992E142105ED9A63BFF71BF2CD9E421EA22EFA9F79103B1AB5B83
5,0x14,19,965,digit_3,1,240,244,192,1ED9F0C194396BAE8D166218EE36780538E8ECF53791BF63630812F11BCCAB30
6,0x15,20,966,digit_4,2,240,244,192,C94E604BFF617E6D9B41FD3AA8A0E12CAB8C313E1307454EF14A513854790933
7,0x16,21,967,digit_5,3,240,244,192,119FCAF42D47E10986D8CB95AC3B61F3BC6DF13980DD3CD5EA67378260636365
8,0x17,22,968,digit_6,0,240,244,208,2A7A26FDFB3F9AB38C0592635F3D187BA78D6DC63AEEE0E8D1CFCD58A77224D4
9,0x18,23,969,digit_7,1,240,244,208,38D1C32F25A20583E68F2C3E696B1B65A30BD50AB15F8C859130B28C358DD56D
10,0x19,24,970,digit_8,2,240,244,208,8D92AAB4DE3EE13293ACB455A853ECB6BEFDC5E52DAF9A8BDD9136F42BBF1157
11,0x1A,25,971,digit_9,3,240,244,208,84155CA0FAA5B7BAE77C1B0892F2F847202927AAD2CC1DBE9A910656B03E1B84
12,0x80,127,972,compact_aux_127,0,240,244,224,65E5317B8FD76B71D1C8C7F55D23C8CE5838D28EDC9C0C6659A3A582FCB68E20
