member,offset,before,after,region
PSX.EXE,0x50DA8,29,44,common_glyph_uv_hook
PSX.EXE,0x50DA9,00,6C,common_glyph_uv_hook
PSX.EXE,0x50DAA,A2,06,common_glyph_uv_hook
PSX.EXE,0x50DAB,A0,08,common_glyph_uv_hook
PSX.EXE,0x808B0,00,01,verified_free_pool_helpers_and_strings
PSX.EXE,0x808B2,00,08,verified_free_pool_helpers_and_strings
PSX.EXE,0x808B3,00,34,verified_free_pool_helpers_and_strings
PSX.EXE,0x808B4,00,0B,verified_free_pool_helpers_and_strings
PSX.EXE,0x808B6,00,68,verified_free_pool_helpers_and_strings
PSX.EXE,0x808B7,00,10,verified_free_pool_helpers_and_strings
PSX.EXE,0x808B8,00,10,verified_free_pool_helpers_and_strings
PSX.EXE,0x808BA,00,08,verified_free_pool_helpers_and_strings
PSX.EXE,0x808BB,00,34,verified_free_pool_helpers_and_strings
PSX.EXE,0x808BC,00,F0,verified_free_pool_helpers_and_strings
PSX.EXE,0x808BD,00,FF,verified_free_pool_helpers_and_strings
PSX.EXE,0x808BE,00,69,verified_free_pool_helpers_and_strings
PSX.EXE,0x808BF,00,24,verified_free_pool_helpers_and_strings
PSX.EXE,0x808C0,00,0B,verified_free_pool_helpers_and_strings
PSX.EXE,0x808C2,00,28,verified_free_pool_helpers_and_strings
PSX.EXE,0x808C3,00,2D,verified_free_pool_helpers_and_strings
PSX.EXE,0x808C4,00,0A,verified_free_pool_helpers_and_strings
PSX.EXE,0x808C7,00,15,verified_free_pool_helpers_and_strings
PSX.EXE,0x808CC,00,80,verified_free_pool_helpers_and_strings
PSX.EXE,0x808CE,00,08,verified_free_pool_helpers_and_strings
PSX.EXE,0x808CF,00,34,verified_free_pool_helpers_and_strings
PSX.EXE,0x808D0,00,0C,verified_free_pool_helpers_and_strings
PSX.EXE,0x808D2,00,68,verified_free_pool_helpers_and_strings
PSX.EXE,0x808D3,00,14,verified_free_pool_helpers_and_strings
PSX.EXE,0x808D8,00,CC,verified_free_pool_helpers_and_strings
PSX.EXE,0x808D9,00,03,verified_free_pool_helpers_and_strings
PSX.EXE,0x808DA,00,03,verified_free_pool_helpers_and_strings
PSX.EXE,0x808DB,00,34,verified_free_pool_helpers_and_strings
PSX.EXE,0x808DC,00,05,verified_free_pool_helpers_and_strings
PSX.EXE,0x808DF,00,10,verified_free_pool_helpers_and_strings
PSX.EXE,0x808E4,00,C0,verified_free_pool_helpers_and_strings
PSX.EXE,0x808E5,00,03,verified_free_pool_helpers_and_strings
PSX.EXE,0x808E6,00,03,verified_free_pool_helpers_and_strings
PSX.EXE,0x808E7,00,34,verified_free_pool_helpers_and_strings
PSX.EXE,0x808E8,00,02,verified_free_pool_helpers_and_strings
PSX.EXE,0x808EB,00,10,verified_free_pool_helpers_and_strings
PSX.EXE,0x808F0,00,C1,verified_free_pool_helpers_and_strings
PSX.EXE,0x808F1,00,03,verified_free_pool_helpers_and_strings
PSX.EXE,0x808F2,00,23,verified_free_pool_helpers_and_strings
PSX.EXE,0x808F3,00,25,verified_free_pool_helpers_and_strings
PSX.EXE,0x808F4,00,01,verified_free_pool_helpers_and_strings
PSX.EXE,0x808F6,00,A2,verified_free_pool_helpers_and_strings
PSX.EXE,0x808F7,00,24,verified_free_pool_helpers_and_strings
PSX.EXE,0x808FA,00,C2,verified_free_pool_helpers_and_strings
PSX.EXE,0x808FB,00,AC,verified_free_pool_helpers_and_strings
PSX.EXE,0x808FC,00,04,verified_free_pool_helpers_and_strings
PSX.EXE,0x808FD,00,AD,verified_free_pool_helpers_and_strings
PSX.EXE,0x808FE,00,05,verified_free_pool_helpers_and_strings
PSX.EXE,0x808FF,00,08,verified_free_pool_helpers_and_strings
PSX.EXE,0x80904,00,F8,verified_free_pool_helpers_and_strings
