helper,address,word
direct,0x8019B0B0,0x34080001
direct,0x8019B0B4,0x1068000B
direct,0x8019B0B8,0x34080010
direct,0x8019B0BC,0x2469FFF0
direct,0x8019B0C0,0x2D28000B
direct,0x8019B0C4,0x1500000A
direct,0x8019B0C8,0x00000000
direct,0x8019B0CC,0x34080080
direct,0x8019B0D0,0x1468000C
direct,0x8019B0D4,0x00000000
direct,0x8019B0D8,0x340303CC
direct,0x8019B0DC,0x10000005
direct,0x8019B0E0,0x00000000
direct,0x8019B0E4,0x340303C0
direct,0x8019B0E8,0x10000002
direct,0x8019B0EC,0x00000000
direct,0x8019B0F0,0x252303C1
direct,0x8019B0F4,0x24A20001
direct,0x8019B0F8,0xACC20000
direct,0x8019B0FC,0x0805AD04
direct,0x8019B100,0x00000000
direct,0x8019B104,0x0805ACF8
direct,0x8019B108,0x00000000
uv,0x8019B110,0xA0A20029
uv,0x8019B114,0x2488FC40
uv,0x8019B118,0x2D09000D
uv,0x8019B11C,0x11200007
uv,0x8019B120,0x00000000
uv,0x8019B124,0x340900F0
uv,0x8019B128,0xA0A90028
uv,0x8019B12C,0x00084082
uv,0x8019B130,0x00084100
uv,0x8019B134,0x250800B0
uv,0x8019B138,0xA0A80029
uv,0x8019B13C,0x0805AD6C
uv,0x8019B140,0x00000000
