member,offset,before,after,region
PSX.EXE,0x50D1C,0A,64,common_builder_hook
PSX.EXE,0x50D1D,00,6C,common_builder_hook
PSX.EXE,0x50D1E,C5,06,common_builder_hook
PSX.EXE,0x50D1F,84,08,common_builder_hook
PSX.EXE,0x80990,00,0D,compact_common_helper
PSX.EXE,0x80992,00,C8,compact_common_helper
PSX.EXE,0x80993,00,90,compact_common_helper
PSX.EXE,0x80994,00,06,compact_common_helper
PSX.EXE,0x80996,00,09,compact_common_helper
PSX.EXE,0x80997,00,34,compact_common_helper
PSX.EXE,0x80998,00,0F,compact_common_helper
PSX.EXE,0x8099A,00,09,compact_common_helper
PSX.EXE,0x8099B,00,15,compact_common_helper
PSX.EXE,0x809A0,00,09,compact_common_helper
PSX.EXE,0x809A2,00,80,compact_common_helper
PSX.EXE,0x809A3,00,10,compact_common_helper
PSX.EXE,0x809A4,00,F1,compact_common_helper
PSX.EXE,0x809A5,00,FF,compact_common_helper
PSX.EXE,0x809A6,00,88,compact_common_helper
PSX.EXE,0x809A7,00,24,compact_common_helper
PSX.EXE,0x809A8,00,0B,compact_common_helper
PSX.EXE,0x809AA,00,09,compact_common_helper
PSX.EXE,0x809AB,00,2D,compact_common_helper
PSX.EXE,0x809AC,00,09,compact_common_helper
PSX.EXE,0x809AE,00,20,compact_common_helper
PSX.EXE,0x809AF,00,15,compact_common_helper
PSX.EXE,0x809B0,00,7F,compact_common_helper
PSX.EXE,0x809B2,00,09,compact_common_helper
PSX.EXE,0x809B3,00,34,compact_common_helper
PSX.EXE,0x809B4,00,08,compact_common_helper
PSX.EXE,0x809B6,00,89,compact_common_helper
PSX.EXE,0x809B7,00,14,compact_common_helper
PSX.EXE,0x809BC,00,CC,compact_common_helper
PSX.EXE,0x809BD,00,03,compact_common_helper
PSX.EXE,0x809BE,00,04,compact_common_helper
PSX.EXE,0x809BF,00,34,compact_common_helper
PSX.EXE,0x809C0,00,05,compact_common_helper
PSX.EXE,0x809C3,00,10,compact_common_helper
PSX.EXE,0x809C8,00,C0,compact_common_helper
PSX.EXE,0x809C9,00,03,compact_common_helper
PSX.EXE,0x809CA,00,04,compact_common_helper
PSX.EXE,0x809CB,00,34,compact_common_helper
PSX.EXE,0x809CC,00,02,compact_common_helper
PSX.EXE,0x809CF,00,10,compact_common_helper
PSX.EXE,0x809D4,00,C1,compact_common_helper
PSX.EXE,0x809D5,00,03,compact_common_helper
PSX.EXE,0x809D6,00,04,compact_common_helper
PSX.EXE,0x809D7,00,25,compact_common_helper
PSX.EXE,0x809D8,00,0A,compact_common_helper
PSX.EXE,0x809DA,00,C5,compact_common_helper
PSX.EXE,0x809DB,00,84,compact_common_helper
PSX.EXE,0x809DC,00,49,compact_common_helper
PSX.EXE,0x809DD,00,AD,compact_common_helper
PSX.EXE,0x809DE,00,05,compact_common_helper
PSX.EXE,0x809DF,00,08,compact_common_helper
